match(doi_or_key),source,old_display_author,new_primary,secondary_authors,primary_changed
10.1007/978-1-4939-3267-2_2,rest383,Markin et al.,Markin,Klishko; Shevtsova; Lemay; Prilutsky; Rybak; Edwards,YES
10.1007/978-3-319-95972-6_21,rest383,Hilts et al.,Hilts,Szczecinski; Quinn; Hunt,YES
10.1016/j.brainresbull.2007.03.010,rest383,Windhorst,Windhorst,,no
__key__3D3FLH8A,rest383,Donelan et al.,Donelan,Tachibana; Pearson,YES
10.1093/acprof:oso/9780198524052.001.0001,rest383,Orlovsky et al.,Orlovsky,Deliagina; Grillner,YES
__key__XDKQIYUI,rest383,Hillen,Hillen,,no
10.1242/jeb.245784,rest383,Ijspeert and Daley,Ijspeert and Daley,,no
10.1523/jneurosci.0612-22.2022,rest383,Dewolf et al.,Dewolf,Scaleia; Fabiano; Sylos-Labini; Mondi; Mondı̀; Picone; Paolo; Paolillo; Ivanenko; Lacquaniti,YES
10.1152/jn.00479.2001,rest383,Yakovenko et al.,Yakovenko,Mushahwar; VanderHorst; Holstege; Procházka,YES
__key__C42DBB9I,rest383,Herr et al.,Herr,Weber; Garlow; Casler,YES
10.1098/rstb.2009.0322,rest383,Whelan,Whelan,,no
10.1113/jphysiol.2004.076034,rest383,Angel et al.,Angel,Jankowska; McCrea,YES
10.1016/0959-4388(94)90139-2,rest383,Rossignol and Dubuc,Rossignol and Dubuc,,no
10.1088/1748-3190/ac1ced,rest383,Szczecinski et al.,Szczecinski,Dallmann; Quinn; Zill,YES
10.3389/fnins.2019.01288,rest383,Fujiki et al.,Fujiki,Aoi; Tsuchiya; Danner; Rybak; Yanagihara,YES
__key__7BSD3IUL,rest383,Klint,Klint,,no
10.1016/s0301-0082(98)00081-1,rest383,Zehr et al.,Zehr and Stein,,YES
10.1002/9781118133880.hop203007,rest383,Fouad et al.,Fouad,Bennett; Fischer; Büschges,YES
10.1111/j.1469-7793.2000.00817.x,rest383,Sinkj├ªr et al.,Sinkjær,Andersen; Ladouceur; Christensen; Nielsen,YES
10.1177/1073858417699790,rest383,Minassian et al.,Minassian,Hofstoetter; Dzeladini; Guertin; Ijspeert,YES
10.1093/brain/awh252,rest383,Beres-Jones and Harkema,Beres-Jones and Harkema,,no
10.1016/b978-0-444-53825-3.00007-3,rest383,Gossard et al.,Gossard,Sirois; Noué; Côté; Ménard; Leblond; Frigon,YES
10.3389/fnins.2021.720542,rest383,Merlet et al.,Merlet,Harnie; Frigon,YES
10.1152/jn.90729.2008,rest383,Endo and Kiehn,Endo and Kiehn,,no
10.1007/bf00237937,rest383,Wand et al.,Wand,Procházka; Sontag,YES
10.1016/b978-0-444-53825-3.00015-2,rest383,Yakovenko,Yakovenko,,no
10.1016/j.neuroscience.2020.09.017,rest383,Dom├¡nguez-Rodr├¡guez et al.,Domínguez-Rodríguez,Stecina; Garcia-Ramirez; Mena-Avila; Milla-Cruz; Martínez-Silva; Zhang; Hultborn; Quevedo,YES
10.1152/jn.1989.62.5.1177,rest383,Gossard et al.,Gossard,Cabelguen; Rossignol,YES
10.1111/j.1469-7793.1998.277bu.x,rest383,Proch├ízka et al.,Procházka and Gorassini,,YES
10.1101/226316,rest383,Schnerwitzki et al.,Schnerwitzki,Perry; Ivanova; Caixeta; Cramer; Günther; Guenther; Weber; Tafreshiha; Becker; Panesso; Klopstock; De Angelis; Schmidt; Kullander; Englert,YES
10.1088/1748-3190/10/4/041001,rest383,Buschmann et al.,Buschmann,Ewald; Twickel; Büschges,YES
10.1016/b978-0-12-816477-8.00013-2,rest383,Frigon,Frigon,,no
10.1152/jn.00978.2016,rest383,Frigon,Frigon,,no
10.1038/ncomms1276,rest383,Zhong et al.,Zhong,Sharma; Harris-Warrick,YES
10.1007/s002210050522,rest383,Schomburg et al.,Schomburg,Petersen; Barajon; Hultborn,YES
10.1002/cphy.cp120105,rest383,Rossignol,Rossignol,,no
10.1016/j.conb.2015.03.001,rest383,McLean and Dougherty,McLean and Dougherty,,no
10.1088/1748-3190/10/2/026001,rest383,Horchler et al.,Horchler,Daltorio; Chiel; Quinn,YES
10.1002/jmor.1051410102,rest383,Goslow et al.,Goslow,Reinking; Stuart,YES
10.1152/jn.1991.66.6.1874,rest383,Pearson and Rossignol,Pearson and Rossignol,,no
10.1016/j.celrep.2018.08.095,rest383,Chopek et al.,Chopek,Nascimento; Beato; Brownstone; Zhang,YES
10.1113/jphysiol.1981.sp013556,rest383,Jankowska et al.,Jankowska,Johannisson; Lipski,YES
10.1113/jphysiol.2009.176669,rest383,Frigon and Gossard,Frigon and Gossard,,no
__key__5K3KTVGR,rest383,Ritzmann et al.,Ritzmann,Quinn; Willis,YES
10.1117/12.886413,rest383,Quinn et al.,Quinn,Boxerbaum; Palmer; Chiel; Diller; Hunt; Bachmann,YES
10.1152/jn.00615.2004,rest383,B├╝schges,Büschges,,YES
10.1101/2020.07.29.226530,rest383,Merlet et al.,Merlet,Harnie; Macovei; Doelman; Gaudreault; Frigon,YES
10.1007/978-3-642-31525-1_4,rest383,Boxerbaum et al.,Boxerbaum,Daltorio; Chiel; Quinn,YES
10.14814/phy2.13504,rest383,Yokoyama et al.,Yokoyama,Hagio; Ogawa; Nakazawa,YES
10.3389/fnbot.2017.00039,rest383,Aoi et al.,Aoi,Manoonpong; Ambe; Matsuno; Wörgötter,YES
10.1109/robot.1998.676345,rest383,Flannigan et al.,Flannigan,Nelson; Quinn,YES
10.3389/fnbot.2020.577804,rest383,Szczecinski et al.,Szczecinski,Quinn; Hunt,YES
10.1016/s0079-6123(03)43012-4,rest383,Pearson,Pearson,,no
10.3389/fncel.2019.00512,rest383,Lalibert├⌐ et al.,Laliberté,Goltash; Lalonde; Bui,YES
10.2174/1381612822666161214144655,rest383,Hofstoetter et al.,Hofstoetter,Knikou; Guertin; Minassian,YES
10.1111/j.1469-7793.1998.293bu.x,rest383,Proch├ízka et al.,Procházka and Gorassini,,YES
10.1111/j.1749-6632.1998.tb09050.x,rest383,Pearson et al.,Pearson,Misiaszek; Fouad,YES
10.1007/bf00229407,rest383,Pratt et al.,Pratt,Chanaud; Loeb,YES
__key__KWG7NPDI,rest383,Ross,Ross,,no
10.1016/j.neuron.2008.09.027,rest383,Zhang et al.,Zhang,Narayan; Geiman; Lanuza; Velasquez; Shanks; Akay; Dyck; Pearson; Gosgnach; Fan; Goulding,YES
10.1152/jn.1997.77.6.3237,rest383,Proch├ízka et al.,Procházka,Gillard; Bennett,YES
10.1088/1748-3190/ab9e52,rest383,Goldsmith et al.,Goldsmith,Szczecinski; Quinn,YES
10.1142/9789813207158_0025,rest383,Dalrymple and Mushahwar,Dalrymple and Mushahwar,,no
10.1111/j.1469-7793.2000.00389.x,rest383,Pang and Yang,Pang and Yang,,no
__key__G93A9Z5X,rest383,Herr et al.,Herr,Geyer; Eilenberg,YES
__key__C3E574SH,rest383,Latash,Latash,,no
10.1152/jn.00347.2019,rest383,Maxwell and Soteropoulos,Maxwell and Soteropoulos,,no
10.1016/j.brainresrev.2009.08.002,rest383,Guertin,Guertin,,no
10.1038/nature12286,rest383,Talpalar et al.,Talpalar,Bouvier; Borgius; Fortin; Pierani; Kiehn,YES
10.1007/bf00204048,rest383,Taga,Taga,,no
__key__DS6WLCW2,rest383,Li,Li,,no
10.1523/jneurosci.5486-10.2011,rest383,Szokol et al.,Szokol,Glover; Perreault,YES
10.1523/jneurosci.15-07-04943.1995,rest383,Cazalets et al.,Cazalets,Borde; Clarac,YES
10.1111/j.1748-1716.1980.tb06534.x,rest383,Forssberg et al.,Forssberg,Grillner; Halbertsma; Rossignol,YES
10.1007/978-1-4757-0964-3_21,rest383,Pearson and Duysens,Pearson and Duysens,,no
10.1177/0278364903022003003,rest383,Quinn et al.,Quinn,Nelson; Bachmann; Kingsley; Offi; Allen; Ritzmann,YES
10.1113/jp274518,rest383,Kuczynski et al.,Kuczynski,Telonio; Thibaudier; Hurteau; Dambreville; Desrochers; Doelman; Ross; Frigon,YES
10.1098/rspb.1911.0077,rest383,Brown,Brown,,no
10.1007/978-3-030-64313-3_38,rest383,Young et al.,Young,Hunt; Chiel; Quinn,YES
__key__4T74U33I,rest383,Dambreville et al.,Dambreville,Frigon; D'Angelo; Thibaudier; Hurteau,YES
10.3390/biomimetics4010010,rest383,Young et al.,Young,Rode; Hunt; Quinn,YES
10.1111/j.1749-6632.2010.05435.x,rest383,Markin et al.,Markin,Klishko; Shevtsova; Lemay; Prilutsky; Rybak,YES
10.1007/978-3-319-09435-9_26,rest383,Szczecinski et al.,Szczecinski,Martin; Ritzmann; Quinn,YES
10.1016/s0966-6362(99)00052-1,rest383,Dietz and Duysens,Dietz and Duysens,,no
10.1111/j.1469-7793.1999.00691.x,rest383,Perreault et al.,Perreault,Shefchyk; Jiménez; McCrea,YES
10.1016/j.pneurobio.2004.04.003,rest383,Fouad and Pearson,Fouad and Pearson,,no
10.1016/j.asd.2004.05.001,rest383,Ritzmann et al.,Ritzmann,Quinn; Fischer,YES
10.1016/0006-8993(90)90334-8,rest383,Gossard et al.,Gossard,Cabelguen; Rossignol,YES
__key__AKDZIR4R,rest383,Van de Crommert et al.,Van de Crommert,Mulder; Duysens,YES
10.1523/jneurosci.19-24-10966.1999,rest383,Perreault et al.,Perreault,Enríquez-Denton; Hultborn,YES
10.1113/jphysiol.1957.sp005849,rest383,Eccles and Lundberg,Eccles and Lundberg,,no
10.3390/ijms22116007,rest383,S┼éawi┼äska et al.,Sławińska,Majczyński; Kwaśniewska; Miazga; Cabaj; Bekisz; Jordan; Zawadzka,YES
10.1016/0006-8993(93)90903-z,rest383,Duysens et al.,Duysens,Tax; Trippel; Dietz,YES
10.1016/s1044-5765(05)80026-0,rest383,Rossignol et al.,Rossignol,Saltiel; Perreault; Drew; Pearson; Bélanger,YES
10.1111/j.1748-1716.1984.tb07400.x,rest383,Grillner and Zangger,Grillner and Zangger,,no
10.1152/jn.1979.42.4.936,rest383,Forssberg,Forssberg,,no
10.1109/robot.2007.363057,rest383,Rutter et al.,Rutter,Lewinger; Blümel; Büschges; Quinn,YES
10.1007/bf00241961,rest383,Whelan et al.,Whelan,Hiebert; Pearson,YES
10.1007/978-1-0716-1006-0_48,rest383,Harris-Warrick and HarrisΓÇÉWarrick,Harris-Warrick and Harris‐Warrick,,YES
10.1016/s0074-7742(05)69005-8,rest383,Von Stetina et al.,Von Stetina,Treinin; Miller,YES
10.1523/eneuro.0069-15.2015,rest383,Rybak et al.,Rybak,Dougherty; Shevtsova,YES
10.1016/0006-8993(72)90007-8,rest383,Orlovsky,Orlovsky,,no
10.1016/0006-8993(75)90401-1,rest383,Grillner and Zangger,Grillner and Zangger,,no
10.1152/jn.00325.2004,rest383,Donelan and Pearson,Donelan and Pearson,,no
__key__CGD36ERG,rest383,Herr et al.,Herr,Geyer; Eilenberg,YES
10.1016/0014-4886(86)90094-4,rest383,Lovely et al.,Lovely,Gregor; Roy; Edgerton,YES
10.1152/jn.1976.39.5.1090,rest383,Proch├ízka et al.,Procházka,Westerman; Ziccone,YES
10.1152/jn.00996.2009,rest383,Hinckley et al.,Hinckley,Wiesner; Mentis; Titus; Ziskind-Conhaim,YES
10.1016/s0165-0173(99)00008-9,rest383,Barbeau et al.,Barbeau,McCrea; O’Donovan; Rossignol; Grill; Lemay,YES
10.1007/s00422-006-0129-x,rest383,Frigon and Rossignol,Frigon and Rossignol,,no
10.3389/fbioe.2022.825149,rest383,Kim et al.,Kim,Aoi; Fujiki; Danner; Markin; Ausborn; Rybak; Yanagihara; Senda; Tsuchiya,YES
10.1101/2022.05.21.492933,rest383,Ozeri-Engelhard et al.,Ozeri-Engelhard,Gradwell; Laflamme; Upadhyay; Aoki; Shrier; Gandhi; Gonzalez; Eisdorfer; Zadeh; Yusuf; Katz; Haas; Akay; Abraira,YES
10.1111/j.1748-1716.1981.tb06867.x,rest383,Andersson and Grillner,Andersson and Grillner,,no
10.3390/biomimetics7010017,rest383,Young et al.,Young,Chiel; Tresch; Heckman; Hunt; Quinn,YES
10.1016/b978-0-12-805353-9.00098-x,rest383,Harkema et al.,Harkema,Rejc; Angeli,YES
10.1016/0006-8993(78)90973-3,rest383,Grillner and Rossignol,Grillner and Rossignol,,no
10.1113/jphysiol.1983.sp014663,rest383,Jankowska and McCrea,Jankowska and McCrea,,no
10.1007/s002210050847,rest383,Burke,Burke,,no
10.1007/bf00227344,rest383,Dietz et al.,Dietz,Zijlstra; Duysens,YES
10.1177/1073858404264680,rest383,Zehr and Duysens,Zehr and Duysens,,no
__key__QHAYTMKP,rest383,Molkov et al.,Molkov,Bacak; Talpalar; Rybak,YES
10.1016/0304-3940(77)90187-2,rest383,Schomburg et al.,Schomburg,Roesler; Meinck,YES
10.1113/jphysiol.2008.158105,rest383,Szokol et al.,Szokol,Glover; Perreault,YES
10.1007/bf00231254,rest383,Duysens et al.,Duysens,Trippel; Horstmann; Dietz,YES
10.1152/jn.00820.2013,rest383,Sivertsen et al.,Sivertsen,Glover; Perreault,YES
10.1152/jn.00991.2004,rest383,Yakovenko et al.,Yakovenko,McCrea; Stecina; Procházka,YES
10.3389/fnsys.2022.814028,rest383,Harnie et al.,Harnie,Audet; Mari; Lecomte; Merlet; Genois; Rybak; Prilutsky; Frigon,YES
10.1016/j.neuron.2008.08.009,rest383,Crone et al.,Crone,Quinlan; Zagoraiou; Droho; Restrepo; Lundfald; Endo; Setlak; Jessell; Kiehn; Sharma,YES
__key__2NHK8MS4,rest383,Halbertsma,Halbertsma,,no
10.1523/jneurosci.5188-14.2015,rest383,Kasumacic et al.,Kasumacic,Lambert; Coulon; Bras; Vinay; Perreault; Glover,YES
__key__4YSY755G,rest383,Onushko,Onushko,,no
10.1007/s10827-014-0519-3,rest383,Shaw et al.,Shaw,Lyttle; Gill; Cullins; McManus; Lu; Thomas; Chiel,YES
10.1113/jphysiol.1910.sp001362,rest383,Sherrington,Sherrington,,no
10.1016/b978-0-08-026814-9.50025-9,rest383,Lundberg,Lundberg,,no
10.1016/0006-8993(78)90493-6,rest383,Andersson et al.,Andersson,Forssberg; Grillner; Lindquist,YES
10.1109/robot.1998.676348,rest383,Nelson and Quinn,Nelson and Quinn,,no
10.1152/physrev.1992.72.3.623,rest383,Jami,Jami,,no
10.1016/s0960-9822(01)00581-4,rest383,Marder and Bucher,Marder and Bucher,,no
10.1038/nature04545,rest383,Gosgnach et al.,Gosgnach,Lanuza; Butt; Saueressig; Zhang; Velasquez; Riethmacher; Callaway; Kiehn; Goulding,YES
10.1016/0921-8890(96)00003-6,rest383,Espenschied et al.,Espenschied,Quinn; Beer; Chiel,YES
10.1515/revneuro-2017-0102,rest383,Steuer and Guertin,Steuer and Guertin,,no
__key__XVTZ5QE2,rest383,Nichols et al.,Nichols,Hodson-Tole; Pantall; Maas; Farrell; Gregor; Boris; Hatz; Mombaur; Donelan; Colton; Bauman; Chang,YES
10.1152/jn.00261.2012,rest383,Onushko et al.,Onushko,Hyngstrom; Schmit,YES
10.1126/science.3975635,rest383,Grillner,Grillner,,no
10.1007/bf00231657,rest383,LaBella et al.,LaBella,Niechaj; Rossignol,YES
10.1113/jphysiol.1982.sp014319,rest383,Akazawa et al.,Akazawa,Aldridge; Steeves; Stein,YES
10.1038/s41467-023-39034-y,rest383,Minassian et al.,Minassian,Bayart; Lackner; Binder; Freundl; Hofstoetter,YES
10.1023/a:1008920021246,rest383,Beer et al.,Beer,Chiel; Gallagher,YES
