doi,reason
10.1038/nature12286,no-oa-url
10.1038/nn.2482,no-oa-url
10.1038/nn.4077,no-oa-url
10.1038/nrn.2016.9,no-oa-url
10.1038/nrn1137,no-oa-url
10.1038/nrn2608,no-oa-url
10.1038/nrn939,no-oa-url
10.1038/s41467-023-36587-w,no-oa-url
10.1073/pnas.1304365110,no-oa-url
10.1073/pnas.1419045111,no-oa-url
10.1088/1741-2560/9/4/046011,oa-url-blocked
10.1088/1748-3190/10/2/026001,no-oa-url
10.1088/1748-3190/10/4/041001,no-oa-url
10.1088/1748-3190/10/5/055004,oa-url-blocked
10.1088/1748-3190/aa8290,no-oa-url
10.1088/1748-3190/aada54,oa-url-blocked
10.1088/1748-3190/ab9e52,no-oa-url
10.1088/1748-3190/ac1ced,oa-url-blocked
10.1088/1748-3190/ac28ea,no-oa-url
10.1093/acprof:oso/9780198524052.001.0001,no-oa-url
10.1093/brain/119.6.1809,oa-url-blocked
10.1093/brain/awh252,oa-url-blocked
10.1093/brain/awu372,no-oa-url
10.1098/rsif.2012.0669,no-oa-url
10.1098/rsos.240207,oa-url-blocked
10.1098/rspb.1911.0077,no-oa-url
10.1098/rspb.2003.2454,no-oa-url
10.1098/rspb.2017.0290,oa-url-blocked
10.1098/rstb.1999.0441,no-oa-url
10.1098/rstb.2006.1889,no-oa-url
10.1098/rstb.2009.0322,no-oa-url
10.1109/lcsys.2018.2871126,oa-url-blocked
10.1109/robot.1998.676345,no-oa-url
10.1109/robot.1998.676348,no-oa-url
10.1109/robot.2007.363057,no-oa-url
10.1109/tnsre.2010.2047592,no-oa-url
10.1109/wcecs.2008.25,no-oa-url
10.1111/j.1460-9568.2010.07354.x,no-oa-url
10.1111/j.1469-7793.1998.277bu.x,no-oa-url
10.1111/j.1469-7793.1998.293bu.x,no-oa-url
10.1111/j.1469-7793.1999.00691.x,oa-url-blocked
10.1111/j.1469-7793.2000.00389.x,no-oa-url
10.1111/j.1469-7793.2000.00639.x,no-oa-url
10.1111/j.1469-7793.2000.00817.x,no-oa-url
10.1111/j.1469-7793.2000.t01-1-00549.x,no-oa-url
10.1111/j.1469-7793.2001.0041b.x,no-oa-url
10.1111/j.1748-1716.1967.tb03637.x,no-oa-url
10.1111/j.1748-1716.1969.tb04415.x,no-oa-url
10.1111/j.1748-1716.1980.tb06534.x,no-oa-url
10.1111/j.1748-1716.1981.tb06867.x,no-oa-url
10.1111/j.1748-1716.1983.tb07267.x,no-oa-url
10.1111/j.1748-1716.1984.tb07400.x,no-oa-url
10.1111/j.1748-1716.1985.tb07612.x,no-oa-url
10.1111/j.1748-1716.2006.01651.x,no-oa-url
10.1111/j.1749-6632.1998.tb09040.x,no-oa-url
10.1111/j.1749-6632.1998.tb09050.x,no-oa-url
10.1111/j.1749-6632.1998.tb09062.x,no-oa-url
10.1111/j.1749-6632.2010.05435.x,no-oa-url
10.1111/nyas.12055,no-oa-url
10.1113/jp270121,oa-url-blocked
10.1113/jp272437,no-oa-url
10.1113/jp272740,no-oa-url
10.1113/jp274518,no-oa-url
10.1113/jp277018,no-oa-url
10.1113/jp277515,no-oa-url
10.1113/jp286151,oa-url-blocked
10.1113/jp286808,oa-url-blocked
10.1113/jphysiol.1910.sp001362,no-oa-url
10.1113/jphysiol.1957.sp005794,no-oa-url
10.1113/jphysiol.1957.sp005849,no-oa-url
10.1113/jphysiol.1971.sp009487,no-oa-url
10.1113/jphysiol.1981.sp013556,no-oa-url
10.1113/jphysiol.1982.sp014319,no-oa-url
