"key","type","title","DOI","date","pub","collections"
"IGF9P8IQ","journalArticle","Walking with perturbations: a guide for biped humans and robots","10.1088/1748-3190/aada54","2018-09-04","Bioinspiration & Biomimetics","N9R9QB36"
"YP9XXDIH","journalArticle","Experimental and Computational Assessment of Locomotor Coordination and Complexity Following Incomplete Spinal Cord Injury in the Rat",,"2012-01-01",,"N9R9QB36"
"KU93FB34","journalArticle","Function of Segmental Reflexes in the Control of Stepping in Cockroaches and Cats","10.1007/978-1-4757-0964-3_21","1976-01-01",,"N9R9QB36"
"QCNPI9ZB","journalArticle","Made-to-order spiking neuron model equipped with a multi-timescale adaptive threshold","10.3389/neuro.10.009.2009","2009","Frontiers in Computational Neuroscience","YGJ8NW46"
"YCPEHH97","journalArticle","The special nature of human walking and its neural control","10.1016/S0166-2236(02)02173-2","2002-08-01","Trends in neurosciences","N9R9QB36"
"FDINKB9Z","journalArticle","AnimatLab: a 3D graphics environment for neuromechanical simulations","10.1016/j.jneumeth.2010.01.005","2010-03-30","Journal of Neuroscience Methods","7E78U3HX;8A6RE9ZG;CQ4PSU6E;D4ADQ5D4;DUTVHULR;G7U2YC7Y;KKTCWNPD;N9R9QB36;RPTFU546;SEM476TQ;TK8F7HCH;VD7TQ8M3;Z8JX6KUL"
"QJNINEN4","journalArticle","Flight Characteristics of Shaping the Membrane Wing of a Micro Air Vehicle","10.2514/1.4782","2005","Journal of Aircraft","MMK48V5F;U65AP8TW;VD7TQ8M3"
"QZ5P4NTQ","journalArticle","Spinal control of muscle synergies for adult mammalian locomotion","10.1113/JP277018","2019-1-01","The Journal of Physiology","N9R9QB36"
"9E8C7EAI","journalArticle","Spinal reflexes, mechanisms and concepts: from Eccles to Lundberg and beyond.","10.1016/j.pneurobio.2006.04.001","2006-02-01","Progress in Neurobiology","N9R9QB36"
"B2P9UZLE","journalArticle","The Motor Infrastructure: From Ion Channels to Neuronal Networks","10.1038/nrn1137","2003-07-01","Nature Reviews Neuroscience","N9R9QB36"
"939JVCCU","journalArticle","Force Sensors in Hexapod Locomotion","10.1177/0278364905055381","2005-07-01","The International Journal of Robotics Research","N9R9QB36"
"XAVF83U8","journalArticle","Simulations of neuromuscular control in lamprey swimming","10.1098/rstb.1999.0441","1999-05-29","Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences","N9R9QB36;NW7YXWPA"
"GA8YXYMU","journalArticle","Muscles, Elastic Energy, and the Dynamics of Body Stiffness in Swimming Eels","10.1093/icb/38.4.771","09/1998","American Zoologist","VD8SAM7F"
"F8VY9WMT","journalArticle","A model of scale effects in mammalian quadrupedal running",,"2002/04/01","Journal of Experimental Biology","XK5E9LE4"
"KU9CUS6K","journalArticle","Neuronal activity in the isolated mouse spinal cord during spontaneous deletions in fictive locomotion: insights into locomotor central pattern generator organization","10.1113/jphysiol.2012.240895","2012-10-01","The Journal of Physiology","ADI9MVVM;N9R9QB36;RPTFU546;V22WMIYJ"
"VFBMSRFQ","journalArticle","Central Pattern Generator for Locomotion: Anatomical, Physiological, and Pathophysiological Considerations","10.3389/fneur.2012.00183","2013","Frontiers in Neurology","TYJX29H8"
