"id","title","author","year","animals","DOI"
"recWqAJogrnb38985","Neuromechanical Principles Underlying Movement Modularity and Their Implications for Rehabilitation","Ting","2015","Human","10.1016/j.neuron.2015.02.042"
"recXa5IYgA1M55Wii","Using animal data and neural dynamics to reverse engineer a neuromechanical rat model","Hunt","2015","Rat","10.1007/978-3-319-22979-9_21"
"recaEiW1fv8QTlWkz","A model of scale effects in mammalian quadrupedal running","Herr","2002","",""
"recb1Jn0d5PIm6gpk","Decoding the mechanisms of gait generation in salamanders by combining neurobiology, modeling and robotics","Bicanski","2013","Salamander","10.1007/s00422-012-0543-1"
"recdEuThwTVOEdcwz","Ankle extensor group I afferents excite extensors throughout the hindlimb during fictive locomotion in the cat.","Guertin","1995","Cat","10.1113/jphysiol.1995.sp020871"
"recdSXsgiaZQQGIQ5","Force feedback reinforces muscle synergies in insect legs","Sasha N. Zill","2015","Cockroach;Stick Insect","10.1016/j.asd.2015.07.001"
"recdWB4Bh9FKPEHYK","Neuromechanical Simulation of an inter-leg controller for tetrapod coordination","Hunt","2014","Rat","10.1007/978-3-319-09435-9_13"
"rece0GWaNeVWzC8pG","A Muscle-Reflex Model That Encodes Principles of Legged Mechanics Produces Human Walking Dynamics and Muscle Activities","Geyer and Herr","2010","Human","10.1109/TNSRE.2010.2047592"
"receWDFQyRMe7UvvZ","Resonance tuning in a neuro-musculo-skeletal model of the forearm","Verdaasdonk","2007","Human","10.1007/s00422-006-0112-6"
"receqsanpBJrR4x5v","New Moves in Motor Control","Buschges","2011","","10.1016/j.cub.2011.05.029"
"recf6gvkwsPmIHY3N","AnimatLab: A 3D graphics environment for neuromechanical simulations","Cofer","2010","","10.1016/j.jneumeth.2010.01.005"
"recfCLJpSnraphHug","Modeling the mammalian locomotor CPG: insights from mistakes and perturbations","McCrea and Rybak","2007","Cat","10.1016/S0079-6123(06)65015-2"
"recfRnmXD28Ogkq4e","Control of Mammalian Locomotion by Somatosensory Feedback","Frigon","2021","Mammals","10.1002/cphy.c210020"
"recfiz9tzgn955QdA","Contribution of Hind Limb Flexor Muscle Afferents to the Timing of Phase Transitions in the Cat Step Cycle","Hiebert","1996","Cat","10.1152/jn.1996.75.3.1126"
