TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2626	0.5252	-0.0565489	-0.0846833	-0.060124	-0.057935	-0.058657	-0.0592032
2627	0.5254	-0.0565606	-0.0846838	-0.060122	-0.0579361	-0.0586636	-0.059197
2628	0.5256	-0.0565724	-0.0846843	-0.06012	-0.0579373	-0.0586703	-0.0591908
2629	0.5258	-0.0565841	-0.0846849	-0.060118	-0.0579385	-0.058677	-0.0591846
2630	0.526	-0.0565958	-0.0846855	-0.060116	-0.0579397	-0.0586837	-0.0591783
2631	0.5262	-0.0566075	-0.0846862	-0.060114	-0.0579408	-0.0586904	-0.059172
2632	0.5264	-0.0566192	-0.0846869	-0.060112	-0.057942	-0.0586972	-0.0591656
2633	0.5266	-0.0566309	-0.0846876	-0.0601099	-0.0579432	-0.058704	-0.0591592
2634	0.5268	-0.0566427	-0.0846884	-0.0601079	-0.0579443	-0.0587108	-0.0591527
2635	0.527	-0.0566544	-0.0846892	-0.0601058	-0.0579455	-0.0587176	-0.0591463
2636	0.5272	-0.0566661	-0.08469	-0.0601038	-0.0579467	-0.0587245	-0.0591397
2637	0.5274	-0.0566778	-0.084691	-0.0601018	-0.0579479	-0.0587314	-0.0591332
2638	0.5276	-0.0566895	-0.0846919	-0.0600997	-0.0579491	-0.0587383	-0.0591266
2639	0.5278	-0.0567012	-0.0846929	-0.0600977	-0.0579502	-0.0587453	-0.0591199
2640	0.528	-0.0567129	-0.0846939	-0.0600956	-0.0579514	-0.0587522	-0.0591132
2641	0.5282	-0.0567246	-0.084695	-0.0600935	-0.0579526	-0.0587592	-0.0591065
2642	0.5284	-0.0567363	-0.0846961	-0.0600915	-0.0579538	-0.0587662	-0.0590997
2643	0.5286	-0.056748	-0.0846972	-0.0600894	-0.057955	-0.0587733	-0.0590929
2644	0.5288	-0.0567597	-0.0846984	-0.0600873	-0.0579562	-0.0587804	-0.0590861
2645	0.529	-0.0567714	-0.0846996	-0.0600852	-0.0579574	-0.0587875	-0.0590792
2646	0.5292	-0.0567832	-0.0847009	-0.0600831	-0.0579586	-0.0587946	-0.0590722
2647	0.5294	-0.0567949	-0.0847022	-0.060081	-0.0579598	-0.0588017	-0.0590653
2648	0.5296	-0.0568066	-0.0847035	-0.0600789	-0.057961	-0.0588089	-0.0590582
2649	0.5298	-0.0568184	-0.0847049	-0.0600768	-0.0579621	-0.0588161	-0.0590512
2650	0.53	-0.0568301	-0.0847063	-0.0600747	-0.0579633	-0.0588233	-0.0590441
2651	0.5302	-0.0568419	-0.0847077	-0.0600726	-0.0579645	-0.0588306	-0.0590369
2652	0.5304	-0.0568537	-0.0847092	-0.0600705	-0.0579657	-0.0588378	-0.0590297
2653	0.5306	-0.0568654	-0.0847107	-0.0600684	-0.057967	-0.0588451	-0.0590224
2654	0.5308	-0.0568772	-0.0847123	-0.0600662	-0.0579682	-0.0588525	-0.0590152
2655	0.531	-0.056889	-0.0847139	-0.0600641	-0.0579694	-0.0588598	-0.0590078
2656	0.5312	-0.0569009	-0.0847155	-0.060062	-0.0579706	-0.0588672	-0.0590004
2657	0.5314	-0.0569127	-0.0847172	-0.0600598	-0.0579718	-0.0588746	-0.058993
2658	0.5316	-0.0569245	-0.0847189	-0.0600577	-0.057973	-0.058882	-0.0589855
2659	0.5318	-0.0569364	-0.0847206	-0.0600555	-0.0579742	-0.0588895	-0.058978
2660	0.532	-0.0569482	-0.0847223	-0.0600534	-0.0579754	-0.058897	-0.0589704
2661	0.5322	-0.0569601	-0.0847241	-0.0600512	-0.0579766	-0.0589045	-0.0589628
2662	0.5324	-0.056972	-0.084726	-0.060049	-0.0579778	-0.058912	-0.0589552
2663	0.5326	-0.0569839	-0.0847278	-0.0600468	-0.0579791	-0.0589196	-0.0589474
2664	0.5328	-0.0569958	-0.0847297	-0.0600447	-0.0579803	-0.0589272	-0.0589397
2665	0.533	-0.0570077	-0.0847316	-0.0600425	-0.0579815	-0.0589348	-0.0589319
2666	0.5332	-0.0570196	-0.0847336	-0.0600403	-0.0579827	-0.0589424	-0.058924
2667	0.5334	-0.0570316	-0.0847356	-0.0600381	-0.0579839	-0.0589501	-0.0589161
2668	0.5336	-0.0570436	-0.0847376	-0.0600359	-0.0579852	-0.0589578	-0.0589081
