TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
80	0.016	-0.058098	-0.0581738	-0.0574909	-0.0574909	-0.0546841	-0.058621	-0.0815039	-0.0932821	-0.0573431	-0.05644
81	0.0162	-0.0580853	-0.0581678	-0.057481	-0.057481	-0.054722	-0.0586263	-0.081559	-0.0933994	-0.0573509	-0.0564308
82	0.0164	-0.0580726	-0.0581616	-0.0574716	-0.0574716	-0.0547584	-0.0586314	-0.0816114	-0.0935117	-0.0573579	-0.056421
83	0.0166	-0.0580601	-0.058155	-0.0574625	-0.0574625	-0.0547934	-0.0586362	-0.0816608	-0.0936192	-0.0573641	-0.0564106
84	0.0168	-0.0580475	-0.0581483	-0.0574538	-0.0574538	-0.0548271	-0.0586409	-0.0817071	-0.093722	-0.0573695	-0.0563997
85	0.017	-0.0580352	-0.0581413	-0.0574443	-0.0574443	-0.054875	-0.0586492	-0.0817502	-0.0938204	-0.0573741	-0.0563882
86	0.0172	-0.0580228	-0.0581341	-0.0574351	-0.0574351	-0.0549211	-0.0586572	-0.0817921	-0.0939149	-0.0573781	-0.0563763
87	0.0174	-0.0580106	-0.0581268	-0.0574264	-0.0574264	-0.0549654	-0.0586649	-0.0818325	-0.0940057	-0.0573813	-0.0563639
88	0.0176	-0.0579985	-0.0581192	-0.057418	-0.057418	-0.0550079	-0.0586723	-0.0818712	-0.0940929	-0.0573838	-0.056351
89	0.0178	-0.0579866	-0.0581116	-0.0574099	-0.0574099	-0.0550488	-0.0586793	-0.081908	-0.0941767	-0.0573856	-0.0563377
90	0.018	-0.0579749	-0.0581038	-0.057401	-0.057401	-0.0551026	-0.0586899	-0.0819427	-0.0942571	-0.0573868	-0.0563239
91	0.0182	-0.0579632	-0.0580959	-0.0573925	-0.0573925	-0.0551543	-0.0587	-0.081977	-0.0943347	-0.0573874	-0.0563098
92	0.0184	-0.0579518	-0.0580879	-0.0573844	-0.0573844	-0.055204	-0.0587097	-0.0820107	-0.0944096	-0.0573874	-0.0562954
93	0.0186	-0.0579405	-0.0580797	-0.0573765	-0.0573765	-0.0552517	-0.058719	-0.0820434	-0.0944818	-0.0573868	-0.0562805
94	0.0188	-0.0579294	-0.0580715	-0.057369	-0.057369	-0.0552975	-0.058728	-0.082075	-0.0945514	-0.0573856	-0.0562654
95	0.019	-0.0579185	-0.0580633	-0.0573607	-0.0573607	-0.055355	-0.0587402	-0.082105	-0.0946185	-0.0573839	-0.05625
96	0.0192	-0.0579078	-0.058055	-0.0573528	-0.0573528	-0.0554103	-0.058752	-0.0821353	-0.0946836	-0.0573816	-0.0562342
97	0.0194	-0.0578973	-0.0580466	-0.0573452	-0.0573452	-0.0554633	-0.0587633	-0.0821654	-0.0947466	-0.0573789	-0.0562182
98	0.0196	-0.057887	-0.0580381	-0.0573378	-0.0573378	-0.0555143	-0.0587741	-0.0821949	-0.0948077	-0.0573756	-0.0562019
99	0.0198	-0.0578768	-0.0580297	-0.0573308	-0.0573308	-0.0555633	-0.0587846	-0.0822237	-0.0948668	-0.0573718	-0.0561854
100	0.02	-0.057867	-0.0580212	-0.057323	-0.057323	-0.0556228	-0.0587981	-0.0822514	-0.094924	-0.0573676	-0.0561687
101	0.0202	-0.0578573	-0.0580127	-0.0573156	-0.0573156	-0.0556799	-0.0588111	-0.0822795	-0.0949797	-0.057363	-0.0561518
102	0.0204	-0.0578478	-0.0580042	-0.0573084	-0.0573084	-0.0557348	-0.0588236	-0.0823076	-0.0950339	-0.0573579	-0.0561347
103	0.0206	-0.0578385	-0.0579956	-0.0573016	-0.0573016	-0.0557876	-0.0588356	-0.0823355	-0.0950866	-0.0573524	-0.0561174
104	0.0208	-0.0578294	-0.0579871	-0.057295	-0.057295	-0.0558382	-0.0588471	-0.0823628	-0.0951379	-0.0573465	-0.0560999
105	0.021	-0.0578206	-0.0579786	-0.0572877	-0.0572877	-0.0558983	-0.0588615	-0.0823892	-0.0951877	-0.0573402	-0.0560823
106	0.0212	-0.0578119	-0.0579701	-0.0572807	-0.0572807	-0.0559561	-0.0588754	-0.0824161	-0.0952364	-0.0573335	-0.0560645
