TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
51	0.0102	-0.05973	-0.0599502	-0.059999	-0.0599982	-0.0595716	-0.0591185	-0.0805806	-0.0835693	-0.0563689	-0.0565678
52	0.0104	-0.0597775	-0.0599885	-0.0599989	-0.0599982	-0.0595771	-0.0591057	-0.0812346	-0.084122	-0.0564016	-0.0566049
53	0.0106	-0.0598222	-0.0600243	-0.0599989	-0.0599982	-0.0595824	-0.0590933	-0.0818565	-0.0846486	-0.0564335	-0.056641
54	0.0108	-0.0598646	-0.0600577	-0.0599989	-0.0599982	-0.0595876	-0.0590815	-0.0824497	-0.0851507	-0.0564646	-0.0566758
55	0.011	-0.0599049	-0.060089	-0.0599989	-0.0599982	-0.0595962	-0.0590721	-0.0830165	-0.0856296	-0.056495	-0.0567094
56	0.0112	-0.0599432	-0.0601183	-0.0599989	-0.0599981	-0.0596045	-0.0590631	-0.0835581	-0.0860871	-0.0565245	-0.0567418
57	0.0114	-0.0599796	-0.0601456	-0.0599989	-0.0599981	-0.0596124	-0.0590545	-0.0840757	-0.0865244	-0.0565531	-0.0567731
58	0.0116	-0.0600141	-0.0601711	-0.0599989	-0.0599981	-0.0596201	-0.0590462	-0.0845704	-0.0869426	-0.0565808	-0.0568031
59	0.0118	-0.0600469	-0.0601951	-0.0599989	-0.0599981	-0.0596274	-0.0590382	-0.0850432	-0.0873434	-0.0566076	-0.0568318
60	0.012	-0.0600781	-0.0602177	-0.0599989	-0.0599981	-0.0596376	-0.0590326	-0.0854952	-0.0877286	-0.0566335	-0.0568594
61	0.0122	-0.0601076	-0.0602391	-0.0599989	-0.0599981	-0.0596474	-0.0590271	-0.0859273	-0.0880992	-0.0566585	-0.0568858
62	0.0124	-0.0601357	-0.0602594	-0.0599989	-0.0599981	-0.0596569	-0.0590219	-0.0863406	-0.0884559	-0.0566825	-0.0569111
63	0.0126	-0.0601624	-0.0602786	-0.0599989	-0.0599981	-0.0596659	-0.0590169	-0.0867358	-0.0887993	-0.0567056	-0.0569351
64	0.0128	-0.0601876	-0.0602968	-0.0599989	-0.0599981	-0.0596747	-0.0590121	-0.0871137	-0.0891298	-0.0567277	-0.0569581
65	0.013	-0.0602117	-0.0603139	-0.0599989	-0.0599981	-0.0596857	-0.0590094	-0.0874752	-0.0894479	-0.0567489	-0.0569799
66	0.0132	-0.0602344	-0.0603301	-0.0599989	-0.0599981	-0.0596963	-0.0590068	-0.0878211	-0.0897546	-0.0567692	-0.0570007
67	0.0134	-0.0602561	-0.0603455	-0.0599989	-0.0599981	-0.0597066	-0.0590044	-0.0881521	-0.0900502	-0.0567885	-0.0570203
68	0.0136	-0.0602766	-0.06036	-0.0599989	-0.0599981	-0.0597164	-0.059002	-0.0884688	-0.0903352	-0.0568068	-0.0570389
69	0.0138	-0.0602961	-0.0603737	-0.0599988	-0.0599981	-0.0597258	-0.0589997	-0.0887719	-0.09061	-0.0568243	-0.0570565
70	0.014	-0.0603146	-0.0603867	-0.0599988	-0.059998	-0.0597365	-0.0589994	-0.0890619	-0.0908749	-0.0568408	-0.0570731
71	0.0142	-0.0603322	-0.060399	-0.0599988	-0.059998	-0.0597469	-0.0589991	-0.0893397	-0.0911306	-0.0568564	-0.0570887
72	0.0144	-0.0603488	-0.0604106	-0.0599988	-0.059998	-0.0597568	-0.0589988	-0.0896056	-0.0913774	-0.056871	-0.0571033
73	0.0146	-0.0603647	-0.0604216	-0.0599988	-0.059998	-0.0597663	-0.0589986	-0.0898603	-0.0916156	-0.0568848	-0.057117
74	0.0148	-0.0603797	-0.060432	-0.0599988	-0.059998	-0.0597755	-0.0589983	-0.0901042	-0.0918455	-0.0568977	-0.0571298
75	0.015	-0.060394	-0.0604419	-0.0599988	-0.059998	-0.0597843	-0.0589999	-0.0903378	-0.0920674	-0.0569098	-0.0571416
76	0.0152	-0.0604075	-0.0604512	-0.0599988	-0.059998	-0.0597927	-0.0590015	-0.0905617	-0.0922815	-0.0569209	-0.0571526
77	0.0154	-0.0604204	-0.0604601	-0.0599988	-0.059998	-0.0598009	-0.059003	-0.090775	-0.0924882	-0.0569312	-0.0571627
78	0.0156	-0.0604323	-0.0604684	-0.0599988	-0.059998	-0.0598087	-0.0590045	-0.0909737	-0.0926877	-0.0569407	-0.057172
