TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
53	0.0106	-0.059822	-0.0600245	-0.0599989	-0.0599982	-0.0590926	-0.0595916	-0.0818692	-0.0846679	-0.0564292	-0.0566465
54	0.0108	-0.0598644	-0.0600579	-0.0599989	-0.0599982	-0.059079	-0.0595968	-0.0824797	-0.0851519	-0.0564605	-0.0566812
55	0.011	-0.0599047	-0.0600892	-0.0599989	-0.0599982	-0.0590668	-0.0596062	-0.0830648	-0.0856116	-0.056491	-0.0567146
56	0.0112	-0.059943	-0.0601184	-0.0599989	-0.0599981	-0.0590551	-0.0596153	-0.0836263	-0.0860482	-0.0565208	-0.0567468
57	0.0114	-0.0599793	-0.0601457	-0.0599989	-0.0599981	-0.0590438	-0.0596239	-0.0841652	-0.0864631	-0.0565497	-0.0567777
58	0.0116	-0.0600139	-0.0601712	-0.0599989	-0.0599981	-0.059033	-0.0596323	-0.0846824	-0.0868576	-0.0565779	-0.0568073
59	0.0118	-0.0600467	-0.0601952	-0.0599989	-0.0599981	-0.0590226	-0.0596403	-0.0851789	-0.0872333	-0.0566052	-0.0568357
60	0.012	-0.0600778	-0.0602178	-0.0599989	-0.0599981	-0.0590133	-0.0596519	-0.0856555	-0.0875924	-0.0566316	-0.0568627
61	0.0122	-0.0601074	-0.0602393	-0.0599989	-0.0599981	-0.0590045	-0.0596631	-0.0861137	-0.0879355	-0.0566572	-0.0568885
62	0.0124	-0.0601354	-0.0602596	-0.0599988	-0.0599981	-0.058996	-0.0596738	-0.0865542	-0.0882634	-0.0566819	-0.056913
63	0.0126	-0.060162	-0.0602788	-0.0599988	-0.0599981	-0.0589878	-0.0596841	-0.0869778	-0.0885768	-0.0567058	-0.0569363
64	0.0128	-0.0601873	-0.0602969	-0.0599988	-0.0599981	-0.0589799	-0.059694	-0.0873851	-0.0888763	-0.0567288	-0.0569584
65	0.013	-0.0602113	-0.0603141	-0.0599988	-0.0599981	-0.0589731	-0.059706	-0.0877768	-0.0891625	-0.0567509	-0.0569793
66	0.0132	-0.060234	-0.0603304	-0.0599988	-0.0599981	-0.0589666	-0.0597175	-0.0881539	-0.0894361	-0.0567721	-0.056999
67	0.0134	-0.0602556	-0.0603458	-0.0599988	-0.0599981	-0.0589603	-0.0597286	-0.088517	-0.0896976	-0.0567926	-0.0570175
68	0.0136	-0.0602761	-0.0603604	-0.0599988	-0.0599981	-0.0589543	-0.0597392	-0.0888666	-0.0899476	-0.0568121	-0.0570349
69	0.0138	-0.0602955	-0.0603742	-0.0599988	-0.0599981	-0.0589485	-0.0597494	-0.0892033	-0.0901866	-0.0568308	-0.0570512
70	0.014	-0.0603139	-0.0603872	-0.0599988	-0.059998	-0.0589436	-0.0597593	-0.0895274	-0.090415	-0.0568487	-0.0570663
71	0.0142	-0.0603314	-0.0603996	-0.0599988	-0.059998	-0.058939	-0.0597687	-0.0898397	-0.0906334	-0.0568657	-0.0570804
72	0.0144	-0.0603479	-0.0604113	-0.0599988	-0.059998	-0.0589345	-0.0597778	-0.0901404	-0.0908423	-0.056882	-0.0570934
73	0.0146	-0.0603637	-0.0604224	-0.0599988	-0.059998	-0.0589302	-0.0597865	-0.09043	-0.0910419	-0.0568974	-0.0571054
74	0.0148	-0.0603786	-0.060433	-0.0599988	-0.059998	-0.0589261	-0.0597949	-0.0907089	-0.0912328	-0.056912	-0.0571163
75	0.015	-0.0603927	-0.060443	-0.0599988	-0.059998	-0.0589229	-0.0598029	-0.0909776	-0.0914152	-0.0569258	-0.0571263
76	0.0152	-0.0604061	-0.0604524	-0.0599988	-0.059998	-0.0589198	-0.0598106	-0.0912364	-0.0915897	-0.0569389	-0.0571353
77	0.0154	-0.0604188	-0.0604614	-0.0599988	-0.059998	-0.0589169	-0.0598181	-0.0914845	-0.0917566	-0.0569512	-0.0571433
78	0.0156	-0.0604305	-0.0604699	-0.0599988	-0.059998	-0.0589141	-0.0598252	-0.0917178	-0.0919161	-0.0569627	-0.0571504
79	0.0158	-0.0604414	-0.0604781	-0.0599988	-0.059998	-0.0589113	-0.059832	-0.0919366	-0.0920687	-0.0569735	-0.0571566
80	0.016	-0.0604513	-0.0604858	-0.0599988	-0.059998	-0.0589095	-0.0598386	-0.0921413	-0.0922145	-0.0569835	-0.0571619
81	0.0162	-0.0604605	-0.0604931	-0.0599988	-0.059998	-0.0589078	-0.059845	-0.0923323	-0.092354	-0.0569927	-0.0571663
82	0.0164	-0.0604688	-0.0605001	-0.0599988	-0.059998	-0.0589062	-0.059851	-0.09251	-0.0924874	-0.0570011	-0.0571699
83	0.0166	-0.0604764	-0.0605068	-0.0599988	-0.059998	-0.0589046	-0.0598569	-0.0926746	-0.0926149	-0.0570087	-0.0571727
84	0.0168	-0.0604833	-0.0605131	-0.0599987	-0.059998	-0.0589031	-0.0598625	-0.0928266	-0.0927369	-0.0570156	-0.0571747
85	0.017	-0.0604895	-0.0605192	-0.0599987	-0.059998	-0.0589025	-0.0598679	-0.0929662	-0.0928535	-0.0570216	-0.0571759
86	0.0172	-0.060495	-0.060525	-0.0599987	-0.059998	-0.0589019	-0.0598731	-0.0930939	-0.0929651	-0.0570268	-0.0571764
87	0.0174	-0.0604999	-0.0605306	-0.0599987	-0.059998	-0.0589014	-0.059878	-0.09321	-0.0930717	-0.0570313	-0.0571762
88	0.0176	-0.0605042	-0.0605359	-0.0599987	-0.059998	-0.0589009	-0.0598828	-0.0933147	-0.0931738	-0.0570349	-0.0571752
89	0.0178	-0.0605079	-0.060541	-0.0599987	-0.059998	-0.0589004	-0.0598874	-0.0934086	-0.0932713	-0.0570378	-0.0571736
90	0.018	-0.0605111	-0.0605459	-0.0599987	-0.059998	-0.0589009	-0.0598918	-0.0934918	-0.0933646	-0.0570398	-0.0571712
91	0.0182	-0.0605137	-0.0605506	-0.0599987	-0.059998	-0.0589014	-0.0598961	-0.0935647	-0.0934538	-0.0570411	-0.0571683
92	0.0184	-0.0605159	-0.0605552	-0.0599987	-0.059998	-0.0589018	-0.0599001	-0.0936277	-0.0935391	-0.0570415	-0.0571647
93	0.0186	-0.0605175	-0.0605596	-0.0599987	-0.059998	-0.0589023	-0.0599041	-0.0936811	-0.0936208	-0.0570412	-0.0571606
94	0.0188	-0.0605188	-0.0605639	-0.0599987	-0.059998	-0.0589027	-0.0599078	-0.0937251	-0.0936988	-0.0570401	-0.0571558
