TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
6814	1.3628	-0.0568656	-0.06	-0.0576615	-0.0605046
6815	1.363	-0.056867	-0.06	-0.0576626	-0.0605027
6816	1.3632	-0.0568684	-0.06	-0.0576638	-0.0605009
6817	1.3634	-0.0568698	-0.06	-0.057665	-0.060499
6818	1.3636	-0.0568713	-0.06	-0.0576662	-0.0604972
6819	1.3638	-0.0568727	-0.06	-0.0576674	-0.0604954
6820	1.364	-0.0568741	-0.06	-0.0576686	-0.0604935
6821	1.3642	-0.0568755	-0.06	-0.0576697	-0.0604917
6822	1.3644	-0.0568769	-0.06	-0.0576709	-0.0604899
6823	1.3646	-0.0568783	-0.06	-0.0576721	-0.0604881
6824	1.3648	-0.0568797	-0.06	-0.0576732	-0.0604863
6825	1.365	-0.0568811	-0.06	-0.0576744	-0.0604845
6826	1.3652	-0.0568824	-0.06	-0.0576756	-0.0604827
6827	1.3654	-0.0568838	-0.06	-0.0576767	-0.0604809
6828	1.3656	-0.0568852	-0.06	-0.0576779	-0.0604791
6829	1.3658	-0.0568866	-0.06	-0.057679	-0.0604773
6830	1.366	-0.056888	-0.06	-0.0576802	-0.0604755
6831	1.3662	-0.0568893	-0.06	-0.0576814	-0.0604738
6832	1.3664	-0.0568907	-0.06	-0.0576825	-0.060472
6833	1.3666	-0.056892	-0.06	-0.0576837	-0.0604702
6834	1.3668	-0.0568934	-0.06	-0.0576848	-0.0604685
6835	1.367	-0.0568948	-0.06	-0.0576859	-0.0604667
6836	1.3672	-0.0568961	-0.06	-0.0576871	-0.060465
6837	1.3674	-0.0568975	-0.06	-0.0576882	-0.0604632
6838	1.3676	-0.0568988	-0.06	-0.0576894	-0.0604615
6839	1.3678	-0.0569001	-0.06	-0.0576905	-0.0604597
6840	1.368	-0.0569015	-0.06	-0.0576916	-0.060458
6841	1.3682	-0.0569028	-0.06	-0.0576928	-0.0604562
6842	1.3684	-0.0569042	-0.06	-0.0576939	-0.0604545
6843	1.3686	-0.0569055	-0.06	-0.057695	-0.0604528
6844	1.3688	-0.0569068	-0.06	-0.0576962	-0.060451
6845	1.369	-0.0569081	-0.06	-0.0576973	-0.0604493
6846	1.3692	-0.0569095	-0.06	-0.0576984	-0.0604476
6847	1.3694	-0.0569108	-0.06	-0.0576996	-0.0604459
6848	1.3696	-0.0569121	-0.06	-0.0577007	-0.0604442
6849	1.3698	-0.0569134	-0.06	-0.0577018	-0.0604425
6850	1.37	-0.0569147	-0.06	-0.0577029	-0.0604408
6851	1.3702	-0.056916	-0.06	-0.0577041	-0.060439
6852	1.3704	-0.0569173	-0.06	-0.0577052	-0.0604373
6853	1.3706	-0.0569187	-0.06	-0.0577063	-0.0604356
6854	1.3708	-0.05692	-0.06	-0.0577074	-0.060434
6855	1.371	-0.0569213	-0.06	-0.0577085	-0.0604323
6856	1.3712	-0.0569226	-0.06	-0.0577096	-0.0604306
6857	1.3714	-0.0569239	-0.06	-0.0577108	-0.0604289
6858	1.3716	-0.0569252	-0.06	-0.0577119	-0.0604272
6859	1.3718	-0.0569264	-0.06	-0.057713	-0.0604255
6860	1.372	-0.0569277	-0.06	-0.0577141	-0.0604238
6861	1.3722	-0.056929	-0.06	-0.0577152	-0.0604221
6862	1.3724	-0.0569303	-0.06	-0.0577163	-0.0604205
6863	1.3726	-0.0569316	-0.06	-0.0577174	-0.0604188
6864	1.3728	-0.0569329	-0.06	-0.0577185	-0.0604171
6865	1.373	-0.0569342	-0.06	-0.0577196	-0.0604155
6866	1.3732	-0.0569355	-0.06	-0.0577207	-0.0604138
6867	1.3734	-0.0569367	-0.06	-0.0577218	-0.0604121
6868	1.3736	-0.056938	-0.06	-0.0577229	-0.0604105
6869	1.3738	-0.0569393	-0.06	-0.057724	-0.0604088
6870	1.374	-0.0569406	-0.06	-0.0577251	-0.0604071
6871	1.3742	-0.0569418	-0.06	-0.0577262	-0.0604055
6872	1.3744	-0.0569431	-0.06	-0.0577273	-0.0604038
6873	1.3746	-0.0569444	-0.06	-0.0577284	-0.0604022
6874	1.3748	-0.0569457	-0.06	-0.0577295	-0.0604005
