TimeSlice	Time	hip_L_deg	knee_L_deg	ankle_L_deg	hip_R_deg	knee_R_deg	ankle_R_deg	RG_L_stance	RG_L_inhabit	RG_R_stance	PF_L_hip_ext	PF_L_knee	PF_L_dorsi	MN_L_hip_ext	MN_L_knee_ext
40	0.008	0.699602	0.810236	-12.6967	0.698294	0.806513	-12.7009	-0.0564685	-0.0551639	-0.0578436	-0.055439	-0.0556453	-0.0550753	-0.06	-0.0569029
41	0.0082	0.699602	0.810236	-12.6967	0.698294	0.806513	-12.7009	-0.0568617	-0.0551182	-0.0581304	-0.0553129	-0.0560009	0	-0.06	-0.0559627
42	0.0084	0.699602	0.810236	-12.6967	0.698294	0.806513	-12.7009	-0.0571258	-0.0550744	-0.0583202	-0.0553102	-0.0563985	-0.0553431	-0.06	-0.0552205
43	0.0086	0.699602	0.810236	-12.6967	0.698294	0.806513	-12.7009	-0.0572468	-0.0550323	-0.0583776	-0.0552612	-0.0568664	-0.0558511	-0.06	-0.0546458
44	0.0088	0.875447	1.20394	-12.0172	0.874036	1.19997	-12.0207	-0.0572703	-0.0549918	-0.0588311	-0.0553009	-0.0570795	-0.0561235	-0.06	-0.0542129
45	0.009	0.875447	1.20394	-12.0172	0.874036	1.19997	-12.0207	-0.0575454	-0.0549529	-0.0590561	-0.0553751	-0.0575096	-0.0566519	-0.06	-0.0539004
46	0.0092	0.875447	1.20394	-12.0172	0.874036	1.19997	-12.0207	-0.0576893	-0.0549155	-0.0590746	-0.0552532	-0.0578663	-0.0571289	-0.06	-0.0536898
47	0.0094	0.875447	1.20394	-12.0172	0.874036	1.19997	-12.0207	-0.0579745	-0.0548796	-0.0592508	-0.0552234	-0.0578869	-0.0575177	-0.06	-0.0535658
48	0.0096	0.875447	1.20394	-12.0172	0.874036	1.19997	-12.0207	-0.0581174	-0.0548452	-0.0595186	-0.0552289	-0.0580025	-0.0578104	-0.06	-0.0535152
49	0.0098	1.05352	1.63132	-10.8579	1.05228	1.62793	-10.8593	-0.0583255	-0.054812	-0.0595499	-0.0553327	-0.0583883	-0.0581498	-0.06	-0.0535267
50	0.01	1.05352	1.63132	-10.8579	1.05228	1.62793	-10.8593	-0.058569	-0.0547802	-0.0598828	-0.0552626	-0.0584179	-0.0583302	-0.06	0
51	0.0102	1.05352	1.63132	-10.8579	1.05228	1.62793	-10.8593	-0.0588276	-0.0547496	-0.059951	-0.0554102	-0.0584579	-0.0582962	-0.06	-0.0543101
52	0.0104	1.05352	1.63132	-10.8579	1.05228	1.62793	-10.8593	-0.0588071	-0.0547202	-0.0600261	-0.0552616	-0.0586324	-0.0581976	-0.06	-0.0549832
53	0.0106	1.05352	1.63132	-10.8579	1.05228	1.62793	-10.8593	-0.0590235	-0.054692	-0.059981	-0.0552196	-0.0585982	-0.0583103	-0.06	-0.0556145
54	0.0108	1.23098	2.07795	-9.38087	1.22831	2.06159	-9.58739	-0.0591332	-0.0546648	-0.0598699	-0.0552103	-0.0585474	-0.0581741	-0.06	-0.0562077
55	0.011	1.23098	2.07795	-9.38087	1.22831	2.06159	-9.58739	-0.0588962	-0.0546388	-0.0600672	-0.0551139	-0.0587765	-0.0585148	-0.06	-0.056766
56	0.0112	1.23098	2.07795	-9.38087	1.22831	2.06159	-9.58739	-0.0586897	-0.0546137	-0.0599026	-0.0558084	-0.0587288	-0.0583612	-0.0603844	-0.0572923
57	0.0114	1.23098	2.07795	-9.38087	1.22831	2.06159	-9.58739	-0.0586374	-0.0545896	-0.0599005	-0.0563933	-0.0589726	-0.0579659	-0.0607321	-0.0577889
58	0.0116	1.23098	2.07795	-9.38087	1.22831	2.06159	-9.58739	-0.0586185	-0.0545665	-0.0597228	-0.0567022	-0.0591101	-0.0576152	-0.0610465	-0.058258
59	0.0118	1.4026	2.52405	-7.70522	1.39775	2.47708	-8.47724	-0.0584073	-0.0545443	-0.0598688	-0.0569591	-0.0596631	-0.0576111	-0.0613307	-0.0587014
60	0.012	1.4026	2.52405	-7.70522	1.39775	2.47708	-8.47724	-0.0582405	-0.054523	-0.0598041	-0.0571276	-0.0598434	-0.057248	-0.0615876	-0.059121
61	0.0122	1.4026	2.52405	-7.70522	1.39775	2.47708	-8.47724	-0.0582594	-0.0545025	-0.0597509	-0.0573566	-0.0600706	-0.0571899	-0.0618196	-0.0595182
62	0.0124	1.4026	2.52405	-7.70522	1.39775	2.47708	-8.47724	-0.0580678	-0.0544828	-0.0599162	-0.0575493	-0.060434	-0.0568611	-0.0620291	-0.0598942
63	0.0126	1.4026	2.52405	-7.70522	1.39775	2.47708	-8.47724	-0.0581486	-0.0544638	-0.0599487	-0.0580448	-0.06077	-0.057002	-0.0622179	-0.0602505
64	0.0128	1.56331	2.9491	-5.98682	1.55728	2.8552	-7.77495	-0.0579866	-0.0544456	-0.0601628	-0.0581005	-0.061045	-0.0571114	-0.0623881	-0.060588
65	0.013	1.56331	2.9491	-5.98682	1.55728	2.8552	-7.77495	-0.0580233	-0.0544282	-0.0603629	-0.0582548	-0.0614229	-0.0569991	-0.0625412	-0.0609078
66	0.0132	1.56331	2.9491	-5.98682	1.55728	2.8552	-7.77495	-0.0579614	-0.0544114	-0.0600979	-0.0582368	-0.0615615	-0.0567646	-0.0626788	-0.0612109
67	0.0134	1.56331	2.9491	-5.98682	1.55728	2.8552	-7.77495	-0.0580577	-0.0543952	-0.059874	-0.0584711	-0.0614175	-0.0568028	-0.0628021	-0.0614981
68	0.0136	1.56331	2.9491	-5.98682	1.55728	2.8552	-7.77495	-0.0579184	-0.0543798	-0.0600329	-0.058704	-0.0615109	-0.0569087	-0.0629125	-0.0617703
69	0.0138	1.70916	3.33523	-4.37286	1.70693	3.19065	-7.56713	-0.0581232	-0.0543649	-0.0601241	-0.0587652	-0.0613634	-0.0566621	-0.0630111	-0.0620282
70	0.014	1.70916	3.33523	-4.37286	1.70693	3.19065	-7.56713	-0.058093	-0.0543506	-0.0602965	-0.0586937	-0.0616363	-0.0565611	-0.0630988	-0.0622725
71	0.0142	1.70916	3.33523	-4.37286	1.70693	3.19065	-7.56713	-0.0578075	-0.0543368	-0.0601547	-0.0588349	-0.0621283	-0.0566065	-0.0631766	-0.062504
72	0.0144	1.70916	3.33523	-4.37286	1.70693	3.19065	-7.56713	-0.0578849	-0.0543236	-0.0598572	-0.0591081	-0.0625318	-0.0564265	-0.0632453	-0.0627231
73	0.0146	1.70916	3.33523	-4.37286	1.70693	3.19065	-7.56713	-0.057951	-0.0543109	-0.0597943	-0.0590527	-0.0625162	-0.0564444	-0.0633058	-0.0629306
74	0.0148	1.82358	3.55017	-4.91256	1.84843	3.48539	-7.81041	-0.0578279	-0.0542987	-0.0597414	-0.0590065	-0.0627881	-0.056551	-0.0633585	-0.0631271
75	0.015	1.82358	3.55017	-4.91256	1.84843	3.48539	-7.81041	-0.0579384	-0.054287	-0.0597103	-0.0589507	-0.062732	-0.0564216	-0.0634043	-0.063313
76	0.0152	1.82358	3.55017	-4.91256	1.84843	3.48539	-7.81041	-0.057857	-0.0542758	-0.0598776	-0.0592382	-0.0629691	-0.0564673	-0.0634436	-0.0634888
77	0.0154	1.82358	3.55017	-4.91256	1.84843	3.48539	-7.81041	-0.0575656	-0.0542649	-0.059909	-0.0594106	-0.0633289	-0.0562279	-0.0634771	-0.0636551
78	0.0156	1.82358	3.55017	-4.91256	1.84843	3.48539	-7.81041	-0.0573884	-0.0542546	-0.0597818	-0.0596753	-0.0635048	-0.0562262	-0.0635051	-0.0638124
79	0.0158	1.9233	3.73453	-5.09007	1.98649	3.75516	-8.36031	-0.0572252	-0.0542446	-0.0598545	-0.0599708	-0.0634721	-0.0562878	-0.0635282	-0.063961
