TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx
157	0.0314	-0.0562523	-0.0599806	-0.0567094	-0.0611519
158	0.0316	-0.0562346	-0.0599814	-0.0567076	-0.0611678
159	0.0318	-0.0562178	-0.0599821	-0.0567059	-0.0611833
160	0.032	-0.0562016	-0.0599828	-0.0567044	-0.0611984
161	0.0322	-0.0561862	-0.0599835	-0.056703	-0.0612131
162	0.0324	-0.0561715	-0.0599841	-0.0567017	-0.0612273
163	0.0326	-0.0561574	-0.0599847	-0.0567005	-0.0612412
164	0.0328	-0.0561439	-0.0599853	-0.0566994	-0.0612546
165	0.033	-0.0561311	-0.0599859	-0.0566983	-0.0612677
166	0.0332	-0.0561188	-0.0599865	-0.0566973	-0.0612803
167	0.0334	-0.0561071	-0.059987	-0.0566964	-0.0612926
168	0.0336	-0.056096	-0.0599875	-0.0566956	-0.0613044
169	0.0338	-0.0560853	-0.059988	-0.0566947	-0.0613159
170	0.034	-0.0560751	-0.0599885	-0.056694	-0.061327
171	0.0342	-0.0560654	-0.0599889	-0.0566933	-0.0613377
172	0.0344	-0.0560561	-0.0599894	-0.0566926	-0.061348
173	0.0346	-0.0560472	-0.0599898	-0.0566919	-0.061358
174	0.0348	-0.0560388	-0.0599902	-0.0566913	-0.0613676
175	0.035	-0.0560307	-0.0599906	-0.0566907	-0.0613769
176	0.0352	-0.056023	-0.0599909	-0.0566902	-0.0613858
177	0.0354	-0.0560157	-0.0599913	-0.0566896	-0.0613944
178	0.0356	-0.0560087	-0.0599916	-0.0566891	-0.0614026
179	0.0358	-0.056002	-0.059992	-0.0566886	-0.0614105
180	0.036	-0.0559956	-0.0599923	-0.0566881	-0.0614181
181	0.0362	-0.0559895	-0.0599926	-0.0566876	-0.0614255
182	0.0364	-0.0559836	-0.0599929	-0.0566872	-0.0614325
183	0.0366	-0.0559781	-0.0599931	-0.0566867	-0.0614392
184	0.0368	-0.0559728	-0.0599934	-0.0566863	-0.0614456
185	0.037	-0.0559677	-0.0599937	-0.0566858	-0.0614517
186	0.0372	-0.0559628	-0.0599939	-0.0566854	-0.0614576
187	0.0374	-0.0559582	-0.0599942	-0.056685	-0.0614632
188	0.0376	-0.0559538	-0.0599944	-0.0566846	-0.0614686
189	0.0378	-0.0559496	-0.0599946	-0.0566842	-0.0614737
190	0.038	-0.0559455	-0.0599948	-0.0566838	-0.0614786
191	0.0382	-0.0559417	-0.059995	-0.0566834	-0.0614832
192	0.0384	-0.055938	-0.0599952	-0.056683	-0.0614876
193	0.0386	-0.0559345	-0.0599954	-0.0566826	-0.0614918
194	0.0388	-0.0559311	-0.0599956	-0.0566822	-0.0614958
195	0.039	-0.0559279	-0.0599958	-0.0566818	-0.0614996
196	0.0392	-0.0559248	-0.0599959	-0.0566814	-0.0615032
197	0.0394	-0.0559219	-0.0599961	-0.056681	-0.0615066
198	0.0396	-0.055919	-0.0599962	-0.0566806	-0.0615097
199	0.0398	-0.0559163	-0.0599964	-0.0566802	-0.0615128
200	0.04	-0.0559137	-0.0599965	-0.0566799	-0.0615156
201	0.0402	-0.0559113	-0.0599967	-0.0566795	-0.0615183
202	0.0404	-0.0559089	-0.0599968	-0.0566791	-0.0615208
203	0.0406	-0.0559066	-0.0599969	-0.0566787	-0.0615231
204	0.0408	-0.0559044	-0.059997	-0.0566783	-0.0615253
205	0.041	-0.0559023	-0.0599972	-0.0566779	-0.0615273
206	0.0412	-0.0559003	-0.0599973	-0.0566776	-0.0615293
207	0.0414	-0.0558984	-0.0599974	-0.0566772	-0.061531
208	0.0416	-0.0558965	-0.0599975	-0.0566768	-0.0615327
209	0.0418	-0.0558947	-0.0599976	-0.0566764	-0.0615342
210	0.042	-0.055893	-0.0599977	-0.056676	-0.0615355
211	0.0422	-0.0558914	-0.0599978	-0.0566756	-0.0615368
212	0.0424	-0.0558898	-0.0599979	-0.0566752	-0.061538
213	0.0426	-0.0558882	-0.0599979	-0.0566748	-0.061539
214	0.0428	-0.0558868	-0.059998	-0.0566744	-0.0615399
215	0.043	-0.0558854	-0.0599981	-0.0566741	-0.0615407
216	0.0432	-0.055884	-0.0599982	-0.0566737	-0.0615415
217	0.0434	-0.0558827	-0.0599982	-0.0566733	-0.0615421
218	0.0436	-0.0558814	-0.0599983	-0.0566729	-0.0615427
219	0.0438	-0.0558802	-0.0599984	-0.0566725	-0.0615431
220	0.044	-0.055879	-0.0599984	-0.0566721	-0.0615435
221	0.0442	-0.0558778	-0.0599985	-0.0566717	-0.0615438
222	0.0444	-0.0558767	-0.0599986	-0.0566713	-0.061544
223	0.0446	-0.0558756	-0.0599986	-0.0566709	-0.0615441
224	0.0448	-0.0558746	-0.0599987	-0.0566705	-0.0615442
225	0.045	-0.0558736	-0.0599987	-0.0566701	-0.0615442
226	0.0452	-0.0558726	-0.0599988	-0.0566697	-0.0615441
227	0.0454	-0.0558716	-0.0599988	-0.0566693	-0.061544
228	0.0456	-0.0558707	-0.0599989	-0.0566689	-0.0615438
229	0.0458	-0.0558698	-0.0599989	-0.0566685	-0.0615435
230	0.046	-0.0558689	-0.059999	-0.0566681	-0.0615432
231	0.0462	-0.0558681	-0.059999	-0.0566677	-0.0615428
232	0.0464	-0.0558673	-0.059999	-0.0566673	-0.0615424
233	0.0466	-0.0558665	-0.0599991	-0.0566669	-0.061542
234	0.0468	-0.0558657	-0.0599991	-0.0566665	-0.0615414
235	0.047	-0.0558649	-0.0599991	-0.0566661	-0.0615409
236	0.0472	-0.0558642	-0.0599992	-0.0566657	-0.0615403
237	0.0474	-0.0558634	-0.0599992	-0.0566653	-0.0615396
238	0.0476	-0.0558627	-0.0599992	-0.0566649	-0.0615389
239	0.0478	-0.055862	-0.0599993	-0.0566645	-0.0615382
240	0.048	-0.0558613	-0.0599993	-0.0566641	-0.0615374
241	0.0482	-0.0558606	-0.0599993	-0.0566637	-0.0615366
242	0.0484	-0.05586	-0.0599994	-0.0566632	-0.0615358
243	0.0486	-0.0558593	-0.0599994	-0.0566628	-0.0615349
244	0.0488	-0.0558587	-0.0599994	-0.0566624	-0.061534
245	0.049	-0.0558581	-0.0599994	-0.056662	-0.0615331
246	0.0492	-0.0558575	-0.0599994	-0.0566616	-0.0615321
247	0.0494	-0.0558569	-0.0599995	-0.0566612	-0.0615311
248	0.0496	-0.0558563	-0.0599995	-0.0566608	-0.0615301
249	0.0498	-0.0558557	-0.0599995	-0.0566604	-0.0615291
250	0.05	-0.0558551	-0.0599995	-0.05666	-0.061528
251	0.0502	-0.0558546	-0.0599995	-0.0566596	-0.0615269
252	0.0504	-0.055854	-0.0599996	-0.0566592	-0.0615258
253	0.0506	-0.0558535	-0.0599996	-0.0566588	-0.0615247
254	0.0508	-0.0558529	-0.0599996	-0.0566584	-0.0615235
255	0.051	-0.0558524	-0.0599996	-0.056658	-0.0615224
256	0.0512	-0.0558519	-0.0599996	-0.0566576	-0.0615212
257	0.0514	-0.0558513	-0.0599996	-0.0566572	-0.06152
258	0.0516	-0.0558508	-0.0599997	-0.0566568	-0.0615188
259	0.0518	-0.0558503	-0.0599997	-0.0566564	-0.0615175
260	0.052	-0.0558498	-0.0599997	-0.056656	-0.0615163
261	0.0522	-0.0558493	-0.0599997	-0.0566555	-0.061515
262	0.0524	-0.0558488	-0.0599997	-0.0566551	-0.0615137
263	0.0526	-0.0558483	-0.0599997	-0.0566547	-0.0615124
264	0.0528	-0.0558478	-0.0599997	-0.0566543	-0.0615111
265	0.053	-0.0558474	-0.0599997	-0.0566539	-0.0615098
266	0.0532	-0.0558469	-0.0599998	-0.0566535	-0.0615085
267	0.0534	-0.0558464	-0.0599998	-0.0566531	-0.0615072
268	0.0536	-0.0558459	-0.0599998	-0.0566527	-0.0615058
269	0.0538	-0.0558455	-0.0599998	-0.0566523	-0.0615045
270	0.054	-0.055845	-0.0599998	-0.0566519	-0.0615031
271	0.0542	-0.0558446	-0.0599998	-0.0566515	-0.0615017
272	0.0544	-0.0558441	-0.0599998	-0.0566511	-0.0615003
273	0.0546	-0.0558437	-0.0599998	-0.0566507	-0.0614989
274	0.0548	-0.0558432	-0.0599998	-0.0566503	-0.0614975
275	0.055	-0.0558428	-0.0599998	-0.0566499	-0.0614961
276	0.0552	-0.0558423	-0.0599998	-0.0566495	-0.0614947
277	0.0554	-0.0558419	-0.0599998	-0.0566491	-0.0614933
278	0.0556	-0.0558414	-0.0599998	-0.0566487	-0.0614919
279	0.0558	-0.055841	-0.0599999	-0.0566483	-0.0614905
280	0.056	-0.0558406	-0.0599999	-0.0566479	-0.061489
281	0.0562	-0.0558401	-0.0599999	-0.0566475	-0.0614876
282	0.0564	-0.0558397	-0.0599999	-0.0566471	-0.0614862
283	0.0566	-0.0558393	-0.0599999	-0.0566467	-0.0614847
284	0.0568	-0.0558388	-0.0599999	-0.0566463	-0.0614833
285	0.057	-0.0558384	-0.0599999	-0.0566459	-0.0614818
286	0.0572	-0.055838	-0.0599999	-0.0566455	-0.0614804
287	0.0574	-0.0558376	-0.0599999	-0.0566452	-0.0614789
288	0.0576	-0.0558372	-0.0599999	-0.0566448	-0.0614774
289	0.0578	-0.0558367	-0.0599999	-0.0566444	-0.061476
290	0.058	-0.0558363	-0.0599999	-0.056644	-0.0614745
291	0.0582	-0.0558359	-0.0599999	-0.0566436	-0.061473
292	0.0584	-0.0558355	-0.0599999	-0.0566432	-0.0614716
293	0.0586	-0.0558351	-0.0599999	-0.0566428	-0.0614701
294	0.0588	-0.0558347	-0.0599999	-0.0566424	-0.0614686
295	0.059	-0.0558343	-0.0599999	-0.056642	-0.0614671
296	0.0592	-0.0558339	-0.0599999	-0.0566416	-0.0614657
297	0.0594	-0.0558334	-0.0599999	-0.0566412	-0.0614642
298	0.0596	-0.055833	-0.0599999	-0.0566409	-0.0614627
299	0.0598	-0.0558326	-0.0599999	-0.0566405	-0.0614612
300	0.06	-0.0558322	-0.0599999	-0.0566401	-0.0614597
301	0.0602	-0.0558318	-0.0599999	-0.0566397	-0.0614583
302	0.0604	-0.0558314	-0.0599999	-0.0566393	-0.0614568
303	0.0606	-0.055831	-0.0599999	-0.0566389	-0.0614553
304	0.0608	-0.0558306	-0.0599999	-0.0566385	-0.0614538
305	0.061	-0.0558302	-0.0599999	-0.0566382	-0.0614523
306	0.0612	-0.0558298	-0.06	-0.0566378	-0.0614509
307	0.0614	-0.0558294	-0.06	-0.0566374	-0.0614494
308	0.0616	-0.055829	-0.06	-0.056637	-0.0614479
309	0.0618	-0.0558286	-0.06	-0.0566366	-0.0614464
310	0.062	-0.0558283	-0.06	-0.0566362	-0.0614449
311	0.0622	-0.0558279	-0.06	-0.0566359	-0.0614434
312	0.0624	-0.0558275	-0.06	-0.0566355	-0.061442
313	0.0626	-0.0558271	-0.06	-0.0566351	-0.0614405
314	0.0628	-0.0558267	-0.06	-0.0566347	-0.061439
315	0.063	-0.0558263	-0.06	-0.0566343	-0.0614375
316	0.0632	-0.0558259	-0.06	-0.056634	-0.061436
317	0.0634	-0.0558255	-0.06	-0.0566336	-0.0614346
318	0.0636	-0.0558251	-0.06	-0.0566332	-0.0614331
319	0.0638	-0.0558247	-0.06	-0.0566328	-0.0614316
320	0.064	-0.0558244	-0.06	-0.0566324	-0.0614301
321	0.0642	-0.055824	-0.06	-0.0566321	-0.0614287
322	0.0644	-0.0558236	-0.06	-0.0566317	-0.0614272
323	0.0646	-0.0558232	-0.06	-0.0566313	-0.0614257
324	0.0648	-0.0558228	-0.06	-0.0566309	-0.0614242
325	0.065	-0.0558224	-0.06	-0.0566306	-0.0614228
326	0.0652	-0.0558221	-0.06	-0.0566302	-0.0614213
327	0.0654	-0.0558217	-0.06	-0.0566298	-0.0614198
328	0.0656	-0.0558213	-0.06	-0.0566295	-0.0614184
329	0.0658	-0.0558209	-0.06	-0.0566291	-0.0614169
330	0.066	-0.0558205	-0.06	-0.0566287	-0.0614154
331	0.0662	-0.0558202	-0.06	-0.0566283	-0.061414
332	0.0664	-0.0558198	-0.06	-0.056628	-0.0614125
333	0.0666	-0.0558194	-0.06	-0.0566276	-0.0614111
334	0.0668	-0.055819	-0.06	-0.0566272	-0.0614096
335	0.067	-0.0558187	-0.06	-0.0566269	-0.0614081
336	0.0672	-0.0558183	-0.06	-0.0566265	-0.0614067
337	0.0674	-0.0558179	-0.06	-0.0566261	-0.0614052
338	0.0676	-0.0558175	-0.06	-0.0566258	-0.0614038
339	0.0678	-0.0558172	-0.06	-0.0566254	-0.0614023
340	0.068	-0.0558168	-0.06	-0.056625	-0.0614009
341	0.0682	-0.0558164	-0.06	-0.0566247	-0.0613994
342	0.0684	-0.0558161	-0.06	-0.0566243	-0.061398
343	0.0686	-0.0558157	-0.06	-0.0566239	-0.0613966
344	0.0688	-0.0558153	-0.06	-0.0566236	-0.0613951
345	0.069	-0.055815	-0.06	-0.0566232	-0.0613937
346	0.0692	-0.0558146	-0.06	-0.0566229	-0.0613922
347	0.0694	-0.0558142	-0.06	-0.0566225	-0.0613908
348	0.0696	-0.0558139	-0.06	-0.0566221	-0.0613894
349	0.0698	-0.0558135	-0.06	-0.0566218	-0.0613879
350	0.07	-0.0558131	-0.06	-0.0566214	-0.0613865
351	0.0702	-0.0558128	-0.06	-0.0566211	-0.0613851
352	0.0704	-0.0558124	-0.06	-0.0566207	-0.0613836
353	0.0706	-0.055812	-0.06	-0.0566203	-0.0613822
354	0.0708	-0.0558117	-0.06	-0.05662	-0.0613808
355	0.071	-0.0558113	-0.06	-0.0566196	-0.0613794
356	0.0712	-0.0558109	-0.06	-0.0566193	-0.061378
357	0.0714	-0.0558106	-0.06	-0.0566189	-0.0613765
358	0.0716	-0.0558102	-0.06	-0.0566186	-0.0613751
359	0.0718	-0.0558099	-0.06	-0.0566182	-0.0613737
360	0.072	-0.0558095	-0.06	-0.0566179	-0.0613723
361	0.0722	-0.0558091	-0.06	-0.0566175	-0.0613709
362	0.0724	-0.0558088	-0.06	-0.0566171	-0.0613695
363	0.0726	-0.0558084	-0.06	-0.0566168	-0.0613681
364	0.0728	-0.0558081	-0.06	-0.0566164	-0.0613667
365	0.073	-0.0558077	-0.06	-0.0566161	-0.0613653
366	0.0732	-0.0558074	-0.06	-0.0566157	-0.0613639
367	0.0734	-0.055807	-0.06	-0.0566154	-0.0613625
368	0.0736	-0.0558067	-0.06	-0.056615	-0.0613611
369	0.0738	-0.0558063	-0.06	-0.0566147	-0.0613597
370	0.074	-0.0558059	-0.06	-0.0566143	-0.0613583
371	0.0742	-0.0558056	-0.06	-0.056614	-0.0613569
372	0.0744	-0.0558052	-0.06	-0.0566137	-0.0613555
373	0.0746	-0.0558049	-0.06	-0.0566133	-0.0613541
374	0.0748	-0.0558045	-0.06	-0.056613	-0.0613527
375	0.075	-0.0558042	-0.06	-0.0566126	-0.0613513
376	0.0752	-0.0558038	-0.06	-0.0566123	-0.06135
377	0.0754	-0.0558035	-0.06	-0.0566119	-0.0613486
378	0.0756	-0.0558031	-0.06	-0.0566116	-0.0613472
379	0.0758	-0.0558028	-0.06	-0.0566112	-0.0613458
380	0.076	-0.0558024	-0.06	-0.0566109	-0.0613445
381	0.0762	-0.0558021	-0.06	-0.0566106	-0.0613431
382	0.0764	-0.0558017	-0.06	-0.0566102	-0.0613417
383	0.0766	-0.0558014	-0.06	-0.0566099	-0.0613403
384	0.0768	-0.0558011	-0.06	-0.0566095	-0.061339
385	0.077	-0.0558007	-0.06	-0.0566092	-0.0613376
386	0.0772	-0.0558004	-0.06	-0.0566088	-0.0613363
387	0.0774	-0.0558	-0.06	-0.0566085	-0.0613349
388	0.0776	-0.0557997	-0.06	-0.0566082	-0.0613335
389	0.0778	-0.0557993	-0.06	-0.0566078	-0.0613322
390	0.078	-0.055799	-0.06	-0.0566075	-0.0613308
391	0.0782	-0.0557987	-0.06	-0.0566072	-0.0613295
392	0.0784	-0.0557983	-0.06	-0.0566068	-0.0613281
393	0.0786	-0.055798	-0.06	-0.0566065	-0.0613268
394	0.0788	-0.0557976	-0.06	-0.0566062	-0.0613254
395	0.079	-0.0557973	-0.06	-0.0566058	-0.0613241
396	0.0792	-0.055797	-0.06	-0.0566055	-0.0613227
397	0.0794	-0.0557966	-0.06	-0.0566051	-0.0613214
398	0.0796	-0.0557963	-0.06	-0.0566048	-0.0613201
399	0.0798	-0.0557959	-0.06	-0.0566045	-0.0613187
400	0.08	-0.0557956	-0.06	-0.0566042	-0.0613174
401	0.0802	-0.0557953	-0.06	-0.0566038	-0.0613161
402	0.0804	-0.0557949	-0.06	-0.0566035	-0.0613147
403	0.0806	-0.0557946	-0.06	-0.0566032	-0.0613134
404	0.0808	-0.0557943	-0.06	-0.0566028	-0.0613121
405	0.081	-0.0557939	-0.06	-0.0566025	-0.0613107
406	0.0812	-0.0557936	-0.06	-0.0566022	-0.0613094
