TimeSlice	Time	R_foot ground contact	R_toe ground contact	R_hip middle	L_toe ground contact	L_hip middle	L_foot ground contact	height	distance
34631	6.9262	-0.0599999	-0.0557743	-0.06	-0.06	-0.0558082	-0.0554155	0.964304	0.903268
34632	6.9264	-0.0599999	-0.0556842	-0.06	-0.06	-0.0559472	-0.0556327	0.964304	0.903268
34633	6.9266	-0.0599999	-0.0555897	-0.06	-0.06	-0.0560541	-0.0558082	0.964304	0.903268
34634	6.9268	-0.0599999	-0.0554914	-0.06	-0.06	-0.0561328	-0.0559472	0.964543	0.904015
34635	6.927	-0.0599999	-0.05539	-0.06	-0.06	-0.0561866	-0.0560541	0.964543	0.904015
34636	6.9272	-0.0599999	-0.055286	-0.06	-0.06	-0.0562185	-0.0561328	0.964543	0.904015
34637	6.9274	-0.06	-0.0551798	-0.06	-0.06	-0.056231	-0.0561866	0.964543	0.904015
34638	6.9276	-0.06	-0.055072	-0.06	-0.06	-0.0562264	-0.0562184	0.964543	0.904015
34639	6.9278	-0.06	-0.0549628	-0.06	-0.06	-0.0562068	-0.056231	0.964792	0.904759
34640	6.928	-0.06	-0.0548528	-0.06	-0.06	-0.0561739	-0.0562264	0.964792	0.904759
34641	6.9282	-0.06	-0.0547423	-0.06	-0.06	-0.0561292	-0.0562067	0.964792	0.904759
34642	6.9284	-0.06	-0.0546314	-0.06	-0.06	-0.0560743	-0.0561737	0.964792	0.904759
34643	6.9286	-0.06	-0.0545206	-0.06	-0.06	-0.0560102	-0.0561291	0.964792	0.904759
34644	6.9288	-0.06	-0.0544101	-0.06	-0.06	-0.0559383	-0.0560741	0.96505	0.905503
34645	6.929	-0.06	-0.0543	-0.06	-0.06	-0.0558596	-0.05601	0.96505	0.905503
34646	6.9292	-0.06	-0.0541906	-0.06	-0.06	-0.0557749	-0.055938	0.96505	0.905503
34647	6.9294	-0.06	-0.054082	-0.06	-0.06	-0.0556849	-0.0558591	0.96505	0.905503
34648	6.9296	-0.06	-0.0539745	-0.06	-0.06	-0.0555906	-0.0557743	0.96505	0.905503
34649	6.9298	-0.06	-0.0538681	-0.06	-0.06	-0.0554925	-0.0556842	0.965317	0.906246
34650	6.93	-0.06	-0.053763	-0.06	-0.06	-0.0553917	-0.0555897	0.965317	0.906246
34651	6.9302	-0.06	-0.0536593	-0.06	-0.06	-0.0552882	-0.0554914	0.965317	0.906246
34652	6.9304	-0.06	-0.0535571	-0.06	-0.06	-0.0551827	-0.05539	0.965317	0.906246
34653	6.9306	-0.06	0	-0.06	-0.06	-0.0550754	-0.055286	0.965317	0.906246
34654	6.9308	-0.06	-0.0539947	-0.06	-0.06	-0.0549668	-0.0551798	0.965591	0.906987
