TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
71	0.0142	-0.060392	-0.0603452	-0.0599984	-0.0599992	-0.0592171	-0.0597433	-0.0886881	-0.091644	-0.0571455	-0.0567741
72	0.0144	-0.0604034	-0.0603621	-0.0599984	-0.0599992	-0.0592466	-0.0597404	-0.0890006	-0.0918696	-0.0571607	-0.0567891
73	0.0146	-0.0604142	-0.0603781	-0.0599984	-0.0599992	-0.0592748	-0.0597376	-0.0893027	-0.0920855	-0.0571749	-0.0568033
74	0.0148	-0.0604244	-0.0603934	-0.0599984	-0.0599992	-0.059302	-0.059735	-0.0895945	-0.0922921	-0.0571881	-0.0568168
75	0.015	-0.060434	-0.0604079	-0.0599983	-0.0599992	-0.0593293	-0.0597326	-0.0898766	-0.0924898	-0.0572002	-0.0568295
76	0.0152	-0.0604431	-0.0604216	-0.0599983	-0.0599992	-0.0593556	-0.0597303	-0.0901492	-0.092679	-0.0572114	-0.0568416
77	0.0154	-0.0604518	-0.0604346	-0.0599983	-0.0599992	-0.0593809	-0.059728	-0.0904116	-0.09286	-0.0572216	-0.0568529
78	0.0156	-0.06046	-0.0604467	-0.0599983	-0.0599992	-0.0594052	-0.0597259	-0.0906597	-0.0930333	-0.0572309	-0.0568635
79	0.0158	-0.0604677	-0.0604578	-0.0599983	-0.0599992	-0.0594285	-0.0597239	-0.0908937	-0.093199	-0.0572392	-0.0568734
80	0.016	-0.0604751	-0.0604681	-0.0599983	-0.0599992	-0.0594509	-0.0597223	-0.0911141	-0.0933576	-0.0572466	-0.0568825
81	0.0162	-0.060482	-0.0604776	-0.0599983	-0.0599992	-0.0594724	-0.0597209	-0.091321	-0.0935094	-0.0572532	-0.056891
82	0.0164	-0.0604887	-0.0604862	-0.0599983	-0.0599992	-0.0594931	-0.0597194	-0.0915149	-0.0936546	-0.0572588	-0.0568987
