TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
2008	0.4016	-0.0599997	-0.0557322	-0.0616432	-0.0566044
2009	0.4018	-0.0599998	-0.055735	-0.0616417	-0.0566085
2010	0.402	-0.0599998	-0.0557379	-0.0616401	-0.0566126
2011	0.4022	-0.0599998	-0.0557408	-0.0616384	-0.0566167
2012	0.4024	-0.0599998	-0.0557438	-0.0616367	-0.0566209
2013	0.4026	-0.0599998	-0.0557468	-0.061635	-0.0566251
2014	0.4028	-0.0599998	-0.0557499	-0.0616332	-0.0566293
2015	0.403	-0.0599998	-0.055753	-0.0616313	-0.0566335
2016	0.4032	-0.0599998	-0.0557562	-0.0616294	-0.0566378
2017	0.4034	-0.0599998	-0.0557595	-0.0616275	-0.0566421
2018	0.4036	-0.0599998	-0.0557627	-0.0616255	-0.0566464
2019	0.4038	-0.0599998	-0.0557661	-0.0616234	-0.0566507
2020	0.404	-0.0599998	-0.0557694	-0.0616213	-0.0566551
2021	0.4042	-0.0599998	-0.0557729	-0.0616192	-0.0566595
2022	0.4044	-0.0599999	-0.0557763	-0.061617	-0.0566639
2023	0.4046	-0.0599999	-0.0557798	-0.0616148	-0.0566683
2024	0.4048	-0.0599999	-0.0557834	-0.0616126	-0.0566727
2025	0.405	-0.0599999	-0.055787	-0.0616103	-0.0566772
2026	0.4052	-0.0599999	-0.0557906	-0.0616079	-0.0566817
2027	0.4054	-0.0599999	-0.0557942	-0.0616055	-0.0566861
2028	0.4056	-0.0599999	-0.0557979	-0.0616031	-0.0566906
2029	0.4058	-0.0599999	-0.0558017	-0.0616007	-0.0566952
2030	0.406	-0.0599999	-0.0558054	-0.0615982	-0.0566997
2031	0.4062	-0.0599999	-0.0558093	-0.0615956	-0.0567042
2032	0.4064	-0.0599999	-0.0558131	-0.0615931	-0.0567088
2033	0.4066	-0.0599999	-0.055817	-0.0615905	-0.0567134
2034	0.4068	-0.0599999	-0.0558209	-0.0615878	-0.0567179
2035	0.407	-0.0599999	-0.0558248	-0.0615852	-0.0567225
2036	0.4072	-0.0599999	-0.0558288	-0.0615825	-0.0567271
2037	0.4074	-0.0599999	-0.0558327	-0.0615797	-0.0567317
2038	0.4076	-0.0599999	-0.0558368	-0.061577	-0.0567363
2039	0.4078	-0.0599999	-0.0558408	-0.0615741	-0.0567409
2040	0.408	-0.0599999	-0.0558449	-0.0615713	-0.0567456
2041	0.4082	-0.0599999	-0.055849	-0.0615685	-0.0567502
2042	0.4084	-0.0599999	-0.0558531	-0.0615656	-0.0567548
2043	0.4086	-0.0599999	-0.0558572	-0.0615626	-0.0567595
2044	0.4088	-0.0599999	-0.0558614	-0.0615597	-0.0567641
