TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
75	0.015	-0.0582484	-0.0582074	-0.0577156	-0.0576031	-0.0570931	-0.0594349	-0.0927657	-0.0873487	-0.0569285	-0.0571031
76	0.0152	-0.0582394	-0.058204	-0.0577109	-0.0575944	-0.0571035	-0.0594401	-0.0929792	-0.0874399	-0.0569283	-0.0571181
77	0.0154	-0.0582303	-0.0582005	-0.0577064	-0.0575861	-0.0571135	-0.0594452	-0.0931819	-0.0875278	-0.0569273	-0.0571321
78	0.0156	-0.0582213	-0.0581965	-0.0577021	-0.0575781	-0.0571232	-0.05945	-0.0933699	-0.0876127	-0.0569253	-0.0571453
79	0.0158	-0.0582123	-0.0581922	-0.057698	-0.0575704	-0.0571324	-0.0594547	-0.0935436	-0.0876945	-0.0569225	-0.0571576
80	0.016	-0.0582034	-0.0581875	-0.057694	-0.0575625	-0.0571482	-0.0594617	-0.0937035	-0.0877734	-0.0569189	-0.057169
81	0.0162	-0.0581946	-0.0581825	-0.0576901	-0.0575548	-0.0571633	-0.0594683	-0.0938503	-0.0878506	-0.0569145	-0.0571796
82	0.0164	-0.0581858	-0.0581772	-0.0576864	-0.0575475	-0.0571778	-0.0594748	-0.0939843	-0.087926	-0.0569093	-0.0571893
83	0.0166	-0.0581772	-0.0581717	-0.0576829	-0.0575405	-0.0571918	-0.059481	-0.094106	-0.0879997	-0.0569035	-0.0571981
84	0.0168	-0.0581687	-0.0581659	-0.0576795	-0.0575337	-0.0572052	-0.0594869	-0.0942158	-0.0880716	-0.056897	-0.057206
85	0.017	-0.0581604	-0.0581599	-0.0576762	-0.0575267	-0.0572245	-0.0594949	-0.0943142	-0.0881418	-0.0568898	-0.057213
86	0.0172	-0.0581522	-0.0581538	-0.0576731	-0.0575199	-0.0572429	-0.0595027	-0.0944017	-0.0882113	-0.056882	-0.0572192
87	0.0174	-0.0581442	-0.0581474	-0.0576701	-0.0575134	-0.0572607	-0.0595101	-0.0944787	-0.0882799	-0.0568737	-0.0572244
88	0.0176	-0.0581364	-0.0581409	-0.0576672	-0.0575072	-0.0572777	-0.0595172	-0.0945456	-0.0883476	-0.0568648	-0.0572288
89	0.0178	-0.0581288	-0.0581343	-0.0576644	-0.0575012	-0.0572941	-0.0595241	-0.0946027	-0.0884144	-0.0568554	-0.0572324
90	0.018	-0.0581214	-0.0581275	-0.0576617	-0.057495	-0.0573156	-0.0595329	-0.0946504	-0.0884801	-0.0568455	-0.0572351
91	0.0182	-0.0581142	-0.0581207	-0.0576591	-0.0574891	-0.0573363	-0.0595413	-0.0946892	-0.0885457	-0.0568352	-0.0572369
92	0.0184	-0.0581072	-0.0581137	-0.0576567	-0.0574833	-0.0573562	-0.0595495	-0.0947195	-0.088611	-0.0568244	-0.0572379
93	0.0186	-0.0581004	-0.0581067	-0.0576543	-0.0574778	-0.0573753	-0.0595573	-0.0947416	-0.0886759	-0.0568133	-0.057238
94	0.0188	-0.0580938	-0.0580996	-0.057652	-0.0574726	-0.0573936	-0.0595648	-0.0947557	-0.0887403	-0.0568017	-0.0572373
95	0.019	-0.0580875	-0.0580925	-0.0576498	-0.0574671	-0.0574166	-0.059574	-0.0947623	-0.0888041	-0.0567898	-0.0572358
96	0.0192	-0.0580814	-0.0580854	-0.0576477	-0.0574618	-0.0574386	-0.0595829	-0.0947617	-0.088868	-0.0567776	-0.0572335
97	0.0194	-0.0580755	-0.0580782	-0.0576457	-0.0574568	-0.0574598	-0.0595915	-0.0947543	-0.0889319	-0.0567651	-0.0572304
98	0.0196	-0.0580698	-0.058071	-0.0576437	-0.0574519	-0.0574802	-0.0595997	-0.0947403	-0.0889957	-0.0567523	-0.0572265
99	0.0198	-0.0580644	-0.0580638	-0.0576419	-0.0574472	-0.0574997	-0.0596076	-0.0947201	-0.0890592	-0.0567393	-0.0572218
100	0.02	-0.0580592	-0.0580567	-0.0576401	-0.0574424	-0.0575234	-0.0596171	-0.0946937	-0.0891223	-0.056726	-0.0572163
101	0.0202	-0.0580542	-0.0580495	-0.0576384	-0.0574377	-0.0575462	-0.0596262	-0.0946617	-0.0891856	-0.0567125	-0.0572101
