TimeSlice	Time	R Ank ext Ia	R Ank flx Ia	R Ank ext Ia IN	R Ank flx Ia IN	R Ank ext Ib	R Ank flx Ib	R Ank MN flx	R Ank MN ext	R Ank MN flx RE	R Ank MN ext RE
12921	2.5842	-0.0584293	-0.0625111	-0.0599989	-0.0599987	-0.0566891	-0.0594984	-0.092467	-0.045562	-0.0482115	-0.0432624
12922	2.5844	-0.0584362	-0.0625106	-0.0599989	-0.0599987	-0.0566923	-0.0595	-0.092468	-0.0456015	-0.0482073	-0.0432674
12923	2.5846	-0.058443	-0.0625102	-0.0599989	-0.0599987	-0.0566954	-0.0595015	-0.092469	-0.045641	-0.048203	-0.0432725
12924	2.5848	-0.0584499	-0.0625097	-0.0599989	-0.0599987	-0.0566984	-0.0595029	-0.0924698	-0.0456806	-0.0481987	-0.0432776
12925	2.585	-0.0584567	-0.0625093	-0.0599989	-0.0599987	-0.0567024	-0.0595045	-0.0924705	-0.0457201	-0.0481944	-0.0432827
12926	2.5852	-0.0584635	-0.0625088	-0.0599989	-0.0599987	-0.0567064	-0.059506	-0.0924711	-0.0457597	-0.04819	-0.0432879
12927	2.5854	-0.0584703	-0.0625084	-0.0599989	-0.0599987	-0.0567102	-0.0595075	-0.0924717	-0.0457992	-0.0481856	-0.0432931
12928	2.5856	-0.058477	-0.0625079	-0.0599989	-0.0599987	-0.0567138	-0.0595089	-0.0924721	-0.0458388	-0.0481812	-0.0432983
12929	2.5858	-0.0584838	-0.0625075	-0.0599989	-0.0599987	-0.0567173	-0.0595102	-0.0924725	-0.0458783	-0.0481767	-0.0433035
12930	2.586	-0.0584905	-0.0625071	-0.0599989	-0.0599987	-0.056722	-0.0595117	-0.0924728	-0.0459179	-0.0481722	-0.0433088
12931	2.5862	-0.0584972	-0.0625067	-0.0599989	-0.0599987	-0.0567264	-0.0595132	-0.092473	-0.0459574	-0.0481677	-0.0433141
12932	2.5864	-0.0585039	-0.0625063	-0.0599989	-0.0599987	-0.0567308	-0.0595146	-0.0924731	-0.0459969	-0.0481631	-0.0433194
12933	2.5866	-0.0585106	-0.0625059	-0.0599989	-0.0599987	-0.0567349	-0.0595159	-0.0924731	-0.0460364	-0.0481585	-0.0433247
12934	2.5868	-0.0585172	-0.0625055	-0.0599989	-0.0599987	-0.0567389	-0.0595172	-0.0924731	-0.0460759	-0.0481539	-0.0433301
12935	2.587	-0.0585238	-0.0625051	-0.0599989	-0.0599987	-0.0567441	-0.0595186	-0.0924729	-0.0461153	-0.0481493	-0.0433355
12936	2.5872	-0.0585304	-0.0625047	-0.0599989	-0.0599987	-0.0567491	-0.05952	-0.0924727	-0.0461547	-0.0481446	-0.0433409
12937	2.5874	-0.058537	-0.0625043	-0.0599989	-0.0599987	-0.0567539	-0.0595213	-0.0924725	-0.046194	-0.0481399	-0.0433463
12938	2.5876	-0.0585431	-0.0625039	-0.0599989	-0.0599987	-0.0567586	-0.0595226	-0.0924722	-0.0462289	-0.0481352	-0.0433518
12939	2.5878	-0.0585487	-0.0625036	-0.0599989	-0.0599987	-0.056763	-0.0595238	-0.0924718	-0.04626	-0.0481304	-0.0433573
12940	2.588	-0.058554	-0.0625032	-0.0599989	-0.0599987	-0.0567687	-0.0595252	-0.0924714	-0.0462877	-0.0481256	-0.0433628
12941	2.5882	-0.0585588	-0.0625029	-0.0599989	-0.0599987	-0.0567741	-0.0595265	-0.0924709	-0.0463127	-0.0481208	-0.0433683
12942	2.5884	-0.0585634	-0.0625025	-0.0599989	-0.0599987	-0.0567794	-0.0595277	-0.0924705	-0.0463353	-0.048116	-0.0433739
12943	2.5886	-0.0585676	-0.0625022	-0.0599989	-0.0599987	-0.0567844	-0.059529	-0.09247	-0.0463559	-0.0481111	-0.0433794
12944	2.5888	-0.0585715	-0.062502	-0.0599989	-0.0599987	-0.0567892	-0.0595301	-0.0924695	-0.0463746	-0.0481063	-0.043385
12945	2.589	-0.0585751	-0.0625017	-0.0599989	-0.0599987	-0.0567953	-0.0595314	-0.092469	-0.0463918	-0.0481013	-0.0433905
12946	2.5892	-0.0585786	-0.0625015	-0.0599989	-0.0599987	-0.0568012	-0.0595327	-0.0924686	-0.0464077	-0.0480964	-0.0433961
12947	2.5894	-0.0585818	-0.0625012	-0.0599989	-0.0599987	-0.0568068	-0.0595339	-0.0924681	-0.0464225	-0.0480915	-0.0434017
12948	2.5896	-0.0585848	-0.0625011	-0.0599989	-0.0599987	-0.0568122	-0.059535	-0.0924677	-0.0464363	-0.0480865	-0.0434072
12949	2.5898	-0.0585876	-0.0625009	-0.0599989	-0.0599987	-0.0568173	-0.0595361	-0.0924673	-0.0464494	-0.0480815	-0.0434128
12950	2.59	-0.0585902	-0.0625007	-0.0599989	-0.0599987	-0.0568237	-0.0595374	-0.0924669	-0.0464617	-0.0480765	-0.0434184
12951	2.5902	-0.0585927	-0.0625006	-0.0599989	-0.0599987	-0.0568297	-0.0595386	-0.0924665	-0.0464736	-0.0480714	-0.043424
12952	2.5904	-0.058595	-0.0625005	-0.0599989	-0.0599987	-0.0568356	-0.0595397	-0.0924662	-0.046485	-0.0480664	-0.0434296
12953	2.5906	-0.0585972	-0.0625005	-0.059999	-0.0599987	-0.0568412	-0.0595408	-0.0924659	-0.046496	-0.0480613	-0.0434352
12954	2.5908	-0.0585993	-0.0625004	-0.059999	-0.0599987	-0.0568466	-0.0595419	-0.0924656	-0.0465068	-0.0480562	-0.0434408
12955	2.591	-0.0586013	-0.0625004	-0.059999	-0.0599987	-0.056853	-0.0595431	-0.0924653	-0.0465173	-0.0480511	-0.0434464
12956	2.5912	-0.0586032	-0.0625004	-0.059999	-0.0599987	-0.0568592	-0.0595442	-0.092465	-0.0465277	-0.048046	-0.043452
12957	2.5914	-0.058605	-0.0625004	-0.059999	-0.0599987	-0.0568651	-0.0595453	-0.0924648	-0.0465379	-0.0480408	-0.0434577
12958	2.5916	-0.0586068	-0.0625005	-0.059999	-0.0599987	-0.0568708	-0.0595464	-0.0924646	-0.0465481	-0.0480357	-0.0434633
12959	2.5918	-0.0586085	-0.0625006	-0.059999	-0.0599987	-0.0568762	-0.0595474	-0.0924644	-0.0465583	-0.0480305	-0.0434689
12960	2.592	-0.0586101	-0.0625007	-0.059999	-0.0599987	-0.0568825	-0.0595485	-0.0924643	-0.0465684	-0.0480253	-0.0434745
12961	2.5922	-0.0586116	-0.0625008	-0.059999	-0.0599987	-0.0568886	-0.0595496	-0.0924641	-0.0465786	-0.0480201	-0.0434801
12962	2.5924	-0.0586131	-0.0625009	-0.059999	-0.0599987	-0.0568945	-0.0595507	-0.092464	-0.0465889	-0.0480149	-0.0434858
12963	2.5926	-0.0586146	-0.0625011	-0.059999	-0.0599987	-0.0569001	-0.0595517	-0.0924639	-0.0465992	-0.0480097	-0.0434914
12964	2.5928	-0.058616	-0.0625012	-0.059999	-0.0599987	-0.0569055	-0.0595526	-0.0924639	-0.0466096	-0.0480045	-0.043497
12965	2.593	-0.0586174	-0.0625014	-0.059999	-0.0599987	-0.0569116	-0.0595537	-0.0924638	-0.0466201	-0.0479992	-0.0435027
12966	2.5932	-0.0586188	-0.0625017	-0.059999	-0.0599987	-0.0569175	-0.0595547	-0.0924637	-0.0466307	-0.047994	-0.0435083
12967	2.5934	-0.0586202	-0.0625019	-0.059999	-0.0599987	-0.0569231	-0.0595557	-0.0924637	-0.0466415	-0.0479887	-0.0435139
12968	2.5936	-0.0586215	-0.0625021	-0.059999	-0.0599987	-0.0569286	-0.0595567	-0.0924636	-0.0466524	-0.0479834	-0.0435196
12969	2.5938	-0.0586228	-0.0625024	-0.059999	-0.0599987	-0.0569338	-0.0595576	-0.0924636	-0.0466634	-0.0479782	-0.0435252
12970	2.594	-0.0586241	-0.0625027	-0.059999	-0.0599987	-0.0569397	-0.0595586	-0.0924635	-0.0466746	-0.0479729	-0.0435309
12971	2.5942	-0.0586254	-0.062503	-0.059999	-0.0599987	-0.0569453	-0.0595596	-0.0924635	-0.046686	-0.0479676	-0.0435365
12972	2.5944	-0.0586267	-0.0625033	-0.059999	-0.0599987	-0.0569507	-0.0595605	-0.0924635	-0.0466975	-0.0479622	-0.0435422
12973	2.5946	-0.058628	-0.0625036	-0.059999	-0.0599987	-0.0569559	-0.0595614	-0.0924634	-0.0467091	-0.0479569	-0.0435478
12974	2.5948	-0.0586293	-0.0625039	-0.059999	-0.0599987	-0.0569609	-0.0595623	-0.0924634	-0.0467209	-0.0479516	-0.0435535
12975	2.595	-0.0586306	-0.0625043	-0.059999	-0.0599987	-0.0569665	-0.0595632	-0.0924633	-0.0467329	-0.0479463	-0.0435591
12976	2.5952	-0.0586319	-0.0625046	-0.059999	-0.0599987	-0.0569719	-0.0595641	-0.0924633	-0.0467451	-0.0479409	-0.0435648
12977	2.5954	-0.0586332	-0.062505	-0.059999	-0.0599987	-0.056977	-0.059565	-0.0924632	-0.0467574	-0.0479356	-0.0435704
12978	2.5956	-0.0586346	-0.0625054	-0.059999	-0.0599987	-0.056982	-0.0595659	-0.0924632	-0.0467699	-0.0479302	-0.0435761
12979	2.5958	-0.0586359	-0.0625058	-0.059999	-0.0599987	-0.0569868	-0.0595667	-0.0924631	-0.0467825	-0.0479249	-0.0435817
12980	2.596	-0.0586372	-0.0625061	-0.059999	-0.0599987	-0.0569921	-0.0595675	-0.092463	-0.0467953	-0.0479195	-0.0435874
12981	2.5962	-0.0586386	-0.0625066	-0.059999	-0.0599987	-0.0569972	-0.0595683	-0.0924629	-0.0468082	-0.0479141	-0.043593
12982	2.5964	-0.0586399	-0.062507	-0.059999	-0.0599987	-0.0570021	-0.0595691	-0.0924627	-0.0468213	-0.0479087	-0.0435987
12983	2.5966	-0.0586413	-0.0625074	-0.059999	-0.0599987	-0.0570068	-0.0595699	-0.0924625	-0.0468346	-0.0479034	-0.0436044
12984	2.5968	-0.0586427	-0.0625078	-0.059999	-0.0599987	-0.0570113	-0.0595706	-0.0924624	-0.046848	-0.047898	-0.04361
12985	2.597	-0.0586441	-0.0625083	-0.059999	-0.0599987	-0.0570164	-0.0595713	-0.0924621	-0.0468616	-0.0478926	-0.0436157
12986	2.5972	-0.0586455	-0.0625087	-0.059999	-0.0599987	-0.0570213	-0.059572	-0.0924619	-0.0468753	-0.0478872	-0.0436213
12987	2.5974	-0.058647	-0.0625091	-0.059999	-0.0599987	-0.0570259	-0.0595727	-0.0924616	-0.0468892	-0.0478818	-0.043627
12988	2.5976	-0.0586484	-0.0625096	-0.059999	-0.0599987	-0.0570304	-0.0595733	-0.0924613	-0.0469032	-0.0478764	-0.0436327
12989	2.5978	-0.0586499	-0.0625101	-0.059999	-0.0599987	-0.0570347	-0.059574	-0.0924609	-0.0469174	-0.047871	-0.0436383
12990	2.598	-0.0586514	-0.0625105	-0.059999	-0.0599987	-0.0570395	-0.0595746	-0.0924605	-0.0469317	-0.0478656	-0.043644
12991	2.5982	-0.0586529	-0.062511	-0.059999	-0.0599987	-0.0570441	-0.0595752	-0.0924601	-0.0469461	-0.0478602	-0.0436496
12992	2.5984	-0.0586545	-0.0625115	-0.059999	-0.0599987	-0.0570486	-0.0595758	-0.0924596	-0.0469607	-0.0478547	-0.0436553
12993	2.5986	-0.058656	-0.0625119	-0.059999	-0.0599987	-0.0570528	-0.0595764	-0.0924591	-0.0469754	-0.0478493	-0.0436609
12994	2.5988	-0.0586576	-0.0625124	-0.059999	-0.0599987	-0.0570569	-0.0595769	-0.0924585	-0.0469903	-0.0478439	-0.0436666
12995	2.599	-0.0586592	-0.0625129	-0.059999	-0.0599987	-0.0570615	-0.0595775	-0.0924579	-0.0470052	-0.0478385	-0.0436723
12996	2.5992	-0.0586608	-0.0625134	-0.059999	-0.0599987	-0.0570658	-0.059578	-0.0924572	-0.0470203	-0.0478331	-0.0436779
12997	2.5994	-0.0586624	-0.0625139	-0.059999	-0.0599987	-0.0570701	-0.0595785	-0.0924565	-0.0470355	-0.0478276	-0.0436836
12998	2.5996	-0.0586641	-0.0625144	-0.059999	-0.0599987	-0.0570741	-0.059579	-0.0924558	-0.0470509	-0.0478222	-0.0436892
12999	2.5998	-0.0586657	-0.0625148	-0.059999	-0.0599987	-0.057078	-0.0595795	-0.092455	-0.0470663	-0.0478168	-0.0436949
13000	2.6	-0.0586674	-0.0625153	-0.059999	-0.0599987	-0.0570823	-0.05958	-0.0924542	-0.0470819	-0.0478113	-0.0437005
13001	2.6002	-0.0586691	-0.0625158	-0.059999	-0.0599987	-0.0570865	-0.0595805	-0.0924533	-0.0470975	-0.0478059	-0.0437062
13002	2.6004	-0.0586708	-0.0625163	-0.059999	-0.0599987	-0.0570906	-0.059581	-0.0924524	-0.0471133	-0.0478005	-0.0437118
13003	2.6006	-0.0586726	-0.0625168	-0.059999	-0.0599987	-0.0570944	-0.0595814	-0.0924515	-0.0471292	-0.047795	-0.0437175
13004	2.6008	-0.0586743	-0.0625173	-0.059999	-0.0599987	-0.0570982	-0.0595818	-0.0924505	-0.0471452	-0.0477896	-0.0437231
13005	2.601	-0.0586761	-0.0625178	-0.059999	-0.0599987	-0.0571024	-0.0595823	-0.0924494	-0.0471613	-0.0477841	-0.0437287
13006	2.6012	-0.0586779	-0.0625183	-0.059999	-0.0599987	-0.0571064	-0.0595827	-0.0924484	-0.0471775	-0.0477787	-0.0437344
13007	2.6014	-0.0586797	-0.0625188	-0.059999	-0.0599987	-0.0571103	-0.0595831	-0.0924472	-0.0471938	-0.0477733	-0.04374
13008	2.6016	-0.0586816	-0.0625193	-0.059999	-0.0599987	-0.057114	-0.0595835	-0.0924461	-0.0472102	-0.0477678	-0.0437456
13009	2.6018	-0.0586834	-0.0625198	-0.059999	-0.0599987	-0.0571176	-0.0595839	-0.0924449	-0.0472267	-0.0477624	-0.0437513
13010	2.602	-0.0586853	-0.0625203	-0.059999	-0.0599987	-0.0571217	-0.0595843	-0.0924436	-0.0472433	-0.0477569	-0.0437569
13011	2.6022	-0.0586872	-0.0625208	-0.059999	-0.0599987	-0.0571256	-0.0595847	-0.0924423	-0.04726	-0.0477515	-0.0437625
13012	2.6024	-0.0586891	-0.0625213	-0.059999	-0.0599987	-0.0571294	-0.0595851	-0.092441	-0.0472767	-0.0477461	-0.0437681
13013	2.6026	-0.058691	-0.0625218	-0.059999	-0.0599987	-0.057133	-0.0595855	-0.0924397	-0.0472936	-0.0477406	-0.0437737
13014	2.6028	-0.0586929	-0.0625223	-0.059999	-0.0599987	-0.0571365	-0.0595859	-0.0924383	-0.0473105	-0.0477352	-0.0437794
13015	2.603	-0.0586949	-0.0625228	-0.059999	-0.0599987	-0.0571405	-0.0595862	-0.0924368	-0.0473275	-0.0477297	-0.043785
