TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
14418	2.8836	-0.06	-0.0568163	-0.0605726	-0.0576184
14419	2.8838	-0.06	-0.0568178	-0.0605708	-0.0576197
14420	2.884	-0.06	-0.0568193	-0.0605689	-0.0576209
14421	2.8842	-0.06	-0.0568207	-0.0605671	-0.0576221
14422	2.8844	-0.06	-0.0568222	-0.0605653	-0.0576233
14423	2.8846	-0.06	-0.0568237	-0.0605634	-0.0576246
14424	2.8848	-0.06	-0.0568252	-0.0605616	-0.0576258
14425	2.885	-0.06	-0.0568266	-0.0605598	-0.057627
14426	2.8852	-0.06	-0.0568281	-0.060558	-0.0576282
14427	2.8854	-0.06	-0.0568295	-0.0605562	-0.0576294
14428	2.8856	-0.06	-0.056831	-0.0605544	-0.0576306
14429	2.8858	-0.06	-0.0568324	-0.0605526	-0.0576318
14430	2.886	-0.06	-0.0568338	-0.0605508	-0.0576329
14431	2.8862	-0.06	-0.0568352	-0.0605491	-0.0576341
14432	2.8864	-0.06	-0.0568367	-0.0605473	-0.0576353
14433	2.8866	-0.06	-0.0568381	-0.0605455	-0.0576365
14434	2.8868	-0.06	-0.0568395	-0.0605438	-0.0576376
14435	2.887	-0.06	-0.0568409	-0.060542	-0.0576388
14436	2.8872	-0.06	-0.0568423	-0.0605403	-0.05764
14437	2.8874	-0.06	-0.0568437	-0.0605385	-0.0576411
14438	2.8876	-0.06	-0.0568451	-0.0605368	-0.0576423
14439	2.8878	-0.06	-0.0568465	-0.0605351	-0.0576434
14440	2.888	-0.06	-0.0568479	-0.0605333	-0.0576445
14441	2.8882	-0.06	-0.0568492	-0.0605316	-0.0576457
14442	2.8884	-0.06	-0.0568506	-0.0605299	-0.0576468
14443	2.8886	-0.06	-0.056852	-0.0605282	-0.057648
14444	2.8888	-0.06	-0.0568533	-0.0605265	-0.0576491
14445	2.889	-0.06	-0.0568547	-0.0605248	-0.0576502
14446	2.8892	-0.06	-0.056856	-0.0605231	-0.0576513
14447	2.8894	-0.06	-0.0568574	-0.0605214	-0.0576524
14448	2.8896	-0.06	-0.0568587	-0.0605197	-0.0576536
14449	2.8898	-0.06	-0.0568601	-0.0605181	-0.0576547
14450	2.89	-0.06	-0.0568614	-0.0605164	-0.0576558
14451	2.8902	-0.06	-0.0568627	-0.0605147	-0.0576569
14452	2.8904	-0.06	-0.0568641	-0.0605131	-0.057658
14453	2.8906	-0.06	-0.0568654	-0.0605114	-0.0576591
14454	2.8908	-0.06	-0.0568667	-0.0605098	-0.0576601
14455	2.891	-0.06	-0.056868	-0.0605081	-0.0576612
14456	2.8912	-0.06	-0.0568693	-0.0605065	-0.0576623
14457	2.8914	-0.06	-0.0568706	-0.0605048	-0.0576634
14458	2.8916	-0.06	-0.0568719	-0.0605032	-0.0576645
14459	2.8918	-0.06	-0.0568732	-0.0605016	-0.0576655
14460	2.892	-0.06	-0.0568745	-0.0605	-0.0576666
14461	2.8922	-0.06	-0.0568758	-0.0604983	-0.0576677
14462	2.8924	-0.06	-0.0568771	-0.0604967	-0.0576687
14463	2.8926	-0.06	-0.0568783	-0.0604951	-0.0576698
14464	2.8928	-0.06	-0.0568796	-0.0604935	-0.0576708
14465	2.893	-0.06	-0.0568809	-0.0604919	-0.0576719
14466	2.8932	-0.06	-0.0568821	-0.0604903	-0.0576729
14467	2.8934	-0.06	-0.0568834	-0.0604887	-0.057674
14468	2.8936	-0.06	-0.0568847	-0.0604872	-0.057675
14469	2.8938	-0.06	-0.0568859	-0.0604856	-0.057676
14470	2.894	-0.06	-0.0568871	-0.060484	-0.0576771
14471	2.8942	-0.06	-0.0568884	-0.0604824	-0.0576781
14472	2.8944	-0.06	-0.0568896	-0.0604809	-0.0576791
14473	2.8946	-0.06	-0.0568909	-0.0604793	-0.0576801
14474	2.8948	-0.06	-0.0568921	-0.0604778	-0.0576812
14475	2.895	-0.06	-0.0568933	-0.0604762	-0.0576822
14476	2.8952	-0.06	-0.0568945	-0.0604747	-0.0576832
14477	2.8954	-0.06	-0.0568958	-0.0604731	-0.0576842
14478	2.8956	-0.06	-0.056897	-0.0604716	-0.0576852
14479	2.8958	-0.06	-0.0568982	-0.0604701	-0.0576862
14480	2.896	-0.06	-0.0568994	-0.0604685	-0.0576872
14481	2.8962	-0.06	-0.0569006	-0.060467	-0.0576882
14482	2.8964	-0.06	-0.0569018	-0.0604655	-0.0576892
14483	2.8966	-0.06	-0.056903	-0.060464	-0.0576902
14484	2.8968	-0.06	-0.0569042	-0.0604625	-0.0576911
14485	2.897	-0.06	-0.0569054	-0.060461	-0.0576921
14486	2.8972	-0.06	-0.0569065	-0.0604595	-0.0576931
14487	2.8974	-0.06	-0.0569077	-0.060458	-0.0576941
14488	2.8976	-0.06	-0.0569089	-0.0604565	-0.057695
14489	2.8978	-0.06	-0.0569101	-0.060455	-0.057696
14490	2.898	-0.06	-0.0569112	-0.0604535	-0.057697
14491	2.8982	-0.06	-0.0569124	-0.060452	-0.0576979
14492	2.8984	-0.06	-0.0569136	-0.0604506	-0.0576989
14493	2.8986	-0.06	-0.0569147	-0.0604491	-0.0576999
14494	2.8988	-0.06	-0.0569159	-0.0604476	-0.0577008
14495	2.899	-0.06	-0.056917	-0.0604462	-0.0577018
14496	2.8992	-0.06	-0.0569182	-0.0604447	-0.0577027
14497	2.8994	-0.06	-0.0569193	-0.0604433	-0.0577036
14498	2.8996	-0.06	-0.0569204	-0.0604418	-0.0577046
14499	2.8998	-0.06	-0.0569216	-0.0604404	-0.0577055
14500	2.9	-0.06	-0.0569227	-0.0604389	-0.0577065
14501	2.9002	-0.06	-0.0569238	-0.0604375	-0.0577074
