TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
23102	4.6204	-0.0610831	-0.0611716	-0.0599983	-0.0599992	-0.0598762	-0.0595627	-0.070093	-0.0701543	-0.0459725	-0.0453432
23103	4.6206	-0.0610985	-0.0611564	-0.0599983	-0.0599992	-0.0598739	-0.0595658	-0.0698944	-0.0703481	-0.0459832	-0.0453317
23104	4.6208	-0.0611141	-0.0611411	-0.0599983	-0.0599992	-0.0598717	-0.0595688	-0.0696952	-0.070544	-0.0459941	-0.0453202
23105	4.621	-0.0611297	-0.0611257	-0.0599983	-0.0599992	-0.0598709	-0.0595719	-0.0694955	-0.0707422	-0.0460051	-0.0453086
23106	4.6212	-0.0611455	-0.0611101	-0.0599983	-0.0599992	-0.0598701	-0.0595748	-0.0692953	-0.0709426	-0.0460162	-0.0452969
23107	4.6214	-0.0611613	-0.0610945	-0.0599983	-0.0599992	-0.0598693	-0.0595777	-0.0690947	-0.0711454	-0.0460274	-0.0452851
23108	4.6216	-0.0611773	-0.0610787	-0.0599983	-0.0599992	-0.0598685	-0.0595804	-0.0688937	-0.0713504	-0.0460387	-0.0452733
23109	4.6218	-0.0611934	-0.0610628	-0.0599983	-0.0599992	-0.0598678	-0.059583	-0.0686922	-0.0715578	-0.0460501	-0.0452615
23110	4.622	-0.0612096	-0.0610467	-0.0599983	-0.0599992	-0.0598668	-0.059586	-0.0684903	-0.0717676	-0.0460616	-0.0452495
23111	4.6222	-0.0612259	-0.0610305	-0.0599983	-0.0599992	-0.0598659	-0.0595889	-0.0682879	-0.0719798	-0.0460732	-0.0452375
23112	4.6224	-0.0612423	-0.0610142	-0.0599983	-0.0599992	-0.0598651	-0.0595916	-0.068085	-0.0721945	-0.046085	-0.0452255
23113	4.6226	-0.0612588	-0.0609978	-0.0599983	-0.0599992	-0.0598642	-0.0595943	-0.0678817	-0.0724116	-0.0460969	-0.0452133
23114	4.6228	-0.0612754	-0.0609813	-0.0599983	-0.0599992	-0.0598634	-0.0595968	-0.0676779	-0.0726313	-0.0461088	-0.0452012
23115	4.623	-0.0612922	-0.0609646	-0.0599983	-0.0599992	-0.0598614	-0.0595999	-0.0674736	-0.0728535	-0.0461209	-0.0451889
23116	4.6232	-0.061309	-0.0609478	-0.0599983	-0.0599992	-0.0598595	-0.0596029	-0.0672688	-0.0730784	-0.0461332	-0.0451766
23117	4.6234	-0.061326	-0.0609308	-0.0599983	-0.0599992	-0.0598577	-0.0596058	-0.0670635	-0.0733059	-0.0461455	-0.0451642
23118	4.6236	-0.0613431	-0.0609137	-0.0599983	-0.0599992	-0.0598559	-0.0596085	-0.0668576	-0.0735361	-0.0461579	-0.0451518
23119	4.6238	-0.0613603	-0.0608965	-0.0599983	-0.0599992	-0.0598542	-0.0596112	-0.0666512	-0.073769	-0.0461705	-0.0451393
23120	4.624	-0.0613776	-0.0608791	-0.0599983	-0.0599992	-0.0598511	-0.0596144	-0.0664443	-0.0740047	-0.0461832	-0.0451267
23121	4.6242	-0.061395	-0.0608616	-0.0599983	-0.0599992	-0.0598481	-0.0596175	-0.0662369	-0.0742433	-0.0461961	-0.0451141
23122	4.6244	-0.0614126	-0.060844	-0.0599983	-0.0599992	-0.0598452	-0.0596205	-0.0660288	-0.0744848	-0.046209	-0.0451014
23123	4.6246	-0.0614302	-0.0608262	-0.0599983	-0.0599992	-0.0598424	-0.0596234	-0.0658202	-0.0747291	-0.0462221	-0.0450886
23124	4.6248	-0.061448	-0.0608083	-0.0599983	-0.0599992	-0.0598397	-0.0596261	-0.0656111	-0.0749765	-0.0462353	-0.0450758
23125	4.625	-0.0614659	-0.0607902	-0.0599983	-0.0599992	-0.0598377	-0.059629	-0.0654014	-0.0752268	-0.0462487	-0.0450629
23126	4.6252	-0.0614839	-0.060772	-0.0599983	-0.0599992	-0.0598357	-0.0596317	-0.0651913	-0.0754802	-0.0462621	-0.0450499
23127	4.6254	-0.0615021	-0.0607537	-0.0599983	-0.0599992	-0.0598338	-0.0596344	-0.0649807	-0.0757366	-0.0462758	-0.0450369
23128	4.6256	-0.0615203	-0.0607352	-0.0599983	-0.0599992	-0.059832	-0.0596369	-0.0647696	-0.0759962	-0.0462895	-0.0450238
23129	4.6258	-0.0615387	-0.0607165	-0.0599983	-0.0599992	-0.0598303	-0.0596393	-0.0645581	-0.0762589	-0.0463034	-0.0450106
23130	4.626	-0.0615572	-0.0606977	-0.0599983	-0.0599992	-0.0598286	-0.0596419	-0.0643461	-0.0765248	-0.0463174	-0.0449974
23131	4.6262	-0.0615758	-0.0606787	-0.0599983	-0.0599992	-0.059827	-0.0596444	-0.0641337	-0.076794	-0.0463316	-0.0449841
23132	4.6264	-0.0615946	-0.0606596	-0.0599983	-0.0599992	-0.0598255	-0.0596467	-0.0639208	-0.0770665	-0.0463459	-0.0449707
23133	4.6266	-0.0616135	-0.0606404	-0.0599983	-0.0599992	-0.059824	-0.059649	-0.0637075	-0.0773424	-0.0463604	-0.0449573
23134	4.6268	-0.0616324	-0.0606209	-0.0599983	-0.0599992	-0.0598225	-0.0596512	-0.0634938	-0.0776217	-0.046375	-0.0449438
23135	4.627	-0.0616516	-0.0606014	-0.0599983	-0.0599992	-0.0598208	-0.0596536	-0.0632797	-0.0779044	-0.0463898	-0.0449302
