TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
16062	3.2124	-0.062555	-0.0597175	-0.0599987	-0.059997	-0.0581811	-0.06	-0.0926058	-0.0554641	-0.0465356	-0.0450373
16063	3.2126	-0.0625549	-0.0597181	-0.0599987	-0.059997	-0.058181	-0.06	-0.0926056	-0.0554695	-0.0465355	-0.0450374
16064	3.2128	-0.0625549	-0.0597188	-0.0599987	-0.059997	-0.058181	-0.06	-0.0926053	-0.0554751	-0.0465354	-0.0450375
16065	3.213	-0.0625548	-0.0597195	-0.0599987	-0.059997	-0.058181	-0.06	-0.0926051	-0.055481	-0.0465353	-0.0450376
16066	3.2132	-0.0625548	-0.0597202	-0.0599987	-0.059997	-0.0581809	-0.06	-0.0926048	-0.055487	-0.0465353	-0.0450377
16067	3.2134	-0.0625547	-0.0597209	-0.0599987	-0.059997	-0.0581809	-0.06	-0.0926045	-0.0554933	-0.0465352	-0.0450378
16068	3.2136	-0.0625547	-0.0597217	-0.0599987	-0.059997	-0.0581809	-0.06	-0.0926042	-0.0554999	-0.0465351	-0.0450379
16069	3.2138	-0.0625546	-0.0597224	-0.0599987	-0.059997	-0.0581809	-0.06	-0.092604	-0.0555067	-0.046535	-0.0450381
16070	3.214	-0.0625546	-0.0597233	-0.0599987	-0.059997	-0.0581808	-0.06	-0.0926036	-0.0555137	-0.0465349	-0.0450382
16071	3.2142	-0.0625545	-0.0597241	-0.0599987	-0.059997	-0.0581808	-0.06	-0.0926033	-0.055521	-0.0465348	-0.0450383
16072	3.2144	-0.0625545	-0.059725	-0.0599987	-0.059997	-0.0581808	-0.06	-0.092603	-0.0555285	-0.0465347	-0.0450384
16073	3.2146	-0.0625544	-0.0597259	-0.0599987	-0.059997	-0.0581807	-0.06	-0.0926027	-0.0555362	-0.0465346	-0.0450386
16074	3.2148	-0.0625544	-0.0597268	-0.0599987	-0.059997	-0.0581807	-0.06	-0.0926023	-0.0555442	-0.0465345	-0.0450387
16075	3.215	-0.0625543	-0.0597278	-0.0599987	-0.059997	-0.0581807	-0.06	-0.092602	-0.0555525	-0.0465344	-0.0450388
16076	3.2152	-0.0625542	-0.0597288	-0.0599987	-0.059997	-0.0581806	-0.06	-0.0926016	-0.055561	-0.0465343	-0.045039
16077	3.2154	-0.0625541	-0.0597298	-0.0599987	-0.059997	-0.0581806	-0.06	-0.0926013	-0.0555698	-0.0465342	-0.0450391
16078	3.2156	-0.0625541	-0.0597308	-0.0599987	-0.059997	-0.0581806	-0.06	-0.0926009	-0.0555788	-0.0465341	-0.0450393
16079	3.2158	-0.062554	-0.0597319	-0.0599987	-0.059997	-0.0581805	-0.06	-0.0926005	-0.0555881	-0.046534	-0.0450394
16080	3.216	-0.0625539	-0.059733	-0.0599987	-0.059997	-0.0581805	-0.06	-0.0926001	-0.0555977	-0.0465338	-0.0450396
16081	3.2162	-0.0625538	-0.0597342	-0.0599987	-0.059997	-0.0581805	-0.06	-0.0925996	-0.0556075	-0.0465337	-0.0450398
16082	3.2164	-0.0625537	-0.0597354	-0.0599987	-0.059997	-0.0581804	-0.06	-0.0925992	-0.0556176	-0.0465336	-0.0450399
16083	3.2166	-0.0625537	-0.0597366	-0.0599987	-0.059997	-0.0581804	-0.06	-0.0925987	-0.0556279	-0.0465335	-0.0450401
16084	3.2168	-0.0625536	-0.0597378	-0.0599987	-0.059997	-0.0581804	-0.06	-0.0925983	-0.0556385	-0.0465334	-0.0450403
16085	3.217	-0.0625535	-0.0597391	-0.0599987	-0.059997	-0.0581804	-0.06	-0.0925978	-0.0556493	-0.0465333	-0.0450405
16086	3.2172	-0.0625534	-0.0597404	-0.0599987	-0.059997	-0.0581803	-0.06	-0.0925973	-0.0556604	-0.0465331	-0.0450407
16087	3.2174	-0.0625533	-0.0597418	-0.0599987	-0.059997	-0.0581803	-0.06	-0.0925968	-0.0556717	-0.046533	-0.0450409
16088	3.2176	-0.0625532	-0.0597431	-0.0599987	-0.059997	-0.0581803	-0.06	-0.0925963	-0.0556833	-0.0465329	-0.0450411
16089	3.2178	-0.0625531	-0.0597445	-0.0599987	-0.059997	-0.0581802	-0.06	-0.0925957	-0.0556951	-0.0465328	-0.0450413
16090	3.218	-0.0625529	-0.059746	-0.0599987	-0.059997	-0.0581802	-0.06	-0.0925952	-0.0557072	-0.0465326	-0.0450415
16091	3.2182	-0.0625528	-0.0597474	-0.0599987	-0.059997	-0.0581802	-0.06	-0.0925946	-0.0557196	-0.0465325	-0.0450418
16092	3.2184	-0.0625527	-0.0597489	-0.0599987	-0.059997	-0.0581801	-0.06	-0.092594	-0.0557321	-0.0465324	-0.045042
16093	3.2186	-0.0625526	-0.0597505	-0.0599987	-0.059997	-0.0581801	-0.06	-0.0925933	-0.055745	-0.0465322	-0.0450422
16094	3.2188	-0.0625523	-0.059752	-0.0599987	-0.059997	-0.0581801	-0.06	-0.092589	-0.055758	-0.0465321	-0.0450425
16095	3.219	-0.0625517	-0.0597536	-0.0599987	-0.059997	-0.05818	-0.06	-0.0925812	-0.0557713	-0.0465319	-0.0450427
16096	3.2192	-0.062551	-0.0597552	-0.0599987	-0.059997	-0.05818	-0.06	-0.0925702	-0.0557848	-0.0465318	-0.045043
16097	3.2194	-0.0625502	-0.0597569	-0.0599987	-0.059997	-0.05818	-0.06	-0.0925561	-0.0557986	-0.0465316	-0.0450432
16098	3.2196	-0.0625491	-0.0597586	-0.0599987	-0.059997	-0.0581799	-0.06	-0.092539	-0.0558126	-0.0465314	-0.0450435
16099	3.2198	-0.0625479	-0.0597603	-0.0599987	-0.059997	-0.0581799	-0.06	-0.0925189	-0.0558269	-0.0465312	-0.0450438
16100	3.22	-0.0625466	-0.059762	-0.0599987	-0.059997	-0.0581799	-0.06	-0.0924961	-0.0558415	-0.0465309	-0.0450441
16101	3.2202	-0.062545	-0.0597638	-0.0599987	-0.059997	-0.0581798	-0.06	-0.0924707	-0.0558563	-0.0465306	-0.0450444
16102	3.2204	-0.0625434	-0.0597656	-0.0599987	-0.059997	-0.0581798	-0.06	-0.0924426	-0.0558715	-0.0465303	-0.0450447
16103	3.2206	-0.0625416	-0.0597675	-0.0599987	-0.059997	-0.0581798	-0.06	-0.0924121	-0.055887	-0.04653	-0.045045
16104	3.2208	-0.0625397	-0.0597694	-0.0599987	-0.059997	-0.0581797	-0.06	-0.0923793	-0.0559028	-0.0465296	-0.0450453
16105	3.221	-0.0625376	-0.0597713	-0.0599987	-0.059997	-0.0581797	-0.06	-0.0923441	-0.055919	-0.0465292	-0.0450457
16106	3.2212	-0.0625355	-0.0597733	-0.0599987	-0.059997	-0.0581796	-0.06	-0.0923067	-0.0559355	-0.0465287	-0.045046
16107	3.2214	-0.0625332	-0.0597754	-0.0599987	-0.059997	-0.0581796	-0.06	-0.0922672	-0.0559525	-0.0465282	-0.0450464
16108	3.2216	-0.0625308	-0.0597774	-0.0599987	-0.0599971	-0.0581796	-0.06	-0.0922256	-0.0559698	-0.0465276	-0.0450468
16109	3.2218	-0.0625282	-0.0597796	-0.0599987	-0.0599971	-0.0581795	-0.06	-0.0921819	-0.0559876	-0.046527	-0.0450472
16110	3.222	-0.0625256	-0.0597817	-0.0599987	-0.0599971	-0.0581795	-0.06	-0.0921364	-0.0560059	-0.0465264	-0.0450476
16111	3.2222	-0.0625229	-0.059784	-0.0599987	-0.0599971	-0.0581795	-0.06	-0.0920889	-0.0560246	-0.0465256	-0.045048
16112	3.2224	-0.06252	-0.0597862	-0.0599987	-0.0599971	-0.0581794	-0.06	-0.0920396	-0.0560438	-0.0465249	-0.0450485
16113	3.2226	-0.0625171	-0.0597886	-0.0599987	-0.0599971	-0.0581794	-0.06	-0.0919884	-0.0560636	-0.0465241	-0.045049
16114	3.2228	-0.062514	-0.059791	-0.0599987	-0.0599971	-0.0581794	-0.06	-0.0919356	-0.0560838	-0.0465232	-0.0450495
16115	3.223	-0.0625109	-0.0597934	-0.0599987	-0.0599971	-0.0581793	-0.06	-0.091881	-0.0561046	-0.0465223	-0.04505
16116	3.2232	-0.0625077	-0.059796	-0.0599987	-0.0599971	-0.0581793	-0.06	-0.0918247	-0.0561259	-0.0465213	-0.0450505
16117	3.2234	-0.0625043	-0.0597986	-0.0599987	-0.0599971	-0.0581792	-0.06	-0.0917667	-0.0561479	-0.0465203	-0.0450511
16118	3.2236	-0.0625009	-0.0598012	-0.0599987	-0.0599971	-0.0581792	-0.06	-0.0917072	-0.0561704	-0.0465192	-0.0450517
16119	3.2238	-0.0624974	-0.0598039	-0.0599987	-0.0599971	-0.0581792	-0.06	-0.091646	-0.0561935	-0.046518	-0.0450523
16120	3.224	-0.0624938	-0.0598067	-0.0599987	-0.0599971	-0.0581791	-0.06	-0.0915833	-0.0562172	-0.0465168	-0.0450529
16121	3.2242	-0.0624901	-0.0598096	-0.0599986	-0.0599971	-0.0581791	-0.06	-0.091519	-0.0562416	-0.0465155	-0.0450536
16122	3.2244	-0.0624863	-0.0598125	-0.0599986	-0.0599971	-0.0581791	-0.06	-0.0914532	-0.0562666	-0.0465142	-0.0450543
16123	3.2246	-0.0624824	-0.0598155	-0.0599986	-0.0599971	-0.058179	-0.06	-0.0913858	-0.0562923	-0.0465128	-0.045055
