TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
68	0.0136	-0.060059	-0.0603797	-0.0599989	-0.0599981	-0.0597256	-0.0586818	-0.0838597	-0.0905614	-0.0566086	-0.0570869
69	0.0138	-0.060074	-0.0603922	-0.0599989	-0.0599981	-0.0597364	-0.0586655	-0.084028	-0.090829	-0.0566171	-0.0571058
70	0.014	-0.060088	-0.0604039	-0.0599989	-0.059998	-0.0597467	-0.058648	-0.0841815	-0.0910873	-0.0566244	-0.0571237
71	0.0142	-0.0601009	-0.060415	-0.0599989	-0.059998	-0.0597566	-0.0586313	-0.0843204	-0.0913366	-0.0566307	-0.0571407
72	0.0144	-0.060113	-0.0604255	-0.0599988	-0.059998	-0.0597662	-0.0586152	-0.0844455	-0.0915773	-0.0566359	-0.0571568
73	0.0146	-0.0601241	-0.0604354	-0.0599988	-0.059998	-0.0597753	-0.0585998	-0.0845572	-0.0918097	-0.0566401	-0.057172
74	0.0148	-0.0601345	-0.0604447	-0.0599988	-0.059998	-0.0597841	-0.058585	-0.0846562	-0.0920339	-0.0566432	-0.0571863
75	0.015	-0.0601439	-0.0604535	-0.0599988	-0.059998	-0.0597926	-0.0585694	-0.0847429	-0.0922505	-0.0566453	-0.0571997
76	0.0152	-0.0601527	-0.0604618	-0.0599988	-0.059998	-0.0598007	-0.0585544	-0.0848178	-0.0924595	-0.0566463	-0.0572123
77	0.0154	-0.0601606	-0.0604696	-0.0599988	-0.059998	-0.0598086	-0.05854	-0.0848813	-0.0926612	-0.0566463	-0.057224
78	0.0156	-0.0601679	-0.060477	-0.0599988	-0.059998	-0.0598161	-0.0585262	-0.0849341	-0.092856	-0.0566453	-0.057235
79	0.0158	-0.0601746	-0.060484	-0.0599988	-0.059998	-0.0598233	-0.0585129	-0.0849764	-0.093044	-0.0566434	-0.0572452
80	0.016	-0.0601806	-0.0604906	-0.0599988	-0.059998	-0.0598302	-0.0584991	-0.0850089	-0.0932254	-0.0566404	-0.0572547
