TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
72	0.0144	-0.0583662	-0.0580305	-0.0577311	-0.057738	-0.0569906	-0.0594391	-0.0878053	-0.0870171	-0.0569451	-0.0568611
73	0.0146	-0.058361	-0.0580238	-0.0577258	-0.0577315	-0.0569941	-0.0594429	-0.0879367	-0.0871202	-0.0569494	-0.0568707
74	0.0148	-0.0583557	-0.0580167	-0.0577207	-0.0577252	-0.0569973	-0.0594466	-0.0880552	-0.0872185	-0.0569527	-0.0568793
75	0.015	-0.0583504	-0.0580094	-0.0577158	-0.0577188	-0.0570085	-0.0594528	-0.0881616	-0.0873123	-0.056955	-0.0568868
76	0.0152	-0.058345	-0.0580018	-0.0577111	-0.0577128	-0.0570192	-0.0594588	-0.0882565	-0.0874029	-0.0569563	-0.0568933
77	0.0154	-0.0583396	-0.057994	-0.0577066	-0.0577069	-0.0570295	-0.0594646	-0.0883404	-0.0874906	-0.0569568	-0.0568988
78	0.0156	-0.0583343	-0.057986	-0.0577023	-0.0577013	-0.0570394	-0.0594701	-0.0884137	-0.0875753	-0.0569565	-0.0569033
79	0.0158	-0.0583289	-0.0579778	-0.0576981	-0.0576959	-0.057049	-0.0594754	-0.0884769	-0.0876572	-0.0569553	-0.0569068
80	0.016	-0.0583236	-0.0579694	-0.0576941	-0.0576904	-0.0570657	-0.059483	-0.0885305	-0.0877364	-0.0569534	-0.0569094
81	0.0162	-0.0583184	-0.057961	-0.0576903	-0.0576852	-0.0570818	-0.0594904	-0.0885749	-0.0878141	-0.0569507	-0.056911
82	0.0164	-0.0583132	-0.0579524	-0.0576866	-0.0576801	-0.0570973	-0.0594974	-0.0886107	-0.0878902	-0.0569474	-0.0569116
83	0.0166	-0.0583082	-0.0579438	-0.057683	-0.0576753	-0.0571122	-0.0595041	-0.0886382	-0.0879648	-0.0569434	-0.0569114
84	0.0168	-0.0583032	-0.0579351	-0.0576796	-0.0576706	-0.0571264	-0.0595106	-0.0886578	-0.0880379	-0.0569387	-0.0569102
85	0.017	-0.0582984	-0.0579263	-0.0576763	-0.0576659	-0.0571475	-0.0595192	-0.0886698	-0.0881094	-0.0569335	-0.0569082
86	0.0172	-0.0582937	-0.0579176	-0.0576732	-0.0576613	-0.0571677	-0.0595274	-0.0886747	-0.0881805	-0.0569277	-0.0569053
87	0.0174	-0.0582891	-0.0579088	-0.0576702	-0.0576569	-0.0571871	-0.0595354	-0.0886728	-0.088251	-0.0569214	-0.0569015
88	0.0176	-0.0582847	-0.0579	-0.0576673	-0.0576527	-0.0572057	-0.059543	-0.0886646	-0.0883208	-0.0569146	-0.0568969
89	0.0178	-0.0582804	-0.0578913	-0.0576645	-0.0576487	-0.0572236	-0.0595503	-0.0886501	-0.0883898	-0.0569073	-0.0568915
90	0.018	-0.0582763	-0.0578826	-0.0576618	-0.0576445	-0.0572476	-0.0595594	-0.0886298	-0.0884581	-0.0568996	-0.0568853
91	0.0182	-0.0582724	-0.057874	-0.0576592	-0.0576405	-0.0572707	-0.0595682	-0.0886041	-0.0885264	-0.0568914	-0.0568783
92	0.0184	-0.0582685	-0.0578654	-0.0576568	-0.0576367	-0.0572929	-0.0595767	-0.0885732	-0.0885947	-0.0568829	-0.0568706
93	0.0186	-0.0582649	-0.0578569	-0.0576544	-0.057633	-0.0573142	-0.0595849	-0.0885374	-0.0886629	-0.056874	-0.0568621
94	0.0188	-0.0582614	-0.0578484	-0.0576521	-0.0576294	-0.0573347	-0.0595927	-0.0884969	-0.0887307	-0.0568647	-0.0568529
95	0.019	-0.0582581	-0.0578401	-0.0576499	-0.0576258	-0.0573607	-0.0596022	-0.088452	-0.0887981	-0.0568552	-0.0568429
96	0.0192	-0.0582549	-0.0578318	-0.0576478	-0.0576223	-0.0573856	-0.0596113	-0.088403	-0.0888659	-0.0568454	-0.0568323
