TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2592	0.5184	-0.0472388	-0.0945082	-0.0613293	-0.0568188	-0.0577743	-0.0629693
2593	0.5186	-0.0472642	-0.0945097	-0.0613257	-0.0568236	-0.0577745	-0.0629658
2594	0.5188	-0.0472894	-0.0945111	-0.0613221	-0.0568284	-0.0577746	-0.0629624
2595	0.519	-0.0473147	-0.0945123	-0.0613184	-0.0568331	-0.0577748	-0.062959
2596	0.5192	-0.0473399	-0.0945133	-0.0613148	-0.0568379	-0.057775	-0.0629556
2597	0.5194	-0.047365	-0.0945142	-0.0613111	-0.0568426	-0.0577751	-0.0629523
2598	0.5196	-0.0473901	-0.094515	-0.0613074	-0.0568474	-0.0577753	-0.0629489
2599	0.5198	-0.0474151	-0.0945157	-0.0613037	-0.0568521	-0.0577755	-0.0629456
2600	0.52	-0.04744	-0.0945162	-0.0613	-0.0568568	-0.0577756	-0.0629423
2601	0.5202	-0.0474649	-0.0945166	-0.0612963	-0.0568615	-0.0577758	-0.0629391
2602	0.5204	-0.0474897	-0.0945168	-0.0612926	-0.0568662	-0.057776	-0.0629358
2603	0.5206	-0.0475145	-0.094517	-0.0612889	-0.0568709	-0.0577762	-0.0629326
2604	0.5208	-0.0475391	-0.094517	-0.0612852	-0.0568755	-0.0577764	-0.0629293
2605	0.521	-0.0475638	-0.094517	-0.0612814	-0.0568802	-0.0577765	-0.0629261
2606	0.5212	-0.0475883	-0.0945168	-0.0612777	-0.0568848	-0.0577767	-0.062923
2607	0.5214	-0.0476128	-0.0945165	-0.0612739	-0.0568894	-0.0577769	-0.0629198
2608	0.5216	-0.0476372	-0.0945161	-0.0612701	-0.056894	-0.0577771	-0.0629167
2609	0.5218	-0.0476615	-0.0945157	-0.0612663	-0.0568986	-0.0577773	-0.0629135
2610	0.522	-0.0476858	-0.0945151	-0.0612625	-0.0569032	-0.0577775	-0.0629104
2611	0.5222	-0.04771	-0.0945145	-0.0612588	-0.0569078	-0.0577777	-0.0629073
2612	0.5224	-0.0477342	-0.0945137	-0.0612549	-0.0569123	-0.0577779	-0.0629043
2613	0.5226	-0.0477582	-0.0945129	-0.0612511	-0.0569168	-0.0577781	-0.0629012
2614	0.5228	-0.0477823	-0.094512	-0.0612473	-0.0569213	-0.0577783	-0.0628982
2615	0.523	-0.0478062	-0.094511	-0.0612435	-0.0569258	-0.0577785	-0.0628952
2616	0.5232	-0.0478301	-0.09451	-0.0612397	-0.0569303	-0.0577787	-0.0628922
2617	0.5234	-0.047854	-0.0945088	-0.0612359	-0.0569348	-0.0577789	-0.0628892
