TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
58	0.0116	-0.0583316	-0.0582491	-0.057805	-0.057805	-0.0542785	-0.0587659	-0.0789965	-0.0883454	-0.056903	-0.0564344
59	0.0118	-0.0583298	-0.0582555	-0.0577934	-0.0577934	-0.0542131	-0.0587558	-0.0791504	-0.0887128	-0.0569346	-0.0564464
60	0.012	-0.058327	-0.0582608	-0.0577817	-0.0577817	-0.0541661	-0.0587514	-0.0792866	-0.0890611	-0.0569648	-0.0564568
61	0.0122	-0.0583232	-0.0582652	-0.0577705	-0.0577705	-0.054121	-0.0587471	-0.0794086	-0.0893918	-0.0569939	-0.0564658
62	0.0124	-0.0583186	-0.0582687	-0.0577597	-0.0577597	-0.0540776	-0.058743	-0.0795176	-0.0897059	-0.0570218	-0.0564734
63	0.0126	-0.0583133	-0.0582714	-0.0577493	-0.0577493	-0.0540359	-0.0587391	-0.0796146	-0.0900043	-0.0570485	-0.0564795
64	0.0128	-0.0583073	-0.0582733	-0.0577394	-0.0577394	-0.0539959	-0.0587353	-0.0797006	-0.0902879	-0.0570739	-0.0564842
65	0.013	-0.0583007	-0.0582747	-0.0577293	-0.0577293	-0.0539736	-0.0587377	-0.0797766	-0.0905573	-0.0570983	-0.0564877
66	0.0132	-0.0582935	-0.0582754	-0.0577195	-0.0577195	-0.0539522	-0.05874	-0.0798455	-0.0908139	-0.0571215	-0.0564898
67	0.0134	-0.0582859	-0.0582757	-0.0577102	-0.0577102	-0.0539317	-0.0587422	-0.0799079	-0.0910583	-0.0571435	-0.0564907
68	0.0136	-0.0582779	-0.0582754	-0.0577012	-0.0577012	-0.0539119	-0.0587443	-0.0799643	-0.0912912	-0.0571645	-0.0564904
69	0.0138	-0.0582694	-0.0582748	-0.0576926	-0.0576926	-0.0538929	-0.0587464	-0.0800153	-0.091513	-0.0571844	-0.0564889
70	0.014	-0.0582607	-0.0582739	-0.0576839	-0.0576839	-0.0538904	-0.0587546	-0.0800612	-0.0917245	-0.0572032	-0.0564864
71	0.0142	-0.0582517	-0.0582726	-0.0576755	-0.0576755	-0.0538879	-0.0587626	-0.0801046	-0.0919266	-0.057221	-0.0564827
72	0.0144	-0.0582424	-0.0582711	-0.0576674	-0.0576674	-0.0538855	-0.0587703	-0.0801458	-0.0921197	-0.0572378	-0.0564781
73	0.0146	-0.058233	-0.0582694	-0.0576596	-0.0576596	-0.0538833	-0.0587776	-0.0801848	-0.0923044	-0.0572536	-0.0564725
74	0.0148	-0.0582234	-0.0582674	-0.0576522	-0.0576522	-0.0538811	-0.0587847	-0.0802217	-0.092481	-0.0572685	-0.0564659
75	0.015	-0.0582136	-0.0582654	-0.0576446	-0.0576446	-0.0538938	-0.0587979	-0.0802568	-0.0926498	-0.0572824	-0.0564585
76	0.0152	-0.0582038	-0.058263	-0.0576373	-0.0576373	-0.0539059	-0.0588105	-0.0802891	-0.0928119	-0.0572954	-0.0564503
77	0.0154	-0.0581939	-0.0582602	-0.0576303	-0.0576303	-0.0539176	-0.0588227	-0.0803135	-0.0929674	-0.0573075	-0.0564413
78	0.0156	-0.0581839	-0.0582568	-0.0576235	-0.0576235	-0.0539289	-0.0588344	-0.0803302	-0.0931167	-0.0573188	-0.0564315
