source	target	weight
W2402403182	W2399420755	1
W2400517300	W2402403182	1
W2402403182	W2409197843	1
W2402403182	W2417473322	1
W2402403182	W2428009260	1
W2402403182	W2466671176	1
W2402403182	W2474121502	1
W2402403182	W2478562489	1
W2402403182	W4248489947	1
W1938011084	W1972666877	1
W1938011084	W2031321282	1
W1938011084	W2078111946	1
W1938011084	W2083357910	1
W2400517300	W1998584917	1
W2400517300	W2018959254	1
W2400517300	W2037050168	1
W2400517300	W2045391660	1
W2400517300	W2064257383	1
W2400517300	W2072002431	1
W2400517300	W2074071999	1
W2400517300	W2086265687	1
W2400517300	W2103458434	1
W2400517300	W2109398572	1
W2400517300	W2110252881	1
W2400517300	W2113386433	1
W2400517300	W2115866269	1
W2400517300	W2124834326	1
W2400517300	W2127110152	1
W2400517300	W2133970449	1
W2400517300	W2136465646	1
W2400517300	W2143289029	1
W2400517300	W2143314240	1
W2400517300	W2149784701	1
W2400517300	W2155213171	1
W2400517300	W2200746124	1
W2400517300	W2303850821	1
W2400517300	W2474121502	1
W2400517300	W2478562489	1
W2400517300	W4245017765	1
W2492299531	W2007769909	1
W2492299531	W2049230750	1
W2492299531	W2085531075	1
W2492299531	W2127735752	1
W2492299531	W2159240874	1
W2492299531	W2162304282	1
W131030061	W1512811199	1
W131030061	W1814966798	1
W1878589647	W131030061	1
W1967425026	W131030061	1
W131030061	W1999560196	1
W131030061	W2018959254	1
W131030061	W2022437069	1
W131030061	W2025947382	1
W131030061	W2041488220	1
W131030061	W2045391660	1
W131030061	W2046363790	1
W131030061	W2052812788	1
W131030061	W2092114155	1
W131030061	W2106064561	1
W131030061	W2106518363	1
W131030061	W2133970449	1
W131030061	W2146794131	1
W131030061	W2164723986	1
W131030061	W2174117054	1
W131030061	W2474121502	1
W104753013	W1475996878	1
W1475996878	W1994097308	1
W1475996878	W2037050168	1
W1475996878	W2042314925	1
W1475996878	W2093435740	1
W1475996878	W2113386433	1
W1475996878	W2140497618	1
W1475996878	W2142548630	1
W1475996878	W2145648903	1
W2113012829	W1485835488	1
W2113012829	W2060549368	1
W2113012829	W2115682148	1
W2113012829	W2323579419	1
W3126384063	W181439764	1
W3126384063	W1512811199	1
W3126384063	W1637203540	1
W3126384063	W1962249519	1
W3126384063	W1970087762	1
W3126384063	W1973862785	1
W3126384063	W1981746040	1
W3126384063	W2018959254	1
W3126384063	W2022437069	1
W3126384063	W2032624805	1
W3126384063	W2043362413	1
W3126384063	W2049747725	1
W3126384063	W2055592109	1
W3126384063	W2064257383	1
W3126384063	W2082485258	1
W3126384063	W2082605003	1
W3126384063	W2098480857	1
W3126384063	W2101864862	1
W3126384063	W2106150875	1
W3126384063	W2113386433	1
W3126384063	W2133240073	1
W3126384063	W2141290457	1
W3126384063	W2162304282	1
W3126384063	W2168307960	1
W3126384063	W2169109050	1
W3126384063	W2259177389	1
W3126384063	W2289996588	1
W3126384063	W2303850821	1
