id	label	doi	year	first_author	weight	x	y	cluster	source
W2020499399	Model Predictive Control for Gust Load Alleviation	10.3182/20120823-5-nl-3013.00049	2012	Giesseler	53	0.301433	0.958962		task5import
nodoi:recOFN0t5qZjVwdBR	Quantifying proprioception		1999	Prochazka	0	0.278976	0.948585		demo50
W1825407633	An air flow sensor modeled on wind receptor hairs of insects	10.1109/memsys.2000.838573	2000	Ozaki	125	0.354769	0.415906	8	task5import
W2171759509	HUMAN NEURONAL INTERLIMB COORDINATION DURING SPLIT-BELT LOCOMOTION	10.1007/bf00227344	1994	Dietz	247	0.499384	0.506260	4	rest383
W2119336047	Instability of synchronized motion in nonlocally coupled neural oscillators	10.1103/physreve.73.031907	2006	Sakaguchi	137	0.517021	0.488114	6	task5import
W3043502268	On the organization of the locomotor CPG: insights from split-belt locomotion and mathematical modeling	10.1101/2020.07.17.205351	2020	Latash	2	0.499930	0.501862	4	task5import
W2902075800	A new neuron model under electromagnetic field	10.1016/j.amc.2018.10.087	2019	Wu	108	0.519247	0.488497	6	task5import
W2068105646	Electrophysiological and Pharmacological Properties of Locomotor Activity-Related Neurons in cfos-EGFP Mice	10.1152/jn.00265.2009	2009	Dai	43	0.499096	0.497866	2	task5import
W4386406991	Muscle power production during intermittent swimming in bluegill sunfish	10.1002/jez.2751	2023	Coughlin	5	0.335664	0.386876	9	task5import
W2075072522	Phase-dependent transmission in the excitatory propriospinal reflex pathway from forelimb afferents to lumbar motoneuron	10.1016/0304-3940(77)90187-2	1977	Schomburg	55	0.498514	0.507439	3	rest383
W2033226680	Self-organized control of bipedal locomotion by neural oscillators in unpredictable environment	10.1007/bf00198086	1991	Taga	1036	0.507604	0.502280	1	task5import
W4255989982	Hummingbird flight	10.1016/j.cub.2012.04.057	2012	Warrick	60	0.257061	0.937110		task5import
W2049230750	How detailed is the central pattern generation for locomotion	10.1016/0006-8993(75)90401-1	1975	Grillner	258	0.502812	0.502843	4	rest383
W2087399203	Control and Estimation of Posture During Quiet Stance Depends on Multijoint Coordination	10.1152/jn.01142.2006	2007	Hsu	323	0.513265	0.518910	5	task5import
nodoi:recPDEubuXGZpPusW	the Spontaneously Locomoting Premammillary Cat Heterogenic Feedback Between Hindlimb Extensors in		2013	Ross	0	0.235740	0.924566		task5import
W2115682148	LOCOMOTOR CIRCUITS IN THE MAMMALIAN SPINAL CORD	10.1146/annurev.neuro.29.051605.112910	2006	Kiehn	906	0.500151	0.501422	2	demo50
W2137825350	Peripheral control of the cat's step cycle I. Phase dependent effects of ramp-movements of the hip during "fictive locom	10.1111/j.1748-1716.1981.tb06867.x	1981	Andersson	195	0.501232	0.505668	3	rest383
W1559505189	Generating the walking gait: role of sensory feedback.	10.1016/s0079-6123(03)43012-4	2004	Pearson	364	0.502928	0.503607	3	rest383
W111640478	Chapter 10--a hierarchical perspective on rhythm generation for locomotor control.	10.1016/b978-0-444-53825-3.00015-2	2011	Yakovenko	35	0.503183	0.504497	4	rest383
W2743573280	A Functional Subnetwork Approach to Designing Synthetic Nervous Systems That Control Legged Robot Locomotion	10.3389/fnbot.2017.00037	2017	Szczecinski	57	0.510969	0.504043	1	rest383
W2058197872	Postural control and adaptation are influenced by preceding postural challenges	10.1007/s00221-010-2166-x	2010	Tjernström	22	0.523770	0.524419	5	task5import
W2776689090	Delineating the Diversity of Spinal Interneurons in Locomotor Circuits	10.1523/jneurosci.1829-17.2017	2017	Gosgnach	106	0.498126	0.499633	2	task5import
W2004675537	Proprioception and locomotor disorders	10.1038/nrn939	2002	Dietz	489	0.502265	0.506743	3	originals99
W4402157574	On All Fours: A 3D Framework to Study Closed-loop Control of Quadrupedal Mouse Locomotion	10.1162/isal_a_00788	2023	Ramalingasetty	2	0.489881	0.499901	3	task5import
W2600165020	Speed dependency in α-motoneuron activity and locomotor modules in human locomotion: indirect evidence for phylogenetica	10.1098/rspb.2017.0290	2017	Yokoyama	23	0.502505	0.500564	2	originals99
W2438937308	Intra-axonal recordings of cutaneous primary afferents during fictive locomotion in the cat	10.1152/jn.1989.62.5.1177	1989	Gossard	108	0.497980	0.506004	3	rest383
W2001556607	Neural control of locomotion; Part 1: The central pattern generator from cats to humans	10.1016/s0966-6362(97)00042-8	1998	Duysens	532	0.502743	0.503641	7	rest383
W2602737239	The Human Central Pattern Generator for Locomotion: Does It Exist and Contribute to Walking?	10.1177/1073858417699790	2017	Minassian	203	0.501833	0.502302	7	rest383
W2895381724	Sub-populations of Spinal V3 Interneurons Form Focal Modules of Layered Pre-motor Microcircuits.	10.1016/j.celrep.2018.08.095	2018	Chopek	91	0.498873	0.500694	2	rest383
W2799933962	Stepping responses to treadmill perturbations vary with severity of motor deficits in human SCI	10.1152/jn.00486.2017	2018	Chu	3	0.503391	0.504870	7	rest383
W2764257870	State-dependent rhythmogenesis and frequency control in a half-center locomotor CPG	10.1152/jn.00550.2017	2018	Ausborn	80	0.501435	0.500944	2	rest383
W2078807031	Initiation of locomotion in lampreys.	10.1016/j.brainresrev.2007.07.016	2008	Dubuc	197	0.500139	0.498230	2	rest383
W2128382207	A walking robot called human: lessons to be learned from neural control of locomotion.	10.1016/s0021-9290(01)00187-7	2002	Duysens	40	0.503374	0.505812	3	rest383
W3042304855	On the Influence of Group III/IV Muscle Afferent Feedback on Endurance Exercise Performance	10.1249/jes.0000000000000233	2020	Amann	77	0.215065	0.910982		originals99
W2259177389	The spinal control of locomotion and step-to-step variability in left-right symmetry from slow to moderate speeds	10.1152/jn.00419.2015	2015	Dambreville	53	0.497964	0.503923	4	originals99
W3093331001	On the Organization of the Locomotor CPG: Insights From Split-Belt Locomotion and Mathematical Modeling	10.3389/fnins.2020.598888	2020	Latash	26	0.500052	0.502014	4	originals99
W2135268036	Insect Walking and Biorobotics: A Relationship with Mutual Benefits	10.1641/0006-3568(2000)050[0023:iwabar]2.3.co;2	2000	Ritzmann	81	0.510989	0.505055	1	originals99
W2162109810	Capturability-based analysis and control of legged locomotion, Part 2: Application to M2V2, a lower-body humanoid	10.1177/0278364912452762	2012	Pratt	265	0.501450	0.516011	5	task5import
W1973434807	Multisensory control of human upright stance	10.1007/s00221-005-0256-y	2006	Maurer	406	0.510124	0.514151	5	task5import
W2056290204	The Brain in Its Body: Motor Control and Sensing in a Biomechanical Context	10.1523/jneurosci.3338-09.2009	2009	Chiel	146	0.507842	0.505974	1	rest383
nodoi:recQwvJAHTH2EEnnZ	Highly mobile robots that run and jump		2004	Horchler	0	0.195087	0.896393		task5import
W2159779776	Fish swimming: patterns in muscle function	10.1242/jeb.202.23.3397	1999	Altringham	261	0.336597	0.388099	9	task5import
W4285083549	Left-right locomotor coordination in human neonates	10.1523/jneurosci.0612-22.2022	2022	Dewolf	10	0.499267	0.502785	2	rest383
W2492889310	Hip and ankle responses for reactive balance emerge from varying priorities to reduce effort and kinematic excursion: A 	10.1016/j.jbiomech.2016.08.007	2016	Versteeg	33	0.511494	0.514135	5	task5import
W4205125105	Brainstem Circuits for Locomotion	10.1146/annurev-neuro-082321-025137	2022	Leiras	140	0.499556	0.498393	2	originals99
W2903465385	Spinal control of muscle synergies for adult mammalian locomotion	10.1113/jp277018	2019	Desrochers	60	0.501401	0.504871	4	originals99
W2020528988	A distributed neural network architecture for hexapod robot locomotion	10.1162/neco.1992.4.3.356	1992	Beer	121	0.514301	0.501494	1	rest383
