ts,trial,phase_reset_e,phase_reset_f,run,kine_score,duty,knee_min,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,npz
2026-09-12 17:12:53,124,0.0736,0.1711,full22,-62.979,0.455,10.00,14.81,21.07,5.78,1.100,35.8,True,v5_best_trial124.npz
2026-09-12 17:13:27,125,0.0789,0.0276,eval,-61.427,0.427,11.32,14.10,20.97,5.39,1.200,34.5,True,
2026-09-12 17:14:01,126,0.0185,0.1080,eval,-61.228,0.480,10.71,14.16,20.90,5.44,1.067,33.3,True,
2026-09-12 17:14:36,127,0.0942,0.0511,eval,-61.230,0.443,11.36,14.01,20.94,5.47,1.067,33.6,True,
2026-09-12 17:15:10,128,0.2200,0.0194,eval,-61.253,0.474,10.82,14.08,21.02,5.37,1.067,33.3,True,
2026-09-12 17:15:45,129,0.0628,0.2431,eval,-61.457,0.433,10.71,14.17,20.94,5.40,1.067,32.8,True,
2026-09-12 17:16:19,130,0.2282,0.1115,eval,-61.088,0.474,10.96,14.13,20.76,5.48,1.067,33.3,True,
2026-09-12 17:16:53,131,0.2468,0.1651,eval,-60.987,0.477,10.70,13.99,20.95,5.50,0.933,35.2,True,
2026-09-12 17:17:57,131,0.2468,0.1651,full22,-62.634,0.448,10.00,14.67,21.09,5.65,1.100,36.9,True,v5_best_trial131.npz
2026-09-12 17:18:32,132,0.0372,0.0078,eval,-61.156,0.455,11.20,14.10,20.80,5.53,1.200,34.2,True,
2026-09-12 17:19:06,133,0.0686,0.2365,eval,-61.069,0.469,10.71,13.94,21.10,5.44,0.933,33.8,True,
2026-09-12 17:19:41,134,0.1859,0.0323,eval,-61.315,0.467,11.01,14.21,20.80,5.49,1.200,34.5,True,
2026-09-12 17:20:15,135,0.0315,0.1402,eval,-61.588,0.369,10.52,14.06,21.09,5.44,0.933,33.8,True,
2026-09-12 17:20:50,136,0.0207,0.2835,eval,-61.161,0.475,10.72,13.95,21.19,5.40,0.933,33.5,True,
2026-09-12 17:21:24,137,0.2218,0.2189,eval,-60.987,0.481,10.46,14.03,20.95,5.49,0.933,34.8,True,
2026-09-12 17:22:27,137,0.2218,0.2189,full22,-62.708,0.456,10.00,14.71,21.10,5.65,1.100,36.6,True,v5_best_trial137.npz
2026-09-12 17:23:01,138,0.1585,0.0651,eval,-61.370,0.404,11.05,14.04,20.98,5.40,1.067,33.6,True,
2026-09-12 17:23:36,139,0.0642,0.0378,eval,-61.181,0.472,10.92,14.08,20.93,5.46,1.067,34.1,True,
2026-09-12 17:24:11,140,0.3640,0.1029,eval,-61.196,0.475,11.03,14.16,20.77,5.53,1.067,33.9,True,
2026-09-12 17:24:45,141,0.0230,0.0257,eval,-61.291,0.471,11.38,14.19,20.76,5.51,1.200,34.1,True,
2026-09-12 17:25:20,142,0.0954,0.2119,eval,-61.282,0.476,10.99,14.23,20.76,5.53,1.200,34.5,True,
2026-09-12 17:25:55,143,0.0063,0.0457,eval,-61.176,0.468,11.63,14.00,20.96,5.38,1.067,32.7,True,
2026-09-12 17:26:30,144,0.0698,0.3023,eval,-61.209,0.473,10.63,13.92,21.29,5.36,0.800,32.9,True,
2026-09-12 17:27:04,145,0.2458,0.1827,eval,-61.394,0.470,10.40,14.05,21.34,5.34,0.800,36.1,True,
2026-09-12 17:27:39,146,0.1284,0.2203,eval,-61.058,0.476,10.76,14.05,20.91,5.42,1.067,33.1,True,
2026-09-12 17:28:14,147,0.0580,0.1564,eval,-61.051,0.463,10.82,13.98,20.97,5.51,1.067,35.2,True,
2026-09-12 17:28:49,148,0.0500,0.1677,eval,-61.286,0.450,10.85,14.23,20.73,5.57,1.200,34.3,True,
2026-09-12 17:29:23,149,0.0152,0.1308,eval,-61.834,0.310,10.67,13.99,21.27,5.38,0.933,34.1,True,
