[FSA_Extensions] 4W847RW9 2017 Szczecinski et al. | A Functional Subnetwork Approach to Designing Synthetic Nervous Systems That Control Legged Robot Lo
[FSA_Extensions] E3LUEWU9 11/2 Izhikevich | Simple model of spiking neurons
[FSA_Extensions] YNB3RNU7 2/20 Szczecinski et al. | Design process and tools for dynamic neuromechanical models and robot controllers
[FSA_Extensions] 2JGSSVN9 2003 Izhikevich | Simple model of spiking neurons
[FSA_Extensions] 7QRJD27N 2017 Szczecinski et al. | A Functional Subnetwork Approach to Designing Synthetic Nervous Systems That Control Legged Robot Lo
[FSA_Extensions] B9H7K6VP 2020 Szczecinski et al. | Extending the Functional Subnetwork Approach to a Generalized Linear Integrate-and-Fire Neuron Model
[FSA_Extensions] 92A4LUSL 2014 Bekolay et al. | Nengo: a Python tool for building large-scale functional brain models
[FSA_Extensions] LVWP9CE8   | An analytical framework for optimizing neural networks - ScienceDirect
[FSA_Extensions] 26W69TG7  Stewart | A Technical Overview of the Neural Engineering Framework
[FSA_Extensions] BP8XPLCY 2017 Nilashi et al. | An analytical method for diseases prediction using machine learning techniques
[FSA_Extensions] SYN88ARV 2015 Didona et al. | Enhancing Performance Prediction Robustness by Combining Analytical Modeling and Machine Learning
[FSA_Extensions] YFGAPDFF 07/1 Scharzenberger and Hunt | A Comparison of Absolute & Relative Neural Encoding Schemes in Addition & Subtraction Functional Sub
[FSA_Extensions] W4934WJK 2022 Nourse et al. | SNS-Toolbox: A Tool for Efficient Simulation of Synthetic Nervous Systems
[FSA_Extensions] PIJIM4N9 2017 Mukkamala and Hein | Variants of RMSProp and Adagrad with Logarithmic Regret Bounds
[FSA_Extensions] UULZ2UMB 2012 Bottou | Stochastic Gradient Descent Tricks
[FSA_Extensions] 8ZMWG379  Paszke et al. | PyTorch: An Imperative Style, High-Performance Deep Learning Library
[FSA_Extensions] CULV2KNW 04/2 Pang et al. | Deep Learning With TensorFlow: A Review
[FSA_Extensions] ZL5YYPLJ 1992 Hecht-Nielsen | Theory of the Backpropagation Neural Network
[FSA_Extensions] T6PLKB58 09/2 Keckler et al. | GPUs and the Future of Parallel Computing
[FSA_Extensions] W5R9CCXG 2017 Kingma and Ba | Adam: A Method for Stochastic Optimization
[FSA_Extensions] 8EPWDJPV  Griewank | On Automatic Differentiation
[FSA_Extensions] LSTWHRKA 2015 LeCun et al. | Deep learning
[FSA_Extensions] QLYVWBC5 Apri Hilts et al. | A Dynamic Neural Network Designed Using Analytical Methods Produces Dynamic Control Properties Simil
[FSA_Extensions] X8VX7UBG 2018 Baydin et al. | Automatic differentiation in machine learning: a survey
--- end FSA_Extensions ---
[Aim 2] ZTFCJR4R 2024 Nichols | Neuromechanical Circuits of the Spinal Motor Apparatus
[Aim 2] HLX89K4L   | Special issue on adaptive motion of animals and machines
[Aim 2] YSXM2RX6 2024 Li et al. | Controller design and experimental validation of walking for a musculoskeletal bipedal lower limb ro
[Aim 2] FTQG7W85 2019 Durandau et al. | Voluntary control of wearable robotic exoskeletons by patients with paresis via neuromechanical mode
[Aim 2] 4NJFY349 2022 Wang et al. | MyoSim: Fast and physiologically realistic MuJoCo models for musculoskeletal and exoskeletal studies
[Aim 2] MNC6TMBW 2022 Ikkala and Hämäläinen | Converting Biomechanical Models from OpenSim to MuJoCo
[Aim 2] T35R37AP 2024 Li et al. | Controller design and experimental validation of walking for a musculoskeletal bipedal lower limb ro
[Aim 2] QVEH8E98 2024 Tanaka et al. | Enhancing postural stability in musculoskeletal quadrupedal locomotion through tension feedback for 
[Aim 2] ZE92KPYH 2025 Yoshida et al. | Implementing Stretch Reflex in Musculoskeletal Robots Driven by Pneumatic Artificial Muscles Using N
[Aim 2] KVUMSD5Q   | Full article: Investigation of arm stabilization with proprioceptive sensory reflex pathways on a 2-
[Aim 2] 8DQZKDTD 2024 Avaltroni et al. | Spinal maps of motoneuron activity during human locomotion: neuromechanical considerations
[Aim 2] E87KHQYE   | Control of Mammalian Locomotion by Somatosensory Feedback - Frigon - 2022 - Comprehensive Physiology
[Aim 2] 53MMADKJ 2022 Fukuoka et al. | Pace Running of a Quadruped Robot Driven by Pneumatic Muscle Actuators: An Experimental Study
[Aim 2] EQZSNW6E 2024 Rybak et al. | Operation regimes of spinal circuits controlling locomotion and the role of supraspinal drives and s
[Aim 2] MGYWT5TP 2025 Rybak et al. | Operation of spinal sensorimotor circuits controlling phase durations during tied-belt and split-bel
[Aim 2] FZD59HCB 2022 Wang et al. | Variational and phase response analysis for limit cycles with hard boundaries, with applications to 
[Aim 2] SUNBRTVF 2022 Lecomte et al. | Modulation of the gait pattern during split-belt locomotion after lateral spinal cord hemisection in
[Aim 2] AWDACIVT 2025 Rahmati et al. | Role of forelimb morphology in muscle sensorimotor functions during locomotion in the cat
[Aim 2] VUUQAD3Q   | NeuroMechFly, a neuromechanical model of adult Drosophila melanogaster - ProQuest
[Aim 2] QY48RMC4 2025 Klishko et al. | Effects of spinal transection and locomotor speed on muscle synergies of the cat hindlimb
[Aim 2] 4WRZ8QXL 2023 Di Russo et al. | Investigating the roles of reflexes and central pattern generators in the control and modulation of 
[Aim 2] EL6UYIFW 2023 Fietkiewicz et al. | Tutorial: using NEURON for neuromechanical simulations
[Aim 2] DGIE8TF3   | Neuromuscular Transmission in a Biological Context - Slater - 2024 - Comprehensive Physiology - Wile
[Aim 2] Z77GX4ZD   | Behavioral Motor Performance - Leib - 2024 - Comprehensive Physiology - Wiley Online Library
[Aim 2] ZT3GPGK6 2024 Ishida et al. | Paleoinspired robotics as an experimental approach to the history of life
[Aim 2] GXLYPJ7H 09/2 Fukuoka and Akama | Dynamic bipedal walking of a dinosaur-like robot with an extant vertebrate's nervous system
[Aim 2] A8KPP36V 2024 Nichols | Neuromechanical Circuits of the Spinal Motor Apparatus
[Aim 2] T8JLLLU2 12/2 Valero-Cuevas and Santello | On neuromechanical approaches for the study of biological and robotic grasp and manipulation
[Aim 2] WJ4Y4G75 2019 Torricelli et al. | Editorial: Assessing Bipedal Locomotion: Towards Replicable Benchmarks for Robotic and Robot-Assiste
[Aim 2] MNFISTGM 2017 Song and Geyer | Evaluation of a Neuromechanical Walking Control Model Using Disturbance Experiments
[Aim 2] UC8ILYCL 2019 Sreenivasa et al. | Editorial: Neuromechanics and Control of Physical Behavior: From Experimental and Computational Form
[Aim 2] TN6X6P64 2022 Mikolajczyk et al. | Recent Advances in Bipedal Walking Robots: Review of Gait, Drive, Sensors and Control Systems
--- end Aim 2 ---
[CHAPTER 2. BACKGROUND] M79RGHZV 2012 Sárosi | New approximation algorithm for the force of fluidic muscles
[CHAPTER 2. BACKGROUND] W6PSXTK3 2024  | (PDF) Positive Force Feedback Control of Muscles
[CHAPTER 2. BACKGROUND] HQZX9CP7 1997 Prochazka et al. | Positive Force Feedback Control of Muscles
[CHAPTER 2. BACKGROUND] 2IMENNEQ 2006 Aschenbeck | Design of a Quadruped Robot Driven by Air Muscles (Master's thesis)
[CHAPTER 2. BACKGROUND] BP9HDCFX 2001 Colbrunn et al. | Modeling of Braided Pneumatic Actuators for Robotic Control
[CHAPTER 2. BACKGROUND] DMAMGADG 2012 Tóth et al. | A neuromechanical model explaining forward and backward stepping in the stick insect
[CHAPTER 2. BACKGROUND] KAQJLCMY 2006 Pearson et al. | Assessing sensory function in locomotor systems using neuro-mechanical simulations
[CHAPTER 2. BACKGROUND] 7V35NNXU 2002 Fischer et al. | Basic limb kinematics of small therian mammals
[CHAPTER 2. BACKGROUND] PBFYA8FH 2002 Witte et al. | Torque patterns of the limbs of small therian mammals during locomotion on flat ground
[CHAPTER 2. BACKGROUND] 9UTCYN93 Octo Kingsley et al. | A Cockroach Inspired Robot With Artificial Muscles
[CHAPTER 2. BACKGROUND] 97RF7925 1998 Meijer et al. | A Hill type model of rat medial gastrocnemius muscle that accounts for shortening history effects
[CHAPTER 2. BACKGROUND] SXBP8YFF June Tytell et al. | Spikes alone do not behavior make: why neuroscience needs biomechanics.
[CHAPTER 2. BACKGROUND] QVN2D9LR 2008 Johnson et al. | A three-dimensional model of the rat hindlimb: musculoskeletal geometry and muscle moment arms
[CHAPTER 2. BACKGROUND] XPY7L24V 1989 Zajac | Muscle and tendon: properties, models, scaling, and application to biomechanics and motor control.
[CHAPTER 2. BACKGROUND] SGZ4HH7Q 1989 Blickhan | The spring-mass model for running and hopping
[CHAPTER 2. BACKGROUND] RWE2AKP6 2014 Andrikopoulos and Nikolakopoulos | Piecewise affine modeling and constrained optimal control for a pneumatic artificial muscle
[CHAPTER 2. BACKGROUND] 8WFRBQIS Febr Chou and Hannaford | Measurement and modeling of McKibben pneumatic artificial muscles
[CHAPTER 2. BACKGROUND] 45GV93Q9 2014 Webster et al. | Design and Control of a Tunable Compliance Actuator
[CHAPTER 2. BACKGROUND] CWWU9QU2 2001 Colbrunn and Nelson | Design and control of a robotic leg with braided pneumatic actuators
[CHAPTER 2. BACKGROUND] GNSMXF89 2005 Ahn and Thanh | Nonlinear PID control to improve the control performance of the pneumatic artificial muscle manipula
[CHAPTER 2. BACKGROUND] ICGS566P  Gaylord | Fluid Actuated Motor System and Stroking Device
[CHAPTER 2. BACKGROUND] UDK8PJMB 2012 Hošovskỳ and Havran | Dynamic modelling of one degree of freedom pneumatic muscle-based actuator for industrial applicatio
[CHAPTER 2. BACKGROUND] 27NCM559 2000 Tondu and Lopez | Modeling and control of McKibben artificial muscle robot actuators
[CHAPTER 2. BACKGROUND] 6V5DH3U3 10/2 Minh et al. | Modeling and control of a pneumatic artificial muscle manipulator joint – Part I: Modeling of a pneu
[CHAPTER 2. BACKGROUND] 3WP5P7AM 2011 Szepe | Accurate force function approximation for pneumatic artificial muscles
--- end CHAPTER 2. BACKGROUND ---
--- end CHAPTER 4. CALCULATING MN ACTIVATIONS ---
[Damping in Locomotion] VSW2IRCH 2014 Jia et al. | Parametric resonance for vibration energy harvesting with design techniques to passively reduce the 
[Damping in Locomotion] CAIECEZ6 2012 Shen and Seipel | A fundamental mechanism of legged locomotion with hip torque and leg damping
[Damping in Locomotion] 8LZN872I 2023 Mo et al. | Slack-based tunable damping leads to a trade-off between robustness and efficiency in legged locomot
[Damping in Locomotion] YD6A8VWX 2019 Dallmann et al. | Motor control of an insect leg during level and incline walking
[Damping in Locomotion] YXVHURQM 2013 Wosnitza et al. | Inter-leg coordination in the control of walking speed in Drosophila
[Damping in Locomotion] GRVMF2DE 2007 Herbin et al. | Gait parameters of treadmill versus overground locomotion in mouse
[Damping in Locomotion] I2BX8VL8 2012 Harrison et al. | Forelimb muscle activity during equine locomotion
[Damping in Locomotion] FG6W5C57 2021 Arelekatti et al. | Design of a Four-Bar Latch Mechanism and a Shear-Based Rotary Viscous Damper for Single-Axis Prosthe
[Damping in Locomotion] LL8YXZGU 2011 Garcia et al. | Combining series elastic actuation and magneto-rheological damping for the control of agile locomoti
[Damping in Locomotion] 3ZUMUP25 2001 Wilson et al. | Horses damp the spring in their step
[Damping in Locomotion] HDFSWCRP 2006 Cham and Cutkosky | Dynamic Stability of Open-Loop Hopping
[Damping in Locomotion] 4AWW5Y73 2022 Badri-Spröwitz et al. | BirdBot achieves energy-efficient gait with minimal control using avian-inspired leg clutching
[Damping in Locomotion] EN6F3PHP 2022 Owaki et al. | Editorial: Biological and Robotic Inter-Limb Coordination
[Damping in Locomotion] 2ESUMQSN 2022 Fukuhara et al. | Comparative anatomy of quadruped robots and animals: a review
[Damping in Locomotion] 78PHLMAD 2020 Mo et al. | Effective Viscous Damping Enables Morphological Computation in Legged Locomotion
[Damping in Locomotion] A6DNHI84 2021 Ashtiani et al. | Hybrid Parallel Compliance Allows Robots to Operate With Sensorimotor Delays and Low Control Frequen
[Damping in Locomotion] GUG8HUIH 2023 Sutton et al. | Phase shift between joint rotation and actuation reflects dominant forces and predicts muscle activa
--- end Damping in Locomotion ---
--- end npjRobotics ---
[Literature Reviews] UPM689S4 2016 Tuthill and Wilson | Mechanosensation and adaptive motor control in insects
[Literature Reviews] E376F3ZS 12/2 Minassian et al. | The Human Central Pattern Generator for Locomotion: Does It Exist and Contribute to Walking?
--- end Literature Reviews ---
TOTAL items enumerated: 253
