"key","type","title","DOI","date","pub"
"QP34AILY","journalArticle","Inhibitory interneurons within the deep dorsal horn integrate convergent sensory input to regulate motor performance","10.1101/2022.05.21.492933","2022-05-21",
"Y3Z5IN3Y","journalArticle","Peripheral control of the cat's step cycle I. Phase dependent effects of ramp-movements of the hip during ΓÇ£fictive locomotionΓÇ¥","10.1111/j.1748-1716.1981.tb06867.x","1981-09-01","Acta Physiologica Scandinavica"
"U4ABJSLN","journalArticle","Sensorimotor gain control: a basic strategy of motor systems?","10.1016/0301-0082(89)90004-x","1989-01-01","Progress in Neurobiology"
"AUGC78MZ","journalArticle","Analyzing Modeled Torque Profiles to Understand Scale-Dependent Active Muscle Responses in the Hip Joint","10.3390/biomimetics7010017","2022-01-20",
"SUCHEKJX","journalArticle","Neuromodulation of the Spinal Cord for Movement Restoration","10.1016/b978-0-12-805353-9.00098-x","2018-01-01",
"RKXH9VWY","journalArticle","On the initiation of the swing phase of locomotion in chronic spinal cats.","10.1016/0006-8993(78)90973-3","1978-05-12","Brain Research"
"L5E6WSMY","journalArticle","Shared reflex pathways from Ib tendon organ afferents and Ia muscle spindle afferents in the cat.","10.1113/jphysiol.1983.sp014663","1983-05-01","The Journal of Physiology"
"JYW9V34R","journalArticle","The use of state-dependent modulation of spinal reflexes as a tool to investigate the organization of spinal interneurons.","10.1007/s002210050847","1999-09-17","Experimental Brain Research"
"FZF879P3","journalArticle","HUMAN NEURONAL INTERLIMB COORDINATION DURING SPLIT-BELT LOCOMOTION","10.1007/bf00227344","1994-01-01","Experimental Brain Research"
"PX4QPE2A","journalArticle","Relative Contribution of Proprioceptive and Vestibular Sensory Systems to Locomotion: Opportunities for Discovery in the Age of Molecular Science.","10.3390/ijms22031467","2021","International Journal of Molecular Sciences"
"BRHWB9JX","journalArticle","Regulation of Arm and Leg Movement during Human Locomotion","10.1177/1073858404264680","2004-08-01","The Neuroscientist"
"QHAYTMKP","journalArticle","Mechanisms of Left-Right Coordination in Mammalian Locomotor Pattern Generation Circuits: A Mathematical Modeling View","","2015-05-01",
