"id","title","match","zotero_key","DOI","flag"
"recGXAkc9YqiOxZyT","Ipsilateral and Contralateral Interactions in Spinal Locomotor Circuits Mediated by V1 Neurons: Insights from Computational Modeling","strict","TZUCY8C5","10.3390/ijms23105541",""
"recHUhzNl3CEaF8pE","Leg coordination mechanisms in the stick inspect applied to hexapod robot locomotion","adjudicated","HJUK3CTI","10.1177/105971239300100404",""
"recHcv62OUhTEklV2","Assessing sensory function in locomotor systems using neuro-mechanical simulations","strict","KAQJLCMY","10.1016/j.tins.2006.08.007",""
"recIKY3z8nHIQBBVJ","Distributed force feedback in the Spinal Cord and the regulation of limb mechanics","strict","JDG5TCXN","10.1152/jn.00216.2017",""
"recIzSEo9c2ncsgD0","Inhibition of flexor burst generation by loading ankle extensor muscles in walking cats","strict","LFNMW4Q8","10.1016/0006-8993(80)90206-1",""
"recJxL69hcXETbH84","Transmission in a locomotor-related group Ib pathway from hindlimb extensor muscles in the cat","loose","BW2B2RGZ","10.1007/bf00228410",""
"recK0c5jhXlSJghSr","Neuromechanical model of rat hind limb walking with two layer CPGs","loose","89GWZLI7","",""
"recK3poWZVE1BWpQc","Role of sensory feedback in the control of stance duration in walking cats","loose","TN2DVMAX","10.1016/j.brainresrev.2007.06.014",""
"recLQre1rXrmJOLU3","Recurrent inhibition from motor axon collaterals of transmission in the Ia inhibitory pathway to motoneurones","none","","",""
"recLhkoL8t6Ml2EGz","Mechanosensation and Adaptive Motor Control in Insects","strict","DZPSWJ2K","10.1016/j.cub.2016.06.070",""
"recM0Spre5cjj30My","Development and Training of a Neural Controller for Hind Leg Walking in a Dog Robot","strict","XDA3LUST","10.3389/fnbot.2017.00018",""
"recMcpcQFIzyzjnES","Organization of flexor–extensor interactions in the mammalian spinal cord: insights from computational modelling","loose","XECA7KR8","10.1113/JP272437",""
"recMmj8yLv1Uq6pyQ","A biologically based neural system coordinates the joints and legs of a tetrapod","strict","UCXWC7G5","10.1088/1748-3190/10/5/055004",""
"recMtTCxNxZPV7XQt","INTERNEURONAL RELAY IN SPINAL PATHWAYS FROM PROPRIOCEPTORS","strict","IBJGX3D7","10.1016/0301-0082(92)90024-9",""
"recPnDjXSKqOF4BDt","Proprioception and locomotor disorders","strict","RWM9IQHU","10.1038/nrn939",""
"recPoyqO9O9txmwm5","Speed dependency in a-motoneuron activity and locomotor modules in human locomotion: indirect evidence for phylogenetically conserved spinal circuits","adjudicated","PUVMGVWH","10.1098/rspb.2017.0290",""
"recQVHpLsp1C9n2mW","On the Influence of Group III/IV Muscle Afferent Feedback on Endurance Exercise Performance","strict","3PA3EATE","10.1249/JES.0000000000000233",""
"recQd6HSYCeWFpUbu","The spinal control of locomotion and step-to-step variability in left-right symmetry from slow to moderate speeds","strict","UPNR3K6B","10.1152/jn.00419.2015",""
"recQkgW6mi6AezV1b","On the Organization of the Locomotor CPG: Insights From Split-Belt Locomotion and Mathematical Modeling","strict","R7CM72K8","10.3389/fnins.2020.598888","resolved: published version over bioRxiv preprint"
"recQkmqddP5htUGpf","Insect Walking and Biorobotics: A Relationship with Mutual Benefits","strict","XXIATGXX","10.1641/0006-3568(2000)050[0023:IWABAR]2.3.CO;2",""
"recRIvcDW0p0T6DDa","Brainstem Circuits for Locomotion","strict","MY5G7QAY","10.1146/annurev-neuro-082321-025137",""
"recRRXllFjR4hJBVE","Spinal control of muscle synergies for adult mammalian locomotion","strict","QZ5P4NTQ","10.1113/JP277018",""
"recTKRkkbCvTuRqeK","Load-regulating mechanisms in gait and posture: Comparative aspects.","strict","YB3UHSM3","10.1152/physrev.2000.80.1.83",""
"recUQzJIupLCDV5g1","Five basic muscle activation patterns account for muscle activity during human locomotion","adjudicated","HQZAC8XN","10.1113/jphysiol.2003.057174",""
"recV6UpcysNrMaRLB","Human lumbar cord circuitries can be activated by extrinsic tonic input to generate locomotor-like activity","strict","D2DKJCJH","10.1016/j.humov.2007.01.005",""
"recV7qGPJWiTDrPsM","Modelling spinal circuitry involved in locomotor pattern generation: insights from the effects of afferent stimulation","strict","IYMF9ATJ","10.1113/jphysiol.2006.118711",""
"recV8nQBbNyZDolul","Computational modeling of spinal circuits controlling limb coordination and gaits in quadrupeds","strict","N3DFZEXB","10.7554/eLife.31050",""
"recVlk7Kg9rIPLH2v","On the central generation of locomotion in the low spinal cat","strict","F95DLUEW","10.1007/BF00235671",""
"recWXxJaQbUDJd31b","Activity of interneurons mediating reciprocal 1a inhibition during locomotion","strict","25Z45LIN","10.1016/0006-8993(75)90974-9",""
"recWqAJogrnb38985","Neuromechanical Principles Underlying Movement Modularity and Their Implications for Rehabilitation","strict","Q2T5ETAQ","10.1016/j.neuron.2015.02.042",""
