"zotero_key","title","author","year","DOI"
"HBSYUSNN","Biologically based distributed control and local reflexes improve rough terrain locomotion in a hexapod robot","Espenschied et al.","1996","10.1016/0921-8890(96)00003-6"
"8UAJ3AXT","Central pattern generators in the brainstem and spinal cord: an overview of basic principles, similarities and differences.","Steuer and Guertin","2019","10.1515/revneuro-2017-0102"
"XVTZ5QE2","the Spontaneously Locomoting Premammillary Cat Heterogenic Feedback Between Hindlimb Extensors in","Nichols et al.","2013",""
"H3PJ25FK","Hip proprioceptors preferentially modulate reflexes of the leg in human spinal cord injury","Onushko et al.","2013","10.1152/jn.00261.2012"
"NQQQYYMR","Neurobiological Bases of Rhythmic Motor Acts in Vertebrates","Grillner","1985","10.1126/science.3975635"
"MN7M6KV5","Low-threshold, short-latency cutaneous reflexes during fictive locomotion in the ""semi-chronic"" spinal cat.","LaBella et al.","1992","10.1007/bf00231657"
"TYYHQBKQ","Modulation of stretch reflexes during locomotion in the mesencephalic cat","Akazawa et al.","1982","10.1113/jphysiol.1982.sp014319"
"TD542N39","Rare phenomena of central rhythm and pattern generation in a case of complete spinal cord injury","Minassian et al.","2023","10.1038/s41467-023-39034-y"
"KHTZJETR","Evolution and analysis of model CPGs for walking: II. General principles and individual variability.","Beer et al.","1999","10.1023/a:1008920021246"
"24S6U4Q3","The Circuitry of the Human Spinal Cord: Spinal and Corticospinal Mechanisms of Movement","Pierrot-Deseilligny and Burke","2012",""
"ZM98CX8T","Vertebrate Pattern Generation: Overview","Rybak and Ausborn","2022","10.1007/978-1-0716-1006-0_758"
"7V5HW296","Electrophysiological Characterization of V2a Interneurons and Their Locomotor-Related Activity in the Neonatal Mouse Spinal Cord","Zhong et al.","2010","10.1523/jneurosci.4849-09.2010"
"7RMZ97PW","Human Lumbosacral Spinal Cord Interprets Loading During Stepping","Harkema et al.","1997","10.1152/jn.1997.77.2.797"
"7GW5D9U9","The distal hindlimb musculature of the cat. Cutaneous reflexes during locomotion.","Abraham et al.","1985","10.1007/bf00235875"
"4QYFLQ33","Confluence of Active and Passive Control Mechanisms Enabling Autonomy and Terrain Adaptability for Robots in Variable Environments","Harkins et al.","2008","10.1109/wcecs.2008.25"
"4SBPPWE8","Measured motion: searching for simplicity in spinal locomotor networks.","Grillner and Jessell","2009","10.1016/j.conb.2009.10.011"
"H48QS67V","The functional diversity of spinal interneurons and locomotor control","Deska-Gauthier and Zhang","2019","10.1016/j.cophys.2019.01.005"
"RGJPS3NM","Contribution of peripheral afferents to the activation of the soleus muscle during walking in humans.","Yang et al.","1991","10.1007/bf00227094"
"CU7WS5GD","Motor Systems","Donkelaar","2020","10.1007/978-3-030-41878-6_9"
"U4KVP3VD","Ankleextensor groupIafferents excite extensors throughout thehindlimb during fictive locomotion inthecat","Guertin et al.","2011",""
"86B232MR","Control of reflex reversal in stick insect walking: effects of intersegmental signals, changes in direction, and optomotor-induced turning","Hellekes et al.","2012","10.1152/jn.00718.2011"
