TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx	R RG ext IN	R RG flx IN	R RG ext	R RG flx	L c1	R c1	L V3	R V3
46	0.0092	-0.0526831	-0.0591941	-0.0517892	-0.0643833	-0.0581981	-0.0549324	-0.0612018	-0.0550216	-0.0591941	-0.0549324	-0.0527714	-0.0586307
47	0.0094	-0.0526464	-0.0592257	-0.0517469	-0.0644247	-0.0582429	-0.0549024	-0.0612528	-0.0549495	-0.0592257	-0.0549024	-0.0527324	-0.0586843
48	0.0096	-0.0526105	-0.0592561	-0.0517045	-0.0644636	-0.0582858	-0.0548707	-0.0613015	-0.0548764	-0.0592561	-0.0548707	-0.0526942	-0.0587359
49	0.0098	-0.0525754	-0.0592852	-0.0516622	-0.0645004	-0.0583268	-0.0548375	-0.0613479	-0.0548024	-0.0592852	-0.0548375	-0.0526569	-0.0587855
50	0.01	-0.0525411	-0.0593133	-0.0520116	-0.0645351	-0.058366	-0.0548027	-0.0613923	-0.0551179	-0.0593133	-0.0548027	-0.0526203	-0.0588331
51	0.0102	-0.0525224	-0.0593402	-0.0523448	-0.0645695	-0.0584035	-0.054784	-0.061436	-0.0554139	-0.0593402	-0.054784	-0.0525994	-0.0588789
52	0.0104	-0.0525177	-0.0593661	-0.0526629	-0.0646028	-0.0584393	-0.0547798	-0.0614787	-0.055692	-0.0593661	-0.0547798	-0.0525927	-0.0589228
53	0.0106	-0.0525255	-0.0593909	-0.0529666	-0.0646343	-0.0584737	-0.0547883	-0.0615199	-0.0559533	-0.0593909	-0.0547883	-0.0525985	-0.0589651
54	0.0108	-0.0525445	-0.0594148	-0.0532569	-0.0646637	-0.0585067	-0.0548082	-0.0615594	-0.0561991	-0.0594148	-0.0548082	-0.0526156	-0.0590057
55	0.011	-0.0525736	-0.0594378	-0.0535344	-0.0646906	-0.0585385	-0.0548383	-0.0615968	-0.0564304	-0.0594378	-0.0548383	-0.0526429	-0.0590446
56	0.0112	-0.0526116	-0.0594598	-0.0537997	-0.0647146	-0.058569	-0.0548774	-0.0616321	-0.0566481	-0.0594598	-0.0548774	-0.0526793	-0.0590821
57	0.0114	-0.0526578	-0.059481	-0.0540534	-0.0647358	-0.0585985	-0.0549244	-0.061665	-0.056853	-0.059481	-0.0549244	-0.0527238	-0.0591181
58	0.0116	-0.0527112	-0.0595013	-0.0542961	-0.0647538	-0.0586269	-0.0549785	-0.0616955	-0.0570459	-0.0595013	-0.0549785	-0.0527756	-0.0591527
59	0.0118	-0.0527711	-0.0595209	-0.0545283	-0.0647687	-0.0586543	-0.0550388	-0.0617235	-0.0572275	-0.0595209	-0.0550388	-0.0528339	-0.0591859
60	0.012	-0.0528367	-0.0595397	-0.0547503	-0.0647804	-0.0586808	-0.0551047	-0.0617489	-0.0573985	-0.0595397	-0.0551047	-0.0528981	-0.0592178
61	0.0122	-0.0529075	-0.0595577	-0.0549628	-0.064789	-0.0587065	-0.0551753	-0.0617718	-0.0575594	-0.0595577	-0.0551753	-0.0529674	-0.0592485
62	0.0124	-0.0529828	-0.0595751	-0.055166	-0.0647945	-0.0587314	-0.0552502	-0.061792	-0.057711	-0.0595751	-0.0552502	-0.0530414	-0.059278
63	0.0126	-0.0530623	-0.0595917	-0.0553603	-0.0647969	-0.0587556	-0.0553286	-0.0618097	-0.0578536	-0.0595917	-0.0553286	-0.0531195	-0.0593063
64	0.0128	-0.0531453	-0.0596077	-0.0555463	-0.0647963	-0.0587791	-0.0554102	-0.0618248	-0.0579878	-0.0596077	-0.0554102	-0.0532013	-0.0593335
65	0.013	-0.0532314	-0.0596231	-0.0557241	-0.0647928	-0.0588019	-0.0554944	-0.0618375	-0.0581141	-0.0596231	-0.0554944	-0.0532862	-0.0593596
66	0.0132	-0.0533203	-0.0596379	-0.0558942	-0.0647864	-0.0588241	-0.0555808	-0.0618476	-0.058233	-0.0596379	-0.0555808	-0.0533739	-0.0593847
