TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
73	0.0146	-0.0583292	-0.0580275	-0.0577258	-0.0576833	-0.0574758	-0.0593934	-0.0879017	-0.087843	-0.0569759	-0.0568665
74	0.0148	-0.0583224	-0.0580207	-0.0577207	-0.0576755	-0.0574936	-0.0593958	-0.0880188	-0.0879745	-0.0569807	-0.0568748
75	0.015	-0.0583155	-0.0580136	-0.0577158	-0.0576672	-0.0575226	-0.0594005	-0.0881236	-0.088102	-0.0569847	-0.0568821
76	0.0152	-0.0583085	-0.0580062	-0.0577111	-0.0576592	-0.0575504	-0.059405	-0.088217	-0.0882274	-0.0569878	-0.0568882
77	0.0154	-0.0583014	-0.0579987	-0.0577066	-0.0576516	-0.0575772	-0.0594094	-0.0882993	-0.0883505	-0.0569901	-0.0568934
78	0.0156	-0.0582943	-0.0579909	-0.0577023	-0.0576442	-0.0576029	-0.0594135	-0.0883711	-0.0884715	-0.0569916	-0.0568976
79	0.0158	-0.0582872	-0.057983	-0.0576981	-0.0576371	-0.0576276	-0.0594176	-0.0884327	-0.0885901	-0.0569923	-0.0569007
80	0.016	-0.0582801	-0.057975	-0.0576941	-0.0576296	-0.0576628	-0.0594237	-0.0884847	-0.0887065	-0.0569924	-0.0569029
81	0.0162	-0.058273	-0.0579668	-0.0576903	-0.0576223	-0.0576968	-0.0594295	-0.0885276	-0.0888223	-0.0569918	-0.0569041
82	0.0164	-0.0582659	-0.0579585	-0.0576866	-0.0576154	-0.0577293	-0.0594351	-0.0885619	-0.0889374	-0.0569905	-0.0569043
83	0.0166	-0.0582589	-0.0579502	-0.057683	-0.0576087	-0.0577606	-0.0594405	-0.0885879	-0.0890515	-0.0569887	-0.0569036
84	0.0168	-0.058252	-0.0579419	-0.0576796	-0.0576022	-0.0577907	-0.0594457	-0.0886059	-0.0891646	-0.0569862	-0.056902
85	0.017	-0.0582451	-0.0579335	-0.0576763	-0.0575953	-0.0578309	-0.0594527	-0.0886164	-0.0892765	-0.0569833	-0.0568995
86	0.0172	-0.0582383	-0.0579251	-0.0576732	-0.0575886	-0.0578696	-0.0594595	-0.0886199	-0.0893889	-0.0569799	-0.0568961
87	0.0174	-0.0582316	-0.0579167	-0.0576702	-0.0575822	-0.0579067	-0.0594659	-0.0886166	-0.0895014	-0.0569759	-0.0568919
88	0.0176	-0.058225	-0.0579083	-0.0576673	-0.057576	-0.0579424	-0.0594722	-0.0886069	-0.0896139	-0.0569716	-0.0568868
89	0.0178	-0.0582185	-0.0579	-0.0576645	-0.0575701	-0.0579767	-0.0594781	-0.088591	-0.0897261	-0.0569668	-0.0568808
90	0.018	-0.0582122	-0.0578917	-0.0576618	-0.0575636	-0.0580204	-0.0594857	-0.0885694	-0.0898378	-0.0569617	-0.0568741
91	0.0182	-0.0582059	-0.0578835	-0.0576592	-0.0575574	-0.0580624	-0.059493	-0.0885423	-0.0899504	-0.0569562	-0.0568666
92	0.0184	-0.0581997	-0.0578753	-0.0576568	-0.0575514	-0.0581027	-0.0595	-0.0885101	-0.0900638	-0.0569504	-0.0568582
93	0.0186	-0.0581937	-0.0578673	-0.0576544	-0.0575456	-0.0581414	-0.0595067	-0.088473	-0.0901775	-0.0569443	-0.0568492
94	0.0188	-0.0581877	-0.0578593	-0.0576521	-0.0575401	-0.0581787	-0.0595132	-0.0884313	-0.0902913	-0.0569379	-0.0568393
95	0.019	-0.058182	-0.0578514	-0.0576499	-0.057534	-0.0582245	-0.0595211	-0.0883852	-0.090405	-0.0569313	-0.0568288
96	0.0192	-0.0581763	-0.0578437	-0.0576478	-0.0575282	-0.0582686	-0.0595287	-0.088335	-0.0905199	-0.0569244	-0.0568176
97	0.0194	-0.0581707	-0.057836	-0.0576458	-0.0575226	-0.058311	-0.059536	-0.088281	-0.0906358	-0.0569173	-0.0568056
98	0.0196	-0.0581653	-0.0578285	-0.0576438	-0.0575172	-0.0583517	-0.059543	-0.0882233	-0.0907521	-0.05691	-0.056793
99	0.0198	-0.0581599	-0.0578211	-0.0576419	-0.0575121	-0.0583908	-0.0595497	-0.0881623	-0.0908688	-0.0569026	-0.0567798
100	0.02	-0.0581548	-0.0578139	-0.0576401	-0.0575064	-0.0584378	-0.0595578	-0.0880979	-0.0909855	-0.056895	-0.0567659
101	0.0202	-0.0581497	-0.0578068	-0.0576384	-0.0575009	-0.0584829	-0.0595655	-0.0880307	-0.0911034	-0.0568873	-0.0567514
102	0.0204	-0.0581447	-0.0577998	-0.0576368	-0.0574956	-0.0585263	-0.0595729	-0.0879606	-0.0912223	-0.0568794	-0.0567363
103	0.0206	-0.0581398	-0.057793	-0.0576352	-0.0574906	-0.058568	-0.05958	-0.087888	-0.0913417	-0.0568715	-0.0567206
104	0.0208	-0.0581351	-0.0577864	-0.0576336	-0.0574857	-0.058608	-0.0595868	-0.0878128	-0.0914614	-0.0568635	-0.0567043
105	0.021	-0.0581305	-0.0577799	-0.0576322	-0.0574803	-0.0586553	-0.0595948	-0.0877354	-0.0915812	-0.0568554	-0.0566875
106	0.0212	-0.0581259	-0.0577736	-0.0576308	-0.0574751	-0.0587006	-0.0596025	-0.0876559	-0.0917021	-0.0568472	-0.0566702
107	0.0214	-0.0581215	-0.0577674	-0.0576294	-0.0574702	-0.0587442	-0.0596099	-0.0875745	-0.0918238	-0.056839	-0.0566523
108	0.0216	-0.0581171	-0.0577614	-0.0576281	-0.0574654	-0.0587861	-0.059617	-0.0874912	-0.091946	-0.0568307	-0.0566339
109	0.0218	-0.0581129	-0.0577555	-0.0576268	-0.0574608	-0.0588264	-0.0596238	-0.0874063	-0.0920684	-0.0568224	-0.0566151
110	0.022	-0.0581088	-0.0577499	-0.0576256	-0.0574557	-0.0588724	-0.0596316	-0.0873198	-0.0921908	-0.0568141	-0.0565958
111	0.0222	-0.0581047	-0.0577444	-0.0576245	-0.0574508	-0.0589166	-0.0596392	-0.0872319	-0.092314	-0.0568058	-0.056576
112	0.0224	-0.0581008	-0.0577391	-0.0576234	-0.0574461	-0.0589591	-0.0596464	-0.0871428	-0.0924377	-0.0567975	-0.0565558
113	0.0226	-0.0580969	-0.0577339	-0.0576223	-0.0574416	-0.0589999	-0.0596534	-0.0870525	-0.0925617	-0.0567892	-0.0565352
114	0.0228	-0.0580931	-0.0577289	-0.0576213	-0.0574373	-0.0590391	-0.0596601	-0.0869612	-0.0926857	-0.056781	-0.0565141
115	0.023	-0.0580894	-0.0577241	-0.0576203	-0.0574324	-0.0590768	-0.0596677	-0.0868688	-0.0928094	-0.0567727	-0.0564927
116	0.0232	-0.0580858	-0.0577195	-0.0576193	-0.0574278	-0.059113	-0.059675	-0.0867756	-0.0929326	-0.0567645	-0.0564709
117	0.0234	-0.0580822	-0.057715	-0.0576184	-0.0574234	-0.0591478	-0.0596821	-0.0866817	-0.0930551	-0.0567563	-0.0564487
118	0.0236	-0.0580787	-0.0577107	-0.0576175	-0.0574191	-0.0591812	-0.0596888	-0.0865871	-0.0931767	-0.0567482	-0.0564261
119	0.0238	-0.0580753	-0.0577065	-0.0576167	-0.057415	-0.0592133	-0.0596953	-0.086492	-0.0932973	-0.05674	-0.0564032
120	0.024	-0.0580719	-0.0577026	-0.0576159	-0.0574104	-0.0592441	-0.0597027	-0.0863963	-0.0934166	-0.0567319	-0.05638
121	0.0242	-0.0580686	-0.0576988	-0.0576151	-0.0574061	-0.0592738	-0.0597098	-0.0863001	-0.0935346	-0.0567239	-0.0563565
122	0.0244	-0.0580653	-0.0576952	-0.0576144	-0.0574019	-0.0593023	-0.0597165	-0.0862037	-0.0936495	-0.0567159	-0.0563326
