TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
133	0.0266	-0.0606338	-0.0601284	-0.0599982	-0.0599992	-0.0597864	-0.0597622	-0.0830135	-0.0966222	-0.0570264	-0.0557327
134	0.0268	-0.0606361	-0.0601259	-0.0599982	-0.0599992	-0.0597886	-0.0597635	-0.0829051	-0.0966366	-0.0570135	-0.0557068
135	0.027	-0.0606385	-0.0601234	-0.0599982	-0.0599992	-0.0597934	-0.0597645	-0.0827966	-0.0966503	-0.0570005	-0.0556807
136	0.0272	-0.0606409	-0.060121	-0.0599982	-0.0599992	-0.0597979	-0.0597655	-0.0826882	-0.0966633	-0.0569873	-0.0556545
137	0.0274	-0.0606433	-0.0601186	-0.0599982	-0.0599992	-0.0598023	-0.0597664	-0.0825801	-0.0966755	-0.0569741	-0.0556281
138	0.0276	-0.0606457	-0.0601163	-0.0599982	-0.0599992	-0.0598065	-0.0597672	-0.0824722	-0.096687	-0.0569608	-0.0556016
139	0.0278	-0.0606481	-0.060114	-0.0599982	-0.0599992	-0.0598106	-0.0597681	-0.0823646	-0.0966978	-0.0569473	-0.0555751
140	0.028	-0.0606506	-0.0601118	-0.0599982	-0.0599992	-0.059817	-0.0597685	-0.0822573	-0.096708	-0.0569338	-0.0555484
141	0.0282	-0.0606531	-0.0601096	-0.0599982	-0.0599992	-0.0598232	-0.0597689	-0.0821505	-0.0967174	-0.0569202	-0.0555216
142	0.0284	-0.0606556	-0.0601075	-0.0599982	-0.0599992	-0.0598291	-0.0597693	-0.0820442	-0.0967262	-0.0569066	-0.0554947
143	0.0286	-0.0606581	-0.0601055	-0.0599982	-0.0599992	-0.0598348	-0.0597697	-0.0819385	-0.0967342	-0.0568928	-0.0554677
144	0.0288	-0.0606606	-0.0601035	-0.0599982	-0.0599992	-0.0598403	-0.0597701	-0.0818334	-0.0967417	-0.056879	-0.0554407
145	0.029	-0.0606632	-0.0601016	-0.0599982	-0.0599992	-0.0598465	-0.0597701	-0.0817287	-0.0967485	-0.0568651	-0.0554137
