TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
82	0.0164	-0.0580554	-0.058147	-0.0574421	-0.0574421	-0.0541565	-0.0583414	-0.0805566	-0.0930863	-0.0573309	-0.0563955
83	0.0166	-0.0580425	-0.0581383	-0.0574317	-0.0574317	-0.0541844	-0.0583411	-0.080555	-0.0931872	-0.0573369	-0.0563828
84	0.0168	-0.0580296	-0.0581292	-0.0574217	-0.0574217	-0.0542112	-0.0583409	-0.0805486	-0.0932834	-0.0573421	-0.0563694
85	0.017	-0.0580168	-0.0581198	-0.0574104	-0.0574104	-0.0542517	-0.0583425	-0.0805374	-0.093375	-0.0573466	-0.0563555
86	0.0172	-0.058004	-0.0581101	-0.0573996	-0.0573996	-0.0542906	-0.0583441	-0.0805235	-0.0934624	-0.0573504	-0.056341
87	0.0174	-0.0579913	-0.0581	-0.0573892	-0.0573892	-0.054328	-0.0583456	-0.0805067	-0.0935459	-0.0573534	-0.0563259
88	0.0176	-0.0579787	-0.0580896	-0.0573791	-0.0573791	-0.054364	-0.058347	-0.0804869	-0.0936256	-0.0573558	-0.0563103
89	0.0178	-0.0579662	-0.058079	-0.0573695	-0.0573695	-0.0543985	-0.0583484	-0.0804641	-0.0937017	-0.0573576	-0.0562942
90	0.018	-0.0579539	-0.0580681	-0.0573586	-0.0573586	-0.0544453	-0.0583514	-0.080438	-0.0937743	-0.0573587	-0.0562775
91	0.0182	-0.0579417	-0.058057	-0.0573482	-0.0573482	-0.0544903	-0.0583543	-0.0804107	-0.0938439	-0.0573591	-0.0562604
92	0.0184	-0.0579296	-0.0580457	-0.0573381	-0.0573381	-0.0545335	-0.0583571	-0.0803817	-0.0939104	-0.057359	-0.0562429
93	0.0186	-0.0579176	-0.0580341	-0.0573284	-0.0573284	-0.0545751	-0.0583597	-0.080351	-0.0939741	-0.0573583	-0.0562249
94	0.0188	-0.0579058	-0.0580225	-0.0573191	-0.0573191	-0.054615	-0.0583623	-0.0803183	-0.094035	-0.0573571	-0.0562065
95	0.019	-0.0578942	-0.0580106	-0.0573085	-0.0573085	-0.0546658	-0.0583664	-0.0802836	-0.0940934	-0.0573553	-0.0561877
96	0.0192	-0.0578827	-0.0579986	-0.0572984	-0.0572984	-0.0547146	-0.0583704	-0.0802484	-0.0941493	-0.057353	-0.0561686
97	0.0194	-0.0578713	-0.0579865	-0.0572886	-0.0572886	-0.0547614	-0.0583742	-0.0802125	-0.094203	-0.0573502	-0.0561491
98	0.0196	-0.0578601	-0.0579742	-0.0572792	-0.0572792	-0.0548065	-0.0583778	-0.0801756	-0.0942545	-0.0573469	-0.0561292
99	0.0198	-0.0578491	-0.0579618	-0.0572702	-0.0572702	-0.0548498	-0.0583813	-0.0801376	-0.094304	-0.0573431	-0.0561091
100	0.02	-0.0578383	-0.0579494	-0.05726	-0.05726	-0.0549026	-0.0583863	-0.0800982	-0.0943514	-0.0573389	-0.0560886
