TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2593	0.5186	-0.0509581	-0.0939704	-0.0605721	-0.0574432	-0.0576793	-0.062688
2594	0.5188	-0.0509675	-0.0939685	-0.0605701	-0.0574445	-0.0576796	-0.0626864
2595	0.519	-0.0509768	-0.0939666	-0.0605682	-0.0574459	-0.05768	-0.0626848
2596	0.5192	-0.0509861	-0.0939648	-0.0605662	-0.0574472	-0.0576803	-0.0626832
2597	0.5194	-0.0509953	-0.0939629	-0.0605643	-0.0574485	-0.0576806	-0.0626817
2598	0.5196	-0.0510046	-0.0939611	-0.0605624	-0.0574498	-0.0576809	-0.0626801
2599	0.5198	-0.0510137	-0.0939592	-0.0605605	-0.0574512	-0.0576812	-0.0626786
2600	0.52	-0.0510229	-0.0939574	-0.0605586	-0.0574525	-0.0576816	-0.062677
2601	0.5202	-0.051032	-0.0939556	-0.0605567	-0.0574538	-0.0576819	-0.0626755
2602	0.5204	-0.0510411	-0.0939538	-0.0605548	-0.0574551	-0.0576822	-0.062674
2603	0.5206	-0.0510502	-0.093952	-0.0605529	-0.0574564	-0.0576825	-0.0626724
2604	0.5208	-0.0510592	-0.0939502	-0.060551	-0.0574576	-0.0576828	-0.0626709
2605	0.521	-0.0510682	-0.0939484	-0.0605492	-0.0574589	-0.0576831	-0.0626694
2606	0.5212	-0.0510771	-0.0939467	-0.0605473	-0.0574602	-0.0576835	-0.0626679
2607	0.5214	-0.051086	-0.0939449	-0.0605454	-0.0574615	-0.0576838	-0.0626664
2608	0.5216	-0.0510949	-0.0939431	-0.0605436	-0.0574627	-0.0576841	-0.0626649
2609	0.5218	-0.0511038	-0.0939414	-0.0605417	-0.057464	-0.0576844	-0.0626634
2610	0.522	-0.0511126	-0.0939396	-0.0605399	-0.0574653	-0.0576847	-0.0626619
2611	0.5222	-0.0511214	-0.0939379	-0.060538	-0.0574665	-0.057685	-0.0626604
2612	0.5224	-0.0511302	-0.0939362	-0.0605362	-0.0574678	-0.0576853	-0.0626589
2613	0.5226	-0.0511389	-0.0939345	-0.0605344	-0.057469	-0.0576857	-0.0626575
2614	0.5228	-0.0511476	-0.0939327	-0.0605326	-0.0574702	-0.057686	-0.062656
2615	0.523	-0.0511562	-0.093931	-0.0605307	-0.0574715	-0.0576863	-0.0626545
2616	0.5232	-0.0511649	-0.0939293	-0.0605289	-0.0574727	-0.0576866	-0.062653
2617	0.5234	-0.0511734	-0.0939276	-0.0605271	-0.0574739	-0.0576869	-0.0626516
2618	0.5236	-0.051182	-0.093926	-0.0605253	-0.0574751	-0.0576872	-0.0626501
2619	0.5238	-0.0511905	-0.0939243	-0.0605235	-0.0574763	-0.0576875	-0.0626486
2620	0.524	-0.051199	-0.0939226	-0.0605218	-0.0574775	-0.0576878	-0.0626472
2621	0.5242	-0.0512075	-0.093921	-0.06052	-0.0574788	-0.0576882	-0.0626457
2622	0.5244	-0.051216	-0.0939193	-0.0605182	-0.05748	-0.0576885	-0.0626442
2623	0.5246	-0.0512244	-0.0939177	-0.0605164	-0.0574811	-0.0576888	-0.0626428
2624	0.5248	-0.0512327	-0.093916	-0.0605147	-0.0574823	-0.0576891	-0.0626413
2625	0.525	-0.0512411	-0.0939144	-0.0605129	-0.0574835	-0.0576894	-0.0626398
2626	0.5252	-0.0512494	-0.0939128	-0.0605112	-0.0574847	-0.0576897	-0.0626383
2627	0.5254	-0.0512577	-0.0939112	-0.0605094	-0.0574859	-0.05769	-0.0626369
2628	0.5256	-0.0512659	-0.0939096	-0.0605077	-0.057487	-0.0576903	-0.0626354
2629	0.5258	-0.0512741	-0.093908	-0.0605059	-0.0574882	-0.0576906	-0.0626339
2630	0.526	-0.0512823	-0.0939064	-0.0605042	-0.0574894	-0.0576909	-0.0626324
2631	0.5262	-0.0512905	-0.0939048	-0.0605025	-0.0574905	-0.0576912	-0.0626309
2632	0.5264	-0.0512986	-0.0939032	-0.0605008	-0.0574917	-0.0576915	-0.0626293
2633	0.5266	-0.0513067	-0.0939016	-0.0604991	-0.0574928	-0.0576918	-0.0626278
2634	0.5268	-0.0513148	-0.0939001	-0.0604973	-0.057494	-0.0576921	-0.0626263
2635	0.527	-0.0513228	-0.0938985	-0.0604956	-0.0574951	-0.0576924	-0.0626248
2636	0.5272	-0.0513308	-0.093897	-0.0604939	-0.0574963	-0.0576927	-0.0626232
2637	0.5274	-0.0513388	-0.0938955	-0.0604923	-0.0574974	-0.057693	-0.0626216
2638	0.5276	-0.0513468	-0.0938939	-0.0604906	-0.0574985	-0.0576933	-0.0626201
2639	0.5278	-0.0513547	-0.0938924	-0.0604889	-0.0574996	-0.0576936	-0.0626185
2640	0.528	-0.0513626	-0.0938909	-0.0604872	-0.0575008	-0.0576939	-0.0626169
2641	0.5282	-0.0513705	-0.0938894	-0.0604855	-0.0575019	-0.0576942	-0.0626153
2642	0.5284	-0.0513783	-0.0938879	-0.0604839	-0.057503	-0.0576945	-0.0626137
2643	0.5286	-0.0513861	-0.0938864	-0.0604822	-0.0575041	-0.0576948	-0.062612
2644	0.5288	-0.0513939	-0.0938849	-0.0604806	-0.0575052	-0.0576951	-0.0626104
2645	0.529	-0.0514016	-0.0938834	-0.0604789	-0.0575063	-0.0576954	-0.0626087
2646	0.5292	-0.0514094	-0.0938819	-0.0604773	-0.0575074	-0.0576957	-0.0626071
2647	0.5294	-0.051417	-0.0938805	-0.0604756	-0.0575085	-0.057696	-0.0626054
2648	0.5296	-0.0514247	-0.093879	-0.060474	-0.0575096	-0.0576963	-0.0626037
2649	0.5298	-0.0514324	-0.0938776	-0.0604724	-0.0575106	-0.0576966	-0.0626019
2650	0.53	-0.05144	-0.0938761	-0.0604707	-0.0575117	-0.0576968	-0.0626002
2651	0.5302	-0.0514476	-0.0938747	-0.0604691	-0.0575128	-0.0576971	-0.0625984
2652	0.5304	-0.0514551	-0.0938732	-0.0604675	-0.0575139	-0.0576974	-0.0625967
2653	0.5306	-0.0514626	-0.0938718	-0.0604659	-0.0575149	-0.0576977	-0.0625949
2654	0.5308	-0.0514701	-0.0938704	-0.0604643	-0.057516	-0.057698	-0.0625931
2655	0.531	-0.0514776	-0.093869	-0.0604627	-0.0575171	-0.0576982	-0.0625912
2656	0.5312	-0.0514851	-0.0938676	-0.0604611	-0.0575181	-0.0576985	-0.0625894
2657	0.5314	-0.0514925	-0.0938662	-0.0604595	-0.0575192	-0.0576988	-0.0625875
2658	0.5316	-0.0514999	-0.0938648	-0.0604579	-0.0575202	-0.0576991	-0.0625856
2659	0.5318	-0.0515073	-0.0938634	-0.0604563	-0.0575212	-0.0576993	-0.0625837
2660	0.532	-0.0515146	-0.0938621	-0.0604548	-0.0575223	-0.0576996	-0.0625818
2661	0.5322	-0.0515219	-0.0938607	-0.0604532	-0.0575233	-0.0576999	-0.0625799
2662	0.5324	-0.0515292	-0.0938593	-0.0604516	-0.0575243	-0.0577001	-0.0625779
2663	0.5326	-0.0515365	-0.093858	-0.0604501	-0.0575254	-0.0577004	-0.0625759
2664	0.5328	-0.0515437	-0.0938566	-0.0604485	-0.0575264	-0.0577007	-0.0625739
2665	0.533	-0.0515509	-0.0938553	-0.060447	-0.0575274	-0.0577009	-0.0625719
2666	0.5332	-0.0515581	-0.093854	-0.0604454	-0.0575284	-0.0577012	-0.0625699
2667	0.5334	-0.0515653	-0.0938526	-0.0604439	-0.0575294	-0.0577015	-0.0625678
2668	0.5336	-0.0515724	-0.0938513	-0.0604423	-0.0575304	-0.0577017	-0.0625657
2669	0.5338	-0.0515795	-0.09385	-0.0604408	-0.0575315	-0.057702	-0.0625636
2670	0.534	-0.0515869	-0.0938487	-0.0604393	-0.0575325	-0.0577022	-0.0625615
2671	0.5342	-0.0515945	-0.0938474	-0.0604378	-0.0575335	-0.0577025	-0.0625593
2672	0.5344	-0.0516023	-0.0938461	-0.0604362	-0.0575344	-0.0577027	-0.0625571
2673	0.5346	-0.0516102	-0.0938448	-0.0604347	-0.0575354	-0.057703	-0.0625549
2674	0.5348	-0.0516183	-0.0938435	-0.0604332	-0.0575364	-0.0577032	-0.0625527
2675	0.535	-0.0516265	-0.0938423	-0.0604317	-0.0575374	-0.0577034	-0.0625505
2676	0.5352	-0.0516348	-0.093841	-0.0604302	-0.0575384	-0.0577037	-0.0625482
2677	0.5354	-0.0516433	-0.0938397	-0.0604287	-0.0575394	-0.0577039	-0.0625459
2678	0.5356	-0.0516518	-0.0938385	-0.0604272	-0.0575403	-0.0577042	-0.0625436
2679	0.5358	-0.0516604	-0.0938372	-0.0604257	-0.0575413	-0.0577044	-0.0625413
2680	0.536	-0.0516691	-0.0938359	-0.0604242	-0.0575423	-0.0577046	-0.062539
2681	0.5362	-0.0516779	-0.0938347	-0.0604227	-0.0575432	-0.0577049	-0.0625366
2682	0.5364	-0.0516867	-0.0938334	-0.0604213	-0.0575442	-0.0577051	-0.0625342
2683	0.5366	-0.0516955	-0.0938322	-0.0604198	-0.0575451	-0.0577053	-0.0625318
2684	0.5368	-0.0517044	-0.093831	-0.0604183	-0.0575461	-0.0577055	-0.0625293
2685	0.537	-0.0517134	-0.0938297	-0.0604169	-0.057547	-0.0577057	-0.0625269
2686	0.5372	-0.0517224	-0.0938285	-0.0604154	-0.057548	-0.057706	-0.0625244
2687	0.5374	-0.0517314	-0.0938273	-0.0604139	-0.0575489	-0.0577062	-0.0625219
2688	0.5376	-0.0517404	-0.093826	-0.0604125	-0.0575498	-0.0577064	-0.0625193
2689	0.5378	-0.0517495	-0.0938248	-0.060411	-0.0575508	-0.0577066	-0.0625168
2690	0.538	-0.0517586	-0.0938236	-0.0604096	-0.0575517	-0.0577068	-0.0625142
2691	0.5382	-0.0517677	-0.0938224	-0.0604081	-0.0575526	-0.057707	-0.0625116
2692	0.5384	-0.0517768	-0.0938212	-0.0604067	-0.0575536	-0.0577072	-0.062509
2693	0.5386	-0.0517859	-0.09382	-0.0604053	-0.0575545	-0.0577074	-0.0625063
2694	0.5388	-0.051795	-0.0938188	-0.0604038	-0.0575554	-0.0577076	-0.0625037
2695	0.539	-0.0518041	-0.0938176	-0.0604024	-0.0575563	-0.0577078	-0.062501
2696	0.5392	-0.0518133	-0.0938164	-0.060401	-0.0575572	-0.057708	-0.0624982
2697	0.5394	-0.0518224	-0.0938152	-0.0603996	-0.0575581	-0.0577082	-0.0624955
2698	0.5396	-0.0518316	-0.093814	-0.0603982	-0.057559	-0.0577084	-0.0624927
2699	0.5398	-0.0518407	-0.0938128	-0.0603968	-0.0575599	-0.0577085	-0.06249
2700	0.54	-0.0518498	-0.0938116	-0.0603954	-0.0575608	-0.0577087	-0.0624872
2701	0.5402	-0.051859	-0.0938105	-0.060394	-0.0575617	-0.0577089	-0.0624843
2702	0.5404	-0.0518681	-0.0938093	-0.0603926	-0.0575626	-0.0577091	-0.0624815
2703	0.5406	-0.0518773	-0.0938081	-0.0603912	-0.0575635	-0.0577093	-0.0624786
2704	0.5408	-0.0518864	-0.093807	-0.0603898	-0.0575644	-0.0577094	-0.0624757
2705	0.541	-0.0518955	-0.0938058	-0.0603884	-0.0575652	-0.0577096	-0.0624728
