TimeSlice	Time	R Ank ext Ia	R Ank flx Ia	R Ank ext Ia IN	R Ank flx Ia IN	R Ank ext Ib	R Ank flx Ib	R Ank MN flx	R Ank MN ext	R Ank MN flx RE	R Ank MN ext RE
52	0.0104	-0.0599762	-0.0598611	-0.0599993	-0.0599984	-0.0586097	-0.0598222	-0.0831268	-0.0825637	-0.0565021	-0.0565201
53	0.0106	-0.0600126	-0.0599014	-0.0599993	-0.0599984	-0.0586498	-0.0598161	-0.0837184	-0.0830958	-0.0565375	-0.0565529
54	0.0108	-0.0600467	-0.0599394	-0.0599993	-0.0599984	-0.0586883	-0.0598103	-0.0842826	-0.0836054	-0.0565719	-0.0565847
55	0.011	-0.0600787	-0.0599754	-0.0599993	-0.0599984	-0.0587308	-0.0598046	-0.0848222	-0.0840936	-0.0566054	-0.0566153
56	0.0112	-0.0601087	-0.0600096	-0.0599993	-0.0599984	-0.0587717	-0.0597991	-0.0853384	-0.0845622	-0.0566378	-0.0566448
57	0.0114	-0.0601369	-0.060042	-0.0599993	-0.0599984	-0.0588109	-0.0597938	-0.0858321	-0.0850126	-0.0566692	-0.0566732
58	0.0116	-0.0601636	-0.0600727	-0.0599993	-0.0599984	-0.0588486	-0.0597887	-0.0863044	-0.0854471	-0.0566996	-0.0567005
59	0.0118	-0.0601889	-0.0601019	-0.0599993	-0.0599984	-0.0588848	-0.0597838	-0.0867562	-0.0858663	-0.0567289	-0.0567267
60	0.012	-0.0602129	-0.0601295	-0.0599993	-0.0599984	-0.058924	-0.059779	-0.0871885	-0.0862708	-0.0567572	-0.0567518
61	0.0122	-0.0602356	-0.0601556	-0.0599993	-0.0599984	-0.0589616	-0.0597743	-0.087602	-0.0866615	-0.0567844	-0.0567759
62	0.0124	-0.0602572	-0.0601804	-0.0599993	-0.0599984	-0.0589977	-0.0597699	-0.0879975	-0.0870389	-0.0568106	-0.0567989
63	0.0126	-0.0602776	-0.0602039	-0.0599993	-0.0599984	-0.0590325	-0.0597656	-0.088376	-0.0874036	-0.0568358	-0.0568209
64	0.0128	-0.0602969	-0.0602262	-0.0599993	-0.0599984	-0.0590659	-0.0597615	-0.0887381	-0.0877559	-0.0568599	-0.0568419
65	0.013	-0.0603153	-0.0602473	-0.0599993	-0.0599984	-0.0591014	-0.0597574	-0.0890846	-0.0880963	-0.0568829	-0.0568619
66	0.0132	-0.0603326	-0.0602672	-0.0599992	-0.0599984	-0.0591356	-0.0597535	-0.0894161	-0.0884255	-0.056905	-0.0568809
67	0.0134	-0.0603491	-0.0602862	-0.0599992	-0.0599984	-0.0591684	-0.0597498	-0.0897333	-0.0887439	-0.056926	-0.0568989
68	0.0136	-0.0603646	-0.0603041	-0.0599992	-0.0599984	-0.0591999	-0.0597462	-0.0900367	-0.0890519	-0.0569459	-0.0569161
69	0.0138	-0.0603794	-0.0603211	-0.0599992	-0.0599984	-0.0592302	-0.0597427	-0.090327	-0.0893499	-0.0569649	-0.0569323
70	0.014	-0.0603934	-0.0603372	-0.0599992	-0.0599984	-0.0592604	-0.0597393	-0.0906048	-0.089638	-0.0569829	-0.0569475
71	0.0142	-0.0604067	-0.0603524	-0.0599992	-0.0599984	-0.0592894	-0.059736	-0.0908706	-0.0899169	-0.0569999	-0.056962
72	0.0144	-0.0604192	-0.0603668	-0.0599992	-0.0599984	-0.0593173	-0.0597328	-0.0911249	-0.0901867	-0.0570159	-0.0569755
73	0.0146	-0.0604311	-0.0603805	-0.0599992	-0.0599983	-0.059344	-0.0597298	-0.0913682	-0.0904479	-0.0570309	-0.0569882
74	0.0148	-0.0604424	-0.0603935	-0.0599992	-0.0599983	-0.0593698	-0.0597269	-0.0916009	-0.0907005	-0.057045	-0.0570001
75	0.015	-0.0604531	-0.0604058	-0.0599992	-0.0599983	-0.0593945	-0.059724	-0.0918236	-0.090945	-0.0570581	-0.0570112
76	0.0152	-0.0604632	-0.0604174	-0.0599992	-0.0599983	-0.0594182	-0.0597213	-0.0920366	-0.0911816	-0.0570704	-0.0570215
77	0.0154	-0.0604729	-0.0604285	-0.0599992	-0.0599983	-0.059441	-0.0597186	-0.0922404	-0.0914104	-0.0570817	-0.057031
78	0.0156	-0.060482	-0.0604389	-0.0599992	-0.0599983	-0.0594629	-0.0597161	-0.0924354	-0.0916319	-0.0570921	-0.0570397
79	0.0158	-0.0604907	-0.0604489	-0.0599992	-0.0599983	-0.059484	-0.0597136	-0.0926218	-0.0918461	-0.0571017	-0.0570477
80	0.016	-0.0604989	-0.0604583	-0.0599992	-0.0599983	-0.0595042	-0.0597114	-0.0928001	-0.0920534	-0.0571104	-0.057055
81	0.0162	-0.0605067	-0.0604672	-0.0599992	-0.0599983	-0.0595237	-0.0597093	-0.0929707	-0.0922539	-0.0571182	-0.0570616
82	0.0164	-0.0605141	-0.0604757	-0.0599992	-0.0599983	-0.0595424	-0.0597072	-0.0931339	-0.0924479	-0.0571253	-0.0570675
83	0.0166	-0.0605212	-0.0604838	-0.0599992	-0.0599983	-0.0595603	-0.0597052	-0.0932899	-0.0926355	-0.0571315	-0.0570728
84	0.0168	-0.0605279	-0.0604915	-0.0599992	-0.0599983	-0.0595775	-0.0597033	-0.0934391	-0.092817	-0.0571369	-0.0570774
85	0.017	-0.0605343	-0.0604988	-0.0599992	-0.0599983	-0.0595941	-0.0597017	-0.0935818	-0.0929925	-0.0571415	-0.0570813
86	0.0172	-0.0605403	-0.0605057	-0.0599992	-0.0599983	-0.05961	-0.0597002	-0.0937183	-0.0931623	-0.0571454	-0.0570846
87	0.0174	-0.0605461	-0.0605124	-0.0599992	-0.0599983	-0.0596253	-0.0596988	-0.0938488	-0.0933264	-0.0571486	-0.0570873
88	0.0176	-0.0605517	-0.0605187	-0.0599992	-0.0599983	-0.05964	-0.0596974	-0.0939736	-0.0934851	-0.057151	-0.0570894
89	0.0178	-0.0605569	-0.0605247	-0.0599992	-0.0599983	-0.0596541	-0.0596961	-0.094093	-0.0936385	-0.0571527	-0.0570909
90	0.018	-0.060562	-0.0605305	-0.0599992	-0.0599983	-0.0596677	-0.0596953	-0.094207	-0.0937868	-0.0571537	-0.0570919
91	0.0182	-0.0605668	-0.060536	-0.0599992	-0.0599983	-0.0596807	-0.0596946	-0.0943161	-0.0939302	-0.057154	-0.0570923
92	0.0184	-0.0605714	-0.0605413	-0.0599992	-0.0599983	-0.0596932	-0.0596939	-0.0944205	-0.0940688	-0.0571536	-0.0570921
93	0.0186	-0.0605758	-0.0605464	-0.0599992	-0.0599983	-0.0597053	-0.0596932	-0.0945203	-0.0942027	-0.0571526	-0.0570915
94	0.0188	-0.0605801	-0.0605512	-0.0599992	-0.0599983	-0.0597168	-0.0596925	-0.0946157	-0.0943321	-0.057151	-0.0570903
95	0.019	-0.0605841	-0.0605559	-0.0599992	-0.0599983	-0.0597277	-0.0596926	-0.0947069	-0.0944571	-0.0571488	-0.0570886
96	0.0192	-0.060588	-0.0605604	-0.0599992	-0.0599983	-0.0597382	-0.0596926	-0.0947942	-0.0945778	-0.057146	-0.0570864
97	0.0194	-0.0605918	-0.0605647	-0.0599992	-0.0599983	-0.0597482	-0.0596927	-0.0948777	-0.0946944	-0.0571425	-0.0570838
98	0.0196	-0.0605955	-0.0605689	-0.0599992	-0.0599983	-0.0597579	-0.0596928	-0.0949576	-0.094807	-0.0571386	-0.0570806
99	0.0198	-0.060599	-0.0605729	-0.0599992	-0.0599983	-0.0597672	-0.0596928	-0.095034	-0.0949157	-0.057134	-0.0570771
100	0.02	-0.0606024	-0.0605768	-0.0599992	-0.0599983	-0.0597727	-0.0596938	-0.0951071	-0.0950207	-0.057129	-0.0570731
101	0.0202	-0.0606057	-0.0605806	-0.0599992	-0.0599983	-0.0597779	-0.0596947	-0.095177	-0.0951216	-0.0571234	-0.0570686
102	0.0204	-0.0606089	-0.0605843	-0.0599992	-0.0599983	-0.059783	-0.0596956	-0.0952441	-0.0952187	-0.0571173	-0.0570637
103	0.0206	-0.060612	-0.0605879	-0.0599992	-0.0599983	-0.0597879	-0.0596964	-0.0953082	-0.095312	-0.0571107	-0.0570585
104	0.0208	-0.060615	-0.0605914	-0.0599992	-0.0599983	-0.0597925	-0.0596972	-0.0953696	-0.0954018	-0.0571037	-0.0570528
105	0.021	-0.0606179	-0.0605943	-0.0599992	-0.0599983	-0.0597937	-0.0596989	-0.0954179	-0.0954881	-0.0570961	-0.0570467
106	0.0212	-0.0606208	-0.0605966	-0.0599992	-0.0599983	-0.0597949	-0.0597005	-0.0954525	-0.0955707	-0.0570881	-0.0570402
107	0.0214	-0.0606236	-0.0605983	-0.0599992	-0.0599983	-0.059796	-0.0597021	-0.0954739	-0.0956497	-0.0570796	-0.0570334
108	0.0216	-0.0606264	-0.0605995	-0.0599992	-0.0599983	-0.059797	-0.0597036	-0.0954829	-0.0957254	-0.0570706	-0.0570262
109	0.0218	-0.0606291	-0.0606001	-0.0599992	-0.0599983	-0.059798	-0.059705	-0.0954798	-0.0957977	-0.057061	-0.0570186
110	0.022	-0.0606318	-0.0606002	-0.0599992	-0.0599983	-0.0597965	-0.0597071	-0.0954652	-0.095867	-0.0570508	-0.0570107
111	0.0222	-0.0606344	-0.0605999	-0.0599992	-0.0599983	-0.0597951	-0.0597092	-0.0954398	-0.0959329	-0.05704	-0.0570025
