TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
12375	2.475	-0.0556027	-0.0599546	-0.0559277	-0.0614094
12376	2.4752	-0.0555796	-0.0599564	-0.0559098	-0.0614267
12377	2.4754	-0.0555568	-0.0599581	-0.0558922	-0.0614438
12378	2.4756	-0.0555343	-0.0599597	-0.055875	-0.0614606
12379	2.4758	-0.0555122	-0.0599613	-0.0558582	-0.0614772
12380	2.476	-0.0554905	-0.0599628	-0.0558416	-0.0614937
12381	2.4762	-0.0554691	-0.0599643	-0.0558254	-0.0615098
12382	2.4764	-0.055448	-0.0599657	-0.0558095	-0.0615258
12383	2.4766	-0.0554272	-0.059967	-0.055794	-0.0615415
12384	2.4768	-0.0554068	-0.0599683	-0.0557788	-0.0615571
12385	2.477	-0.0553868	-0.0599696	-0.055764	-0.0615723
12386	2.4772	-0.0553671	-0.0599708	-0.0557495	-0.0615874
12387	2.4774	-0.0553477	-0.0599719	-0.0557353	-0.0616022
12388	2.4776	-0.0553287	-0.059973	-0.0557214	-0.0616168
12389	2.4778	-0.05531	-0.0599741	-0.0557079	-0.0616312
12390	2.478	-0.0552916	-0.0599751	-0.0556948	-0.0616453
12391	2.4782	-0.0552736	-0.0599761	-0.0556819	-0.0616592
12392	2.4784	-0.0552559	-0.059977	-0.0556694	-0.0616729
12393	2.4786	-0.0552386	-0.0599779	-0.0556573	-0.0616863
12394	2.4788	-0.0552216	-0.0599788	-0.0556455	-0.0616995
12395	2.479	-0.055205	-0.0599796	-0.055634	-0.0617125
12396	2.4792	-0.0551886	-0.0599804	-0.0556228	-0.0617253
12397	2.4794	-0.0551727	-0.0599812	-0.055612	-0.0617378
12398	2.4796	-0.055157	-0.0599819	-0.0556015	-0.0617501
12399	2.4798	-0.0551417	-0.0599826	-0.0555913	-0.0617621
12400	2.48	-0.0551267	-0.0599833	-0.0555814	-0.061774
12401	2.4802	-0.055112	-0.059984	-0.0555719	-0.0617856
12402	2.4804	-0.0550977	-0.0599846	-0.0555627	-0.061797
12403	2.4806	-0.0550837	-0.0599852	-0.0555539	-0.0618081
12404	2.4808	-0.05507	-0.0599858	-0.0555453	-0.0618191
12405	2.481	-0.0550567	-0.0599863	-0.0555371	-0.0618298
12406	2.4812	-0.0550437	-0.0599869	-0.0555292	-0.0618403
12407	2.4814	-0.055031	-0.0599874	-0.0555216	-0.0618506
12408	2.4816	-0.0550186	-0.0599879	-0.0555144	-0.0618606
12409	2.4818	-0.0550065	-0.0599883	-0.0555074	-0.0618704
12410	2.482	-0.0549948	-0.0599888	-0.0555008	-0.0618801
12411	2.4822	-0.0549833	-0.0599892	-0.0554945	-0.0618895
12412	2.4824	-0.0549722	-0.0599897	-0.0554885	-0.0618987
12413	2.4826	-0.0549614	-0.0599901	-0.0554828	-0.0619076
12414	2.4828	-0.0549509	-0.0599905	-0.0554774	-0.0619164
12415	2.483	-0.0549407	-0.0599908	-0.0554723	-0.061925
12416	2.4832	-0.0549308	-0.0599912	-0.0554675	-0.0619333
12417	2.4834	-0.0549212	-0.0599915	-0.055463	-0.0619415
12418	2.4836	-0.054912	-0.0599919	-0.0554589	-0.0619494
12419	2.4838	-0.054903	-0.0599922	-0.055455	-0.0619572
12420	2.484	-0.0548943	-0.0599925	-0.0554514	-0.0619647
12421	2.4842	-0.0548859	-0.0599928	-0.0554481	-0.061972
12422	2.4844	-0.0548778	-0.0599931	-0.0554451	-0.0619792
12423	2.4846	-0.05487	-0.0599933	-0.0554424	-0.0619861
12424	2.4848	-0.0548625	-0.0599936	-0.05544	-0.0619929
12425	2.485	-0.0548553	-0.0599939	-0.0554379	-0.0619994
12426	2.4852	-0.0548483	-0.0599941	-0.0554361	-0.0620058
12427	2.4854	-0.0548417	-0.0599943	-0.0554345	-0.062012
12428	2.4856	-0.0548353	-0.0599946	-0.0554332	-0.062018
12429	2.4858	-0.0548292	-0.0599948	-0.0554322	-0.0620238
12430	2.486	-0.0548234	-0.059995	-0.0554315	-0.0620294
12431	2.4862	-0.0548179	-0.0599952	-0.055431	-0.0620348
12432	2.4864	-0.0548126	-0.0599954	-0.0554308	-0.0620401
12433	2.4866	-0.0548076	-0.0599955	-0.0554309	-0.0620452
12434	2.4868	-0.0548028	-0.0599957	-0.0554312	-0.0620501
12435	2.487	-0.0547984	-0.0599959	-0.0554318	-0.0620548
12436	2.4872	-0.0547942	-0.059996	-0.0554327	-0.0620594
12437	2.4874	-0.0547902	-0.0599962	-0.0554338	-0.0620637
12438	2.4876	-0.0547865	-0.0599963	-0.0554351	-0.0620679
12439	2.4878	-0.0547831	-0.0599965	-0.0554367	-0.062072
12440	2.488	-0.0547799	-0.0599966	-0.0554386	-0.0620759
12441	2.4882	-0.054777	-0.0599968	-0.0554407	-0.0620796
12442	2.4884	-0.0547743	-0.0599969	-0.055443	-0.0620831
12443	2.4886	-0.0547719	-0.059997	-0.0554456	-0.0620865
12444	2.4888	-0.0547697	-0.0599971	-0.0554484	-0.0620897
12445	2.489	-0.0547678	-0.0599972	-0.0554514	-0.0620928
12446	2.4892	-0.0547661	-0.0599973	-0.0554547	-0.0620957
12447	2.4894	-0.0547646	-0.0599975	-0.0554582	-0.0620985
12448	2.4896	-0.0547634	-0.0599976	-0.0554619	-0.062101
12449	2.4898	-0.0547624	-0.0599976	-0.0554658	-0.0621035
12450	2.49	-0.0547616	-0.0599977	-0.0554699	-0.0621058
12451	2.4902	-0.0547611	-0.0599978	-0.0554743	-0.0621079
12452	2.4904	-0.0547608	-0.0599979	-0.0554788	-0.0621099
12453	2.4906	-0.0547607	-0.059998	-0.0554836	-0.0621118
12454	2.4908	-0.0547608	-0.0599981	-0.0554886	-0.0621135
12455	2.491	-0.0547611	-0.0599982	-0.0554937	-0.0621151
12456	2.4912	-0.0547617	-0.0599982	-0.0554991	-0.0621165
12457	2.4914	-0.0547625	-0.0599983	-0.0555046	-0.0621178
12458	2.4916	-0.0547635	-0.0599984	-0.0555104	-0.0621189
12459	2.4918	-0.0547646	-0.0599984	-0.0555163	-0.06212
12460	2.492	-0.054766	-0.0599985	-0.0555224	-0.0621208
12461	2.4922	-0.0547676	-0.0599985	-0.0555286	-0.0621216
12462	2.4924	-0.0547694	-0.0599986	-0.0555351	-0.0621222
12463	2.4926	-0.0547714	-0.0599987	-0.0555417	-0.0621227
12464	2.4928	-0.0547736	-0.0599987	-0.0555485	-0.062123
12465	2.493	-0.054776	-0.0599988	-0.0555555	-0.0621233
12466	2.4932	-0.0547785	-0.0599988	-0.0555626	-0.0621234
12467	2.4934	-0.0547813	-0.0599989	-0.0555698	-0.0621234
12468	2.4936	-0.0547842	-0.0599989	-0.0555772	-0.0621232
12469	2.4938	-0.0547874	-0.0599989	-0.0555848	-0.062123
12470	2.494	-0.0547907	-0.059999	-0.0555925	-0.0621226
12471	2.4942	-0.0547941	-0.059999	-0.0556004	-0.0621221
12472	2.4944	-0.0547978	-0.0599991	-0.0556084	-0.0621214
12473	2.4946	-0.0548016	-0.0599991	-0.0556165	-0.0621207
12474	2.4948	-0.0548056	-0.0599991	-0.0556248	-0.0621199
12475	2.495	-0.0548097	-0.0599992	-0.0556332	-0.0621189
12476	2.4952	-0.054814	-0.0599992	-0.0556417	-0.0621178
12477	2.4954	-0.0548185	-0.0599992	-0.0556503	-0.0621166
12478	2.4956	-0.0548231	-0.0599993	-0.0556591	-0.0621154
12479	2.4958	-0.0548279	-0.0599993	-0.0556679	-0.062114
12480	2.496	-0.0548329	-0.0599993	-0.0556769	-0.0621124
12481	2.4962	-0.054838	-0.0599993	-0.055686	-0.0621108
12482	2.4964	-0.0548432	-0.0599994	-0.0556952	-0.0621091
12483	2.4966	-0.0548486	-0.0599994	-0.0557045	-0.0621073
12484	2.4968	-0.0548541	-0.0599994	-0.0557139	-0.0621054
12485	2.497	-0.0548598	-0.0599994	-0.0557234	-0.0621034
12486	2.4972	-0.0548656	-0.0599995	-0.055733	-0.0621013
12487	2.4974	-0.0548715	-0.0599995	-0.0557426	-0.0620991
12488	2.4976	-0.0548776	-0.0599995	-0.0557524	-0.0620968
12489	2.4978	-0.0548838	-0.0599995	-0.0557622	-0.0620944
12490	2.498	-0.0548901	-0.0599995	-0.0557721	-0.0620919
12491	2.4982	-0.0548965	-0.0599996	-0.0557821	-0.0620893
12492	2.4984	-0.0549031	-0.0599996	-0.0557921	-0.0620866
12493	2.4986	-0.0549098	-0.0599996	-0.0558023	-0.0620838
12494	2.4988	-0.0549166	-0.0599996	-0.0558125	-0.062081
12495	2.499	-0.0549235	-0.0599996	-0.0558227	-0.0620781
12496	2.4992	-0.0549305	-0.0599996	-0.055833	-0.062075
12497	2.4994	-0.0549376	-0.0599997	-0.0558434	-0.0620719
12498	2.4996	-0.0549448	-0.0599997	-0.0558538	-0.0620687
12499	2.4998	-0.0549522	-0.0599997	-0.0558643	-0.0620655
12500	2.5	-0.0549596	-0.0599997	-0.0558748	-0.0620621
12501	2.5002	-0.0549672	-0.0599997	-0.0558854	-0.0620587
12502	2.5004	-0.0549748	-0.0599997	-0.055896	-0.0620552
12503	2.5006	-0.0549825	-0.0599997	-0.0559066	-0.0620516
12504	2.5008	-0.0549903	-0.0599997	-0.0559173	-0.0620479
12505	2.501	-0.0549982	-0.0599997	-0.055928	-0.0620442
12506	2.5012	-0.0550062	-0.0599998	-0.0559388	-0.0620404
12507	2.5014	-0.0550143	-0.0599998	-0.0559495	-0.0620365
12508	2.5016	-0.0550224	-0.0599998	-0.0559603	-0.0620326
12509	2.5018	-0.0550306	-0.0599998	-0.0559712	-0.0620286
12510	2.502	-0.055039	-0.0599998	-0.055982	-0.0620245
12511	2.5022	-0.0550473	-0.0599998	-0.0559929	-0.0620203
12512	2.5024	-0.0550558	-0.0599998	-0.0560037	-0.0620161
12513	2.5026	-0.0550643	-0.0599998	-0.0560146	-0.0620118
12514	2.5028	-0.0550729	-0.0599998	-0.0560255	-0.0620075
12515	2.503	-0.0550815	-0.0599998	-0.0560364	-0.0620031
12516	2.5032	-0.0550902	-0.0599998	-0.0560474	-0.0619986
12517	2.5034	-0.055099	-0.0599998	-0.0560583	-0.0619941
12518	2.5036	-0.0551078	-0.0599998	-0.0560692	-0.0619895
12519	2.5038	-0.0551167	-0.0599999	-0.0560801	-0.0619848
12520	2.504	-0.0551256	-0.0599999	-0.0560911	-0.0619801
12521	2.5042	-0.0551346	-0.0599999	-0.056102	-0.0619754
12522	2.5044	-0.0551437	-0.0599999	-0.0561129	-0.0619706
12523	2.5046	-0.0551527	-0.0599999	-0.0561238	-0.0619657
12524	2.5048	-0.0551619	-0.0599999	-0.0561347	-0.0619608
12525	2.505	-0.055171	-0.0599999	-0.0561456	-0.0619558
