TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
110	0.022	-0.0597162	-0.0598893	-0.059823	-0.0601307
111	0.0222	-0.0597165	-0.0598937	-0.0598191	-0.0601222
112	0.0224	-0.0597167	-0.0598978	-0.0598152	-0.060114
113	0.0226	-0.0597166	-0.0599018	-0.0598113	-0.060106
114	0.0228	-0.0597162	-0.0599057	-0.0598074	-0.0600982
115	0.023	-0.0597157	-0.0599094	-0.0598036	-0.0600906
116	0.0232	-0.0597149	-0.0599129	-0.0597997	-0.0600832
117	0.0234	-0.0597139	-0.0599164	-0.0597958	-0.060076
118	0.0236	-0.0597127	-0.0599196	-0.0597919	-0.0600691
119	0.0238	-0.0597113	-0.0599228	-0.0597881	-0.0600623
120	0.024	-0.0597098	-0.0599258	-0.0597842	-0.0600558
121	0.0242	-0.0597081	-0.0599287	-0.0597803	-0.0600495
122	0.0244	-0.0597062	-0.0599315	-0.0597765	-0.0600433
123	0.0246	-0.0597041	-0.0599342	-0.0597727	-0.0600374
124	0.0248	-0.059702	-0.0599368	-0.0597688	-0.0600317
125	0.025	-0.0596996	-0.0599393	-0.059765	-0.0600262
126	0.0252	-0.0596971	-0.0599416	-0.0597612	-0.0600208
127	0.0254	-0.0596945	-0.0599439	-0.0597574	-0.0600157
128	0.0256	-0.0596918	-0.0599461	-0.0597537	-0.0600107
129	0.0258	-0.0596889	-0.0599482	-0.0597499	-0.0600059
130	0.026	-0.059686	-0.0599503	-0.0597461	-0.0600013
131	0.0262	-0.0596829	-0.0599522	-0.0597424	-0.0599969
132	0.0264	-0.0596797	-0.0599539	-0.0597386	-0.0599926
133	0.0266	-0.0596764	-0.0599553	-0.0597349	-0.0599886
134	0.0268	-0.0596731	-0.0599563	-0.0597312	-0.0599846
135	0.027	-0.0596696	-0.0599571	-0.0597276	-0.0599809
136	0.0272	-0.0596661	-0.0599576	-0.059724	-0.0599773
137	0.0274	-0.0596624	-0.0599579	-0.0597204	-0.0599739
138	0.0276	-0.0596587	-0.0599579	-0.0597169	-0.0599706
139	0.0278	-0.059655	-0.0599578	-0.0597134	-0.0599675
140	0.028	-0.0596512	-0.0599574	-0.05971	-0.0599645
141	0.0282	-0.0596473	-0.0599569	-0.0597066	-0.0599617
142	0.0284	-0.0596434	-0.0599562	-0.0597033	-0.059959
143	0.0286	-0.0596394	-0.0599554	-0.0597001	-0.0599565
144	0.0288	-0.0596354	-0.0599545	-0.0596969	-0.0599541
145	0.029	-0.0596314	-0.0599535	-0.0596938	-0.0599518
146	0.0292	-0.0596273	-0.0599523	-0.0596908	-0.0599496
147	0.0294	-0.0596232	-0.0599511	-0.0596878	-0.0599476
148	0.0296	-0.0596191	-0.0599498	-0.0596849	-0.0599457
149	0.0298	-0.059615	-0.0599484	-0.059682	-0.0599438
150	0.03	-0.0596109	-0.059947	-0.0596792	-0.0599422
151	0.0302	-0.0596068	-0.0599455	-0.0596765	-0.0599406
152	0.0304	-0.0596027	-0.059944	-0.0596739	-0.0599391
153	0.0306	-0.0595986	-0.0599425	-0.0596713	-0.0599377
154	0.0308	-0.0595945	-0.0599409	-0.0596687	-0.0599364
155	0.031	-0.0595904	-0.0599393	-0.0596662	-0.0599352
156	0.0312	-0.0595863	-0.0599377	-0.0596638	-0.0599341
157	0.0314	-0.0595823	-0.0599361	-0.0596614	-0.0599331
158	0.0316	-0.0595782	-0.0599345	-0.0596591	-0.0599322
159	0.0318	-0.0595742	-0.0599329	-0.0596568	-0.0599313
160	0.032	-0.0595702	-0.0599313	-0.0596545	-0.0599305
161	0.0322	-0.0595663	-0.0599297	-0.0596523	-0.0599298
162	0.0324	-0.0595623	-0.0599282	-0.0596502	-0.0599291
163	0.0326	-0.0595584	-0.0599267	-0.0596481	-0.0599286
164	0.0328	-0.0595545	-0.0599252	-0.059646	-0.059928
165	0.033	-0.0595507	-0.0599237	-0.0596439	-0.0599276
166	0.0332	-0.0595469	-0.0599222	-0.0596419	-0.0599272
167	0.0334	-0.0595431	-0.0599208	-0.0596399	-0.0599268
168	0.0336	-0.0595393	-0.0599194	-0.059638	-0.0599265
169	0.0338	-0.0595356	-0.0599181	-0.0596361	-0.0599262
170	0.034	-0.0595319	-0.0599168	-0.0596341	-0.059926
171	0.0342	-0.0595283	-0.0599155	-0.0596323	-0.0599259
172	0.0344	-0.0595246	-0.0599142	-0.0596304	-0.0599257
173	0.0346	-0.0595211	-0.0599131	-0.0596285	-0.0599256
174	0.0348	-0.0595175	-0.0599119	-0.0596267	-0.0599255
175	0.035	-0.059514	-0.0599108	-0.0596249	-0.0599255
176	0.0352	-0.0595105	-0.0599097	-0.0596231	-0.0599255
177	0.0354	-0.0595071	-0.0599087	-0.0596213	-0.0599255
178	0.0356	-0.0595036	-0.0599077	-0.0596195	-0.0599256
179	0.0358	-0.0595002	-0.0599068	-0.0596177	-0.0599257
180	0.036	-0.0594969	-0.0599059	-0.0596159	-0.0599258
181	0.0362	-0.0594935	-0.059905	-0.0596141	-0.0599259
182	0.0364	-0.0594902	-0.0599042	-0.0596124	-0.059926
183	0.0366	-0.059487	-0.0599034	-0.0596106	-0.0599262
184	0.0368	-0.0594837	-0.0599027	-0.0596088	-0.0599263
185	0.037	-0.0594805	-0.059902	-0.059607	-0.0599265
186	0.0372	-0.0594773	-0.0599013	-0.0596052	-0.0599267
187	0.0374	-0.0594741	-0.0599007	-0.0596035	-0.0599269
188	0.0376	-0.0594709	-0.0599001	-0.0596017	-0.0599272
189	0.0378	-0.0594678	-0.0598996	-0.0595999	-0.0599274
190	0.038	-0.0594647	-0.0598991	-0.0595981	-0.0599277
191	0.0382	-0.0594616	-0.0598986	-0.0595963	-0.0599279
192	0.0384	-0.0594585	-0.0598981	-0.0595945	-0.0599282
193	0.0386	-0.0594554	-0.0598977	-0.0595926	-0.0599284
194	0.0388	-0.0594524	-0.0598974	-0.0595908	-0.0599287
195	0.039	-0.0594493	-0.059897	-0.059589	-0.059929
196	0.0392	-0.0594463	-0.0598967	-0.0595871	-0.0599293
197	0.0394	-0.0594433	-0.0598964	-0.0595853	-0.0599296
198	0.0396	-0.0594403	-0.0598962	-0.0595834	-0.0599299
199	0.0398	-0.0594373	-0.0598959	-0.0595815	-0.0599302
200	0.04	-0.0594343	-0.0598957	-0.0595796	-0.0599305
201	0.0402	-0.0594313	-0.0598956	-0.0595777	-0.0599308
202	0.0404	-0.0594284	-0.0598954	-0.0595758	-0.0599311
203	0.0406	-0.0594254	-0.0598953	-0.0595739	-0.0599314
204	0.0408	-0.0594224	-0.0598952	-0.0595719	-0.0599317
205	0.041	-0.0594195	-0.0598951	-0.05957	-0.0599321
206	0.0412	-0.0594165	-0.0598951	-0.059568	-0.0599324
207	0.0414	-0.0594136	-0.059895	-0.059566	-0.0599327
208	0.0416	-0.0594106	-0.059895	-0.059564	-0.059933
209	0.0418	-0.0594077	-0.0598951	-0.059562	-0.0599334
210	0.042	-0.0594047	-0.0598951	-0.05956	-0.0599337
211	0.0422	-0.0594018	-0.0598951	-0.0595579	-0.059934
212	0.0424	-0.0593988	-0.0598952	-0.0595559	-0.0599344
213	0.0426	-0.0593958	-0.0598953	-0.0595538	-0.0599347
214	0.0428	-0.0593929	-0.0598954	-0.0595517	-0.059935
215	0.043	-0.0593899	-0.0598955	-0.0595496	-0.0599354
216	0.0432	-0.0593869	-0.0598957	-0.0595475	-0.0599357
217	0.0434	-0.059384	-0.0598958	-0.0595454	-0.0599361
218	0.0436	-0.059381	-0.059896	-0.0595433	-0.0599364
219	0.0438	-0.059378	-0.0598962	-0.0595411	-0.0599368
220	0.044	-0.059375	-0.0598964	-0.059539	-0.0599371
221	0.0442	-0.059372	-0.0598966	-0.0595368	-0.0599375
222	0.0444	-0.059369	-0.0598968	-0.0595346	-0.0599379
223	0.0446	-0.059366	-0.059897	-0.0595324	-0.0599382
224	0.0448	-0.059363	-0.0598973	-0.0595302	-0.0599386
225	0.045	-0.0593599	-0.0598976	-0.059528	-0.059939
226	0.0452	-0.0593569	-0.0598978	-0.0595258	-0.0599394
227	0.0454	-0.0593538	-0.0598981	-0.0595235	-0.0599397
228	0.0456	-0.0593508	-0.0598984	-0.0595213	-0.0599401
229	0.0458	-0.0593477	-0.0598987	-0.059519	-0.0599405
